wavenumber,transmittance,absorbance
550.095200,99.764190,0.001025
550.577300,99.814000,0.000809
551.059400,99.871110,0.000560
551.541500,99.954190,0.000199
552.023600,100.038900,-0.000169
552.505700,100.287500,-0.001247
552.987900,100.442300,-0.001917
553.470000,100.634400,-0.002746
553.952100,100.897200,-0.003879
554.434200,101.193800,-0.005154
554.916300,101.523300,-0.006566
555.398400,101.847600,-0.007951
555.880600,102.205300,-0.009473
556.362700,102.490400,-0.010683
556.844800,102.659400,-0.011399
557.326900,102.700900,-0.011574
557.809000,102.655400,-0.011382
558.291100,102.531500,-0.010857
558.773300,102.515500,-0.010790
559.255400,102.409200,-0.010339
559.737500,102.310700,-0.009921
560.219600,102.265100,-0.009727
560.701700,102.261500,-0.009712
561.183800,102.266900,-0.009735
561.666000,102.307000,-0.009905
562.148100,102.398500,-0.010294
562.630200,102.527000,-0.010838
563.112300,102.714500,-0.011632
563.594400,103.118700,-0.013337
564.076500,103.476400,-0.014841
564.558700,103.803800,-0.016213
565.040800,104.101900,-0.017459
565.522900,104.289800,-0.018242
566.005000,104.369300,-0.018573
566.487100,104.369700,-0.018574
566.969200,104.329000,-0.018405
567.451400,104.273300,-0.018173
567.933500,104.213700,-0.017925
568.415600,104.242400,-0.018044
568.897700,104.255500,-0.018099
569.379800,104.156300,-0.017686
569.861900,104.029800,-0.017158
570.344100,103.865200,-0.016470
570.826200,103.685200,-0.015717
571.308300,103.586500,-0.015303
571.790400,103.505400,-0.014963
572.272500,103.430000,-0.014647
572.754600,103.457800,-0.014763
573.236800,103.375000,-0.014416
573.718900,103.287200,-0.014047
574.201000,103.203000,-0.013692
574.683100,103.130900,-0.013389
575.165200,103.075000,-0.013153
575.647300,103.033300,-0.012978
576.129500,102.994100,-0.012812
576.611600,102.942900,-0.012596
577.093700,102.871100,-0.012293
577.575800,102.776600,-0.011894
578.057900,102.663400,-0.011416
578.540000,102.534300,-0.010869
579.022200,102.392700,-0.010269
579.504300,102.241400,-0.009627
579.986400,102.080600,-0.008943
580.468500,101.910900,-0.008221
580.950600,101.733700,-0.007465
581.432700,101.557800,-0.006713
581.914900,101.399000,-0.006034
582.397000,101.279900,-0.005523
582.879100,101.223700,-0.005282
583.361200,101.248100,-0.005387
583.843300,101.354000,-0.005841
584.325400,101.526000,-0.006577
584.807600,101.737100,-0.007479
585.289700,101.956900,-0.008417
585.771800,102.161500,-0.009287
586.253900,102.336000,-0.010028
586.736000,102.476700,-0.010625
587.218100,102.341400,-0.010051
587.700300,102.162000,-0.009289
588.182400,101.995000,-0.008579
588.664500,101.890500,-0.008134
589.146600,101.873100,-0.008060
589.628700,101.932600,-0.008313
590.110800,102.029000,-0.008724
590.593000,102.108000,-0.009060
591.075100,102.124700,-0.009131
591.557200,102.062800,-0.008867
592.039300,101.940400,-0.008346
592.521400,101.797700,-0.007738
593.003500,101.674800,-0.007213
593.485700,101.594700,-0.006871
593.967800,101.557200,-0.006711
594.449900,101.545200,-0.006659
594.932000,101.537800,-0.006628
595.414100,101.523100,-0.006565
595.896200,101.504300,-0.006484
596.378400,101.494900,-0.006444
596.860500,101.507600,-0.006499
597.342600,101.544300,-0.006656
597.824700,101.592400,-0.006861
598.306800,101.629600,-0.007020
598.788900,101.635200,-0.007044
599.271100,101.601300,-0.006899
599.753200,101.538100,-0.006629
