wavenumber,transmittance,absorbance
550.095200,49.309080,0.307073
550.577300,49.476890,0.305598
551.059400,49.522870,0.305194
551.541500,49.451060,0.305824
552.023600,49.339970,0.306801
552.505700,49.057490,0.309295
552.987900,49.035460,0.309490
553.470000,49.023480,0.309596
553.952100,49.034130,0.309502
554.434200,49.039250,0.309456
554.916300,48.988680,0.309904
555.398400,48.892930,0.310754
555.880600,48.709530,0.312386
556.362700,48.579810,0.313544
556.844800,48.547890,0.313830
557.326900,48.656910,0.312855
557.809000,48.875620,0.310908
558.291100,49.179670,0.308214
558.773300,49.377920,0.306467
559.255400,49.554650,0.304916
559.737500,49.715160,0.303511
560.219600,49.737960,0.303312
560.701700,49.639160,0.304176
561.183800,49.501000,0.305386
561.666000,49.416440,0.306129
562.148100,49.256340,0.307538
562.630200,49.134000,0.308618
563.112300,49.054580,0.309320
563.594400,48.885820,0.310817
564.076500,48.830150,0.311312
564.558700,48.807580,0.311513
565.040800,48.773850,0.311813
565.522900,48.780460,0.311754
566.005000,48.820320,0.311399
566.487100,48.883560,0.310837
566.969200,48.965020,0.310114
567.451400,49.051930,0.309344
567.933500,49.116370,0.308774
568.415600,49.042340,0.309429
568.897700,48.961230,0.310148
569.379800,48.914130,0.310566
569.861900,48.847970,0.311153
570.344100,48.791680,0.311654
570.826200,48.765340,0.311889
571.308300,48.723360,0.312263
571.790400,48.705330,0.312424
572.272500,48.698650,0.312483
572.754600,48.623340,0.313155
573.236800,48.613720,0.313241
573.718900,48.587780,0.313473
574.201000,48.544710,0.313858
574.683100,48.508150,0.314185
575.165200,48.499940,0.314259
575.647300,48.526950,0.314017
576.129500,48.587510,0.313475
576.611600,48.674430,0.312699
577.093700,48.761910,0.311919
577.575800,48.814110,0.311455
578.057900,48.808080,0.311508
578.540000,48.751290,0.312014
579.022200,48.667870,0.312758
579.504300,48.581630,0.313528
579.986400,48.515620,0.314118
580.468500,48.486320,0.314381
580.950600,48.497270,0.314283
581.432700,48.540020,0.313900
581.914900,48.601460,0.313351
582.397000,48.669620,0.312742
582.879100,48.725920,0.312240
583.361200,48.750040,0.312025
583.843300,48.730560,0.312199
584.325400,48.673510,0.312707
584.807600,48.599270,0.313370
585.289700,48.541130,0.313890
585.771800,48.543010,0.313873
586.253900,48.647970,0.312935
586.736000,48.873510,0.310926
587.218100,48.941340,0.310324
587.700300,49.096800,0.308947
588.182400,49.304450,0.307114
588.664500,49.489480,0.305487
589.146600,49.574140,0.304745
589.628700,49.517510,0.305241
590.110800,49.335510,0.306840
590.593000,49.094690,0.308965
591.075100,48.878950,0.310878
591.557200,48.749240,0.312032
592.039300,48.716040,0.312328
592.521400,48.743370,0.312084
593.003500,48.776420,0.311790
593.485700,48.776120,0.311793
593.967800,48.739350,0.312120
594.449900,48.696100,0.312506
594.932000,48.686140,0.312595
595.414100,48.731450,0.312191
595.896200,48.819890,0.311403
596.378400,48.912360,0.310581
596.860500,48.966630,0.310100
597.342600,48.963760,0.310125
597.824700,48.920690,0.310507
598.306800,48.883670,0.310836
598.788900,48.903160,0.310663
599.271100,49.005740,0.309753
599.753200,49.177940,0.308230
600.235300,49.372540,0.306515
600.717400,49.533490,0.305101
601.199500,49.624810,0.304301
601.681600,49.647620,0.304102
602.163800,49.637200,0.304193
602.645900,49.640720,0.304162
603.128000,49.689260,0.303737
603.610100,49.778760,0.302956
604.092200,49.872260,0.302141
604.574300,49.921730,0.301710
605.056500,49.896430,0.301931
605.538600,49.801590,0.302757
606.020700,49.678260,0.303834
606.502800,49.581660,0.304679
606.984900,49.552240,0.304937
607.467000,49.593000,0.304580
607.949200,49.668920,0.303915
608.431300,49.726860,0.303409
608.913400,49.726090,0.303416
609.395500,49.661290,0.303982
609.877600,49.567020,0.304807
610.359700,49.497630,0.305416
610.841900,49.496460,0.305426
611.324000,49.569480,0.304786
611.806100,49.681200,0.303808
612.288200,49.773110,0.303005
612.770300,49.794630,0.302817
613.252400,49.728270,0.303397
613.734600,49.597990,0.304536
614.216700,49.454200,0.305797
614.698800,49.347400,0.306736
615.180900,49.303540,0.307122
615.663000,49.317150,0.307002
616.145100,49.362540,0.306603
616.627300,49.415470,0.306137
617.109400,49.469350,0.305664
617.591500,49.537460,0.305066
618.073600,49.638570,0.304181
618.555700,49.778240,0.302960
619.037800,49.937800,0.301571
619.520000,50.080130,0.300335
