wavenumber,transmittance,absorbance
550.095200,55.483040,0.255840
550.577300,55.522540,0.255531
551.059400,55.511390,0.255618
551.541500,55.443310,0.256151
552.023600,55.356290,0.256833
552.505700,55.265620,0.257545
552.987900,55.255910,0.257621
553.470000,55.315360,0.257154
553.952100,55.430870,0.256248
554.434200,55.555850,0.255270
554.916300,55.632850,0.254669
555.398400,55.629490,0.254695
555.880600,55.513480,0.255602
556.362700,55.384590,0.256611
556.844800,55.253880,0.257637
557.326900,55.171810,0.258283
557.809000,55.153580,0.258426
558.291100,55.202160,0.258044
558.773300,55.301200,0.257265
559.255400,55.352660,0.256862
559.737500,55.435760,0.256210
560.219600,55.478300,0.255877
560.701700,55.476130,0.255894
561.183800,55.457200,0.256042
561.666000,55.453640,0.256070
562.148100,55.380630,0.256642
562.630200,55.269070,0.257518
563.112300,55.122920,0.258668
563.594400,54.935680,0.260145
564.076500,54.784700,0.261341
564.558700,54.659610,0.262333
565.040800,54.557510,0.263145
565.522900,54.496230,0.263634
566.005000,54.458590,0.263934
566.487100,54.427330,0.264183
566.969200,54.398670,0.264412
567.451400,54.378890,0.264570
567.933500,54.376450,0.264589
568.415600,54.369200,0.264647
568.897700,54.468680,0.263853
569.379800,54.602060,0.262791
569.861900,54.747670,0.261634
570.344100,54.866180,0.260695
570.826200,54.926190,0.260221
571.308300,54.905830,0.260382
571.790400,54.778690,0.261388
572.272500,54.561370,0.263115
572.754600,54.319810,0.265042
573.236800,54.086640,0.266910
573.718900,53.909840,0.268332
574.201000,53.808280,0.269151
574.683100,53.788360,0.269312
575.165200,53.830350,0.268973
575.647300,53.891970,0.268476
576.129500,53.931630,0.268156
576.611600,53.928360,0.268183
577.093700,53.876890,0.268597
577.575800,53.785190,0.269337
578.057900,53.679320,0.270193
578.540000,53.602620,0.270814
579.022200,53.590210,0.270915
579.504300,53.646700,0.270457
579.986400,53.744740,0.269664
580.468500,53.839810,0.268896
580.950600,53.891250,0.268482
581.432700,53.881420,0.268561
581.914900,53.821380,0.269045
582.397000,53.747270,0.269644
582.879100,53.699170,0.270032
583.361200,53.705380,0.269982
583.843300,53.770770,0.269454
584.325400,53.874650,0.268616
584.807600,53.978310,0.267781
585.289700,54.045110,0.267244
585.771800,54.057450,0.267144
586.253900,54.022230,0.267427
586.736000,53.957860,0.267945
587.218100,53.775380,0.269417
587.700300,53.682710,0.270166
588.182400,53.686830,0.270132
588.664500,53.742040,0.269686
589.146600,53.786760,0.269325
589.628700,53.783470,0.269351
590.110800,53.738660,0.269713
590.593000,53.694210,0.270073
591.075100,53.696300,0.270056
591.557200,53.759340,0.269546
592.039300,53.852060,0.268798
592.521400,53.915070,0.268290
593.003500,53.897670,0.268430
593.485700,53.790440,0.269295
593.967800,53.633040,0.270568
594.449900,53.496020,0.271679
594.932000,53.442820,0.272111
595.414100,53.494130,0.271694
595.896200,53.615090,0.270713
596.378400,53.733720,0.269753
596.860500,53.780240,0.269377
597.342600,53.722700,0.269842
597.824700,53.582540,0.270977
598.306800,53.422200,0.272278
598.788900,53.311770,0.273177
599.271100,53.291120,0.273345
599.753200,53.351050,0.272857
600.235300,53.442130,0.272116
600.717400,53.506760,0.271591
601.199500,53.512480,0.271545
601.681600,53.468980,0.271898
602.163800,53.420430,0.272293
602.645900,53.417760,0.272314
603.128000,53.487170,0.271750
603.610100,53.613130,0.270729
604.092200,53.746540,0.269649
604.574300,53.832510,0.268955
605.056500,53.840880,0.268888
605.538600,53.782780,0.269357
606.020700,53.703560,0.269997
606.502800,53.655750,0.270384
606.984900,53.665980,0.270301
607.467000,53.717850,0.269881
607.949200,53.761300,0.269530
608.431300,53.743570,0.269673
608.913400,53.643410,0.270484
609.395500,53.488080,0.271743
609.877600,53.344440,0.272911
610.359700,53.285660,0.273390
610.841900,53.351260,0.272855
611.324000,53.524220,0.271450
611.806100,53.739510,0.269706
612.288200,53.918750,0.268260
612.770300,54.009850,0.267527
613.252400,54.010600,0.267521
613.734600,53.963270,0.267902
614.216700,53.925230,0.268208
614.698800,53.931510,0.268157
615.180900,53.974390,0.267812
615.663000,54.011300,0.267515
616.145100,53.995690,0.267641
616.627300,53.911500,0.268319
617.109400,53.788560,0.269310
617.591500,53.690140,0.270105
618.073600,53.676270,0.270218
618.555700,53.766100,0.269491
619.037800,53.923360,0.268223
619.520000,54.075390,0.267000
620.002100,54.152520,0.266381
620.484200,54.125310,0.266600
620.966300,54.019670,0.267448
621.448400,53.902860,0.268388
621.930500,53.846670,0.268841
622.412700,53.888420,0.268505
622.894800,54.012330,0.267507
623.376900,54.160880,0.266314
623.859000,54.267380,0.265461
624.341100,54.290810,0.265274
624.823200,54.233910,0.265729
625.305400,54.138060,0.266497
625.787500,54.057350,0.267145
626.269600,54.028390,0.267378
626.751700,54.053430,0.267177
627.233800,54.104670,0.266765
627.715900,54.145470,0.266438
628.198100,54.153420,0.266374
628.680200,54.133220,0.266536
629.162300,54.112640,0.266701
629.644400,54.125120,0.266601
630.126500,54.189280,0.266087
630.608600,54.298070,0.265216
631.090800,54.422630,0.264220
631.572900,54.528790,0.263374
632.055000,54.595330,0.262845
632.537100,54.624110,0.262616
633.019200,54.637070,0.262513
633.501300,54.661260,0.262320
633.983500,54.711470,0.261922
634.465600,54.780070,0.261377
634.947700,54.841230,0.260893
635.429800,54.865750,0.260699
635.911900,54.838750,0.260912
636.394000,54.769410,0.261462
636.876200,54.687030,0.262116
637.358300,54.625720,0.262603
637.840400,54.606040,0.262759
638.322500,54.625290,0.262606
638.804600,54.661020,0.262322
639.286700,54.685390,0.262129
639.768900,54.681310,0.262161
640.251000,54.651380,0.262399
640.733100,54.615180,0.262687
641.215200,54.596690,0.262834
641.697300,54.610040,0.262728
642.179400,54.652110,0.262393
642.661600,54.705830,0.261966
643.143700,54.751590,0.261603
643.625800,54.779260,0.261384
644.107900,54.794210,0.261265
644.590000,54.813310,0.261114
645.072100,54.853770,0.260794
645.554300,54.921520,0.260257
646.036400,55.006160,0.259589
646.518500,55.085460,0.258963
647.000600,55.136910,0.258558
647.482700,55.149710,0.258457
647.964800,55.131160,0.258603
648.447000,55.103300,0.258822
648.929100,55.091470,0.258916
649.411200,55.111390,0.258759
649.893300,55.161810,0.258361
650.375400,55.227100,0.257848
650.857500,55.286990,0.257377
651.339700,55.328080,0.257054
651.821800,55.350270,0.256880
652.303900,55.365430,0.256761
652.786000,55.388720,0.256579
653.268100,55.428570,0.256266
653.750200,55.481140,0.255855
654.232400,55.532560,0.255452
654.714500,55.567180,0.255182
655.196600,55.577030,0.255105
655.678700,55.566830,0.255184
656.160800,55.551650,0.255303
656.642900,55.548470,0.255328
657.125100,55.566860,0.255184
657.607200,55.604390,0.254891
658.089300,55.649290,0.254540
658.571400,55.688300,0.254236
659.053500,55.715340,0.254025
659.535600,55.735430,0.253869
660.017800,55.761940,0.253662
660.499900,55.808290,0.253301
660.982000,55.879560,0.252747
661.464100,55.968840,0.252054
661.946200,56.060120,0.251346
662.428300,56.135920,0.250759
662.910500,56.185790,0.250374
663.392600,56.210480,0.250183
663.874700,56.219890,0.250110
664.356800,56.225790,0.250064
664.838900,56.234690,0.249996
665.321000,56.244370,0.249921
665.803200,56.245370,0.249913
666.285300,56.226470,0.250059
666.767400,56.183830,0.250389
667.249500,56.131270,0.250795
667.731600,56.102810,0.251015
668.213700,56.134330,0.250771
668.695900,56.233440,0.250005
669.178000,56.372610,0.248932
669.660100,56.512620,0.247855
670.142200,56.626220,0.246982
670.624300,56.704520,0.246382
671.106400,56.753330,0.246009
671.588600,56.786520,0.245755
672.070700,56.819510,0.245503
672.552800,56.862840,0.245171
673.034900,56.917970,0.244751
673.517000,56.977720,0.244295
673.999100,57.031560,0.243885
674.481300,57.072810,0.243571
674.963400,57.103050,0.243341
675.445500,57.131450,0.243125
675.927600,57.169560,0.242835
676.409700,57.224530,0.242418
676.891800,57.294750,0.241885
677.374000,57.370700,0.241310
677.856100,57.440490,0.240782
678.338200,57.496600,0.240358
678.820300,57.539840,0.240031
679.302400,57.578640,0.239739
679.784500,57.623680,0.239399
680.266700,57.681690,0.238962
680.748800,57.751260,0.238439
681.230900,57.823620,0.237895
681.713000,57.888010,0.237411
682.195100,57.938230,0.237035
682.677200,57.976380,0.236749
683.159400,58.012250,0.236480
683.641500,58.058160,0.236137
684.123600,58.122370,0.235657
684.605700,58.204630,0.235042
685.087800,58.296390,0.234358
685.569900,58.385490,0.233695
686.052100,58.462400,0.233123
686.534200,58.524570,0.232662
687.016300,58.576560,0.232276
687.498400,58.626630,0.231905
687.980500,58.681430,0.231499
688.462600,58.742390,0.231048
688.944800,58.805640,0.230581
689.426900,58.865360,0.230140
689.909000,58.918400,0.229749
690.391100,58.966950,0.229391
690.873200,59.017720,0.229018
691.355300,59.078190,0.228573
691.837500,59.151770,0.228032
692.319600,59.235190,0.227420
692.801700,59.319530,0.226802
693.283800,59.394570,0.226253
693.765900,59.453990,0.225819
694.248000,59.498370,0.225495
694.730200,59.534550,0.225231
695.212300,59.571790,0.224959
695.694400,59.616630,0.224633
696.176500,59.669670,0.224246
696.658600,59.725890,0.223837
697.140700,59.778270,0.223457
697.622900,59.822690,0.223134
698.105000,59.860900,0.222857
698.587100,59.900150,0.222572
699.069200,59.949640,0.222213
699.551300,60.015280,0.221738
700.033400,60.096550,0.221150
700.515600,60.186300,0.220502
700.997700,60.274330,0.219868
701.479800,60.352120,0.219307
701.961900,60.416390,0.218845
702.444000,60.469740,0.218462
702.926100,60.518210,0.218114
703.408300,60.567520,0.217760
703.890400,60.620120,0.217383
704.372500,60.674600,0.216993
704.854600,60.727750,0.216613
705.336700,60.777510,0.216257
705.818800,60.825040,0.215918
706.301000,60.874390,0.215565
706.783100,60.929990,0.215169
707.265200,60.993640,0.214715
707.747300,61.062880,0.214223
708.229400,61.131840,0.213733
708.711500,61.194340,0.213289
709.193700,61.247290,0.212913
709.675800,61.292520,0.212593
710.157900,61.335990,0.212285
710.640000,61.384080,0.211944
711.122100,61.440290,0.211547
711.604200,61.502830,0.211105
712.086400,61.565320,0.210664
712.568500,61.620090,0.210278
713.050600,61.662120,0.209982
713.532700,61.691310,0.209776
714.014800,61.712480,0.209627
714.496900,61.732400,0.209487
714.979100,61.756260,0.209319
715.461200,61.785110,0.209116
715.943300,61.816050,0.208899
716.425400,61.844650,0.208698
716.907500,61.868430,0.208531
717.389600,61.888920,0.208387
717.871800,61.911690,0.208227
718.353900,61.943660,0.208003
718.836000,61.989880,0.207679
719.318100,62.051050,0.207251
719.800200,62.123500,0.206744
720.282300,62.201610,0.206198
720.764500,62.280990,0.205644
721.246600,62.360880,0.205088
721.728700,62.443950,0.204510
722.210800,62.534140,0.203883
722.692900,62.633650,0.203192
723.175000,62.741140,0.202448
723.657200,62.852020,0.201681
724.139300,62.960640,0.200931
724.621400,63.062950,0.200226
725.103500,63.158150,0.199571
725.585600,63.248360,0.198951
726.067700,63.336540,0.198346
726.549900,63.424130,0.197745
727.032000,63.509850,0.197159
727.514100,63.590520,0.196608
727.996200,63.663320,0.196111
728.478300,63.728290,0.195668
728.960400,63.789190,0.195253
729.442600,63.852230,0.194824
729.924700,63.923150,0.194342
730.406800,64.004040,0.193793
730.888900,64.092080,0.193196
731.371000,64.180730,0.192595
731.853100,64.262860,0.192040
732.335300,64.334260,0.191558
732.817400,64.395480,0.191145
733.299500,64.451200,0.190769
733.781600,64.507480,0.190390
734.263700,64.568370,0.189980
734.745800,64.634020,0.189539
735.228000,64.700900,0.189090
735.710100,64.764330,0.188664
736.192200,64.821400,0.188282
736.674300,64.872950,0.187936
737.156400,64.923060,0.187601
737.638500,64.976890,0.187241
738.120700,65.037760,0.186834
738.602800,65.105450,0.186383
739.084900,65.176430,0.185909
739.567000,65.246140,0.185445
740.049100,65.311530,0.185010
