wavenumber,transmittance,absorbance
550.095200,52.910440,0.276459
550.577300,52.825090,0.277160
551.059400,52.848450,0.276968
551.541500,52.903620,0.276515
552.023600,52.974340,0.275934
552.505700,52.754790,0.277738
552.987900,52.907970,0.276479
553.470000,52.939270,0.276222
553.952100,52.964370,0.276016
554.434200,52.984780,0.275849
554.916300,52.964030,0.276019
555.398400,52.914060,0.276429
555.880600,52.776650,0.277558
556.362700,52.621560,0.278836
556.844800,52.522440,0.279655
557.326900,52.545900,0.279461
557.809000,52.703490,0.278161
558.291100,53.006110,0.275674
558.773300,53.200860,0.274081
559.255400,53.492930,0.271704
559.737500,53.817870,0.269073
560.219600,53.985950,0.267719
560.701700,53.964950,0.267888
561.183800,53.805970,0.269170
561.666000,53.659840,0.270351
562.148100,53.334720,0.272990
562.630200,53.041940,0.275381
563.112300,52.823390,0.277174
563.594400,52.555080,0.279385
564.076500,52.478440,0.280019
564.558700,52.524420,0.279639
565.040800,52.628210,0.278781
565.522900,52.792070,0.277431
566.005000,52.966910,0.275995
566.487100,53.114440,0.274787
566.969200,53.222130,0.273908
567.451400,53.287480,0.273375
567.933500,53.310300,0.273189
568.415600,53.208740,0.274017
568.897700,53.070900,0.275144
569.379800,53.023370,0.275533
569.861900,52.964700,0.276013
570.344100,52.909780,0.276464
570.826200,52.863590,0.276843
571.308300,52.753860,0.277746
571.790400,52.663370,0.278491
572.272500,52.596320,0.279045
572.754600,52.438000,0.280354
573.236800,52.398980,0.280677
573.718900,52.347600,0.281103
574.201000,52.268010,0.281764
574.683100,52.181160,0.282486
575.165200,52.121520,0.282983
575.647300,52.119350,0.283001
576.129500,52.186710,0.282440
576.611600,52.316730,0.281359
577.093700,52.470360,0.280086
577.575800,52.588030,0.279113
578.057900,52.617410,0.278871
578.540000,52.548060,0.279443
579.022200,52.410800,0.280579
579.504300,52.258800,0.281841
579.986400,52.145110,0.282786
580.468500,52.098060,0.283178
580.950600,52.107050,0.283104
581.432700,52.133960,0.282879
581.914900,52.135820,0.282864
582.397000,52.089320,0.283251
582.879100,51.991300,0.284069
583.361200,51.856320,0.285198
583.843300,51.706580,0.286454
584.325400,51.563800,0.287655
584.807600,51.440010,0.288699
585.289700,51.344810,0.289503
585.771800,51.296310,0.289914
586.253900,51.327640,0.289649
586.736000,51.471390,0.288434
587.218100,51.493130,0.288251
587.700300,51.672700,0.286739
588.182400,51.958050,0.284347
588.664500,52.249400,0.281919
589.146600,52.446880,0.280280
589.628700,52.496690,0.279868
590.110800,52.413200,0.280559
590.593000,52.268130,0.281763
591.075100,52.151120,0.282736
591.557200,52.123230,0.282969
592.039300,52.187650,0.282432
592.521400,52.295730,0.281534
593.003500,52.380600,0.280830
593.485700,52.397470,0.280690
593.967800,52.347600,0.281103
594.449900,52.275590,0.281701
594.932000,52.242750,0.281974
595.414100,52.291820,0.281566
595.896200,52.424040,0.280470
596.378400,52.600970,0.279006
596.860500,52.768600,0.277624
597.342600,52.887280,0.276649
597.824700,52.950700,0.276128
598.306800,52.985940,0.275839
598.788900,53.034090,0.275445
599.271100,53.125010,0.274701
599.753200,53.259170,0.273606
600.235300,53.408520,0.272389
600.717400,53.534380,0.271367
601.199500,53.610320,0.270752
601.681600,53.636780,0.270537
602.163800,53.638770,0.270521
602.645900,53.648540,0.270442
603.128000,53.683250,0.270161
603.610100,53.731880,0.269768
604.092200,53.760150,0.269540
604.574300,53.731580,0.269770
605.056500,53.632050,0.270576
605.538600,53.483700,0.271779
606.020700,53.339730,0.272949
606.502800,53.260150,0.273598
606.984900,53.282010,0.273419
607.467000,53.399010,0.272467
607.949200,53.563390,0.271132
608.431300,53.708650,0.269956
608.913400,53.781230,0.269369
609.395500,53.764080,0.269508
609.877600,53.680900,0.270180
610.359700,53.577790,0.271015
610.841900,53.494790,0.271689
611.324000,53.442270,0.272115
611.806100,53.398250,0.272473
612.288200,53.326370,0.273058
612.770300,53.203090,0.274063
613.252400,53.037410,0.275418
613.734600,52.871140,0.276781
614.216700,52.758380,0.277709
614.698800,52.736460,0.277889
615.180900,52.805240,0.277323
615.663000,52.927760,0.276316
616.145100,53.050950,0.275307
616.627300,53.134360,0.274625
617.109400,53.170090,0.274333
617.591500,53.183220,0.274225
618.073600,53.212680,0.273985
618.555700,53.284910,0.273396
619.037800,53.396970,0.272483
619.520000,53.519830,0.271485
620.002100,53.617540,0.270693
620.484200,53.669920,0.270269
620.966300,53.684310,0.270153
621.448400,53.690740,0.270101
621.930500,53.722200,0.269846
622.412700,53.793290,0.269272
622.894800,53.889320,0.268497
623.376900,53.974180,0.267814
623.859000,54.010300,0.267523
624.341100,53.980370,0.267764
624.823200,53.897510,0.268431
625.305400,53.799630,0.269221
625.787500,53.730180,0.269782
626.269600,53.717550,0.269884
626.751700,53.763650,0.269511
627.233800,53.848110,0.268830
627.715900,53.943420,0.268062
628.198100,54.031080,0.267356
628.680200,54.110150,0.266721
629.162300,54.194160,0.266048
629.644400,54.298750,0.265210
630.126500,54.428340,0.264175
630.608600,54.570020,0.263046
631.090800,54.698440,0.262025
631.572900,54.788870,0.261308
632.055000,54.830940,0.260974
632.537100,54.835080,0.260942
633.019200,54.827980,0.260998
633.501300,54.838750,0.260912
633.983500,54.883620,0.260557
634.465600,54.957670,0.259972
634.947700,55.038540,0.259333
635.429800,55.099780,0.258850
635.911900,55.126530,0.258639
636.394000,55.124450,0.258656
636.876200,55.117570,0.258710
637.358300,55.135150,0.258571
637.840400,55.196170,0.258091
638.322500,55.299340,0.257280
638.804600,55.424670,0.256297
639.286700,55.544400,0.255360
639.768900,55.637200,0.254635
640.251000,55.697930,0.254161
640.733100,55.738150,0.253847
641.215200,55.777680,0.253540
641.697300,55.832920,0.253110
642.179400,55.908800,0.252520
642.661600,55.998620,0.251823
643.143700,56.090780,0.251109
643.625800,56.177780,0.250435
644.107900,56.261670,0.249787
644.590000,56.353170,0.249082
645.072100,56.464480,0.248225
645.554300,56.600710,0.247178
646.036400,56.754870,0.245997
646.518500,56.909440,0.244816
647.000600,57.043590,0.243793
647.482700,57.142370,0.243042
647.964800,57.203050,0.242581
648.447000,57.235670,0.242333
648.929100,57.256610,0.242174
649.411200,57.280330,0.241994
649.893300,57.313070,0.241746
650.375400,57.352170,0.241450
650.857500,57.390620,0.241159
651.339700,57.423480,0.240910
651.821800,57.451780,0.240697
652.303900,57.482110,0.240467
652.786000,57.521450,0.240170
653.268100,57.571670,0.239791
653.750200,57.626860,0.239375
654.232400,57.675690,0.239007
654.714500,57.707560,0.238767
655.196600,57.719250,0.238679
655.678700,57.717840,0.238690
656.160800,57.717890,0.238690
656.642900,57.733930,0.238569
657.125100,57.772550,0.238278
657.607200,57.828650,0.237857
658.089300,57.887580,0.237415
658.571400,57.932410,0.237078
659.053500,57.952160,0.236930
659.535600,57.947360,0.236966
660.017800,57.929330,0.237101
660.499900,57.914250,0.237215
660.982000,57.915350,0.237206
661.464100,57.937420,0.237041
661.946200,57.976470,0.236748
662.428300,58.023330,0.236397
662.910500,58.069130,0.236055
663.392600,58.109360,0.235754
663.874700,58.144550,0.235491
664.356800,58.177780,0.235243
664.838900,58.211390,0.234992
665.321000,58.245180,0.234740
665.803200,58.277350,0.234500
666.285300,58.307680,0.234274
666.767400,58.342190,0.234017
667.249500,58.396200,0.233615
667.731600,58.489470,0.232922
668.213700,58.630100,0.231879
668.695900,58.802330,0.230605
669.178000,58.975350,0.229329
669.660100,59.123910,0.228237
670.142200,59.238210,0.227398
670.624300,59.321630,0.226787
671.106400,59.385010,0.226323
671.588600,59.441600,0.225910
672.070700,59.502850,0.225462
672.552800,59.574620,0.224939
673.034900,59.655270,0.224351
673.517000,59.737160,0.223755
673.999100,59.811420,0.223216
674.481300,59.873340,0.222767
674.963400,59.925110,0.222391
675.445500,59.974650,0.222032
675.927600,60.031230,0.221623
676.409700,60.100440,0.221122
676.891800,60.180960,0.220541
677.374000,60.265480,0.219931
677.856100,60.344900,0.219359
678.338200,60.413220,0.218868
678.820300,60.470340,0.218458
679.302400,60.521500,0.218090
679.784500,60.573210,0.217719
680.266700,60.629150,0.217319
680.748800,60.687380,0.216902
681.230900,60.741100,0.216517
681.713000,60.782460,0.216222
682.195100,60.807230,0.216045
682.677200,60.817410,0.215972
683.159400,60.820710,0.215949
683.641500,60.826990,0.215904
684.123600,60.843860,0.215783
684.605700,60.873410,0.215572
685.087800,60.912450,0.215294
685.569900,60.955380,0.214988
686.052100,60.998210,0.214683
