wavenumber,transmittance,absorbance
550.095200,71.491210,0.145747
550.577300,71.149140,0.147830
551.059400,70.971980,0.148913
551.541500,70.893610,0.149393
552.023600,70.920100,0.149231
552.505700,70.796810,0.149986
552.987900,70.951350,0.149039
553.470000,71.062430,0.148360
553.952100,71.177800,0.147655
554.434200,71.312800,0.146833
554.916300,71.408520,0.146250
555.398400,71.434390,0.146093
555.880600,71.254110,0.147190
556.362700,71.072590,0.148298
556.844800,70.867100,0.149555
557.326900,70.721790,0.150447
557.809000,70.680780,0.150699
558.291100,70.830140,0.149782
558.773300,71.017970,0.148632
559.255400,71.220150,0.147397
559.737500,71.526660,0.145532
560.219600,71.682410,0.144587
560.701700,71.644580,0.144817
561.183800,71.494520,0.145727
561.666000,71.385490,0.146390
562.148100,71.139370,0.147890
562.630200,70.960190,0.148985
563.112300,70.878680,0.149484
563.594400,70.740840,0.150330
564.076500,70.826080,0.149807
564.558700,70.964730,0.148957
565.040800,71.041150,0.148490
565.522900,71.117840,0.148021
566.005000,71.187870,0.147594
566.487100,71.243900,0.147252
566.969200,71.298450,0.146920
567.451400,71.383030,0.146405
567.933500,71.513070,0.145615
568.415600,71.528370,0.145522
568.897700,71.689050,0.144547
569.379800,71.924670,0.143122
569.861900,72.151710,0.141753
570.344100,72.338630,0.140630
570.826200,72.451090,0.139955
571.308300,72.424780,0.140113
571.790400,72.304050,0.140837
572.272500,72.119880,0.141945
572.754600,71.872730,0.143436
573.236800,71.730640,0.144295
573.718900,71.642820,0.144827
574.201000,71.584810,0.145179
574.683100,71.556270,0.145352
575.165200,71.565190,0.145298
575.647300,71.617160,0.144983
576.129500,71.703120,0.144462
576.611600,71.818820,0.143762
577.093700,71.940600,0.143026
577.575800,72.021110,0.142540
578.057900,72.004150,0.142642
578.540000,71.877190,0.143409
579.022200,71.676380,0.144624
579.504300,71.463290,0.145917
579.986400,71.294080,0.146947
580.468500,71.197190,0.147537
580.950600,71.162860,0.147747
581.432700,71.154270,0.147799
581.914900,71.123310,0.147988
582.397000,71.045750,0.148462
582.879100,70.923920,0.149207
583.361200,70.787320,0.150045
583.843300,70.671420,0.150756
584.325400,70.602860,0.151178
584.807600,70.585290,0.151286
585.289700,70.606020,0.151158
585.771800,70.654710,0.150859
586.253900,70.741970,0.150323
586.736000,70.892000,0.149403
587.218100,70.824530,0.149816
587.700300,70.798260,0.149977
588.182400,70.813160,0.149886
588.664500,70.843610,0.149699
589.146600,70.857670,0.149613
589.628700,70.839310,0.149726
590.110800,70.799080,0.149972
590.593000,70.768340,0.150161
591.075100,70.779870,0.150090
591.557200,70.845500,0.149688
592.039300,70.945680,0.149074
592.521400,71.037930,0.148510
593.003500,71.078700,0.148261
593.485700,71.045890,0.148461
593.967800,70.950610,0.149044
594.449900,70.832170,0.149769
594.932000,70.739520,0.150338
595.414100,70.708840,0.150526
595.896200,70.747630,0.150288
596.378400,70.836030,0.149746
596.860500,70.940610,0.149105
597.342600,71.032390,0.148544
597.824700,71.098260,0.148141
598.306800,71.142640,0.147870
598.788900,71.178040,0.147654
599.271100,71.214710,0.147430
599.753200,71.253200,0.147196
600.235300,71.286870,0.146990
600.717400,71.310640,0.146846
601.199500,71.329830,0.146729
601.681600,71.361630,0.146535
602.163800,71.427140,0.146137
602.645900,71.536500,0.145472
603.128000,71.677360,0.144618
603.610100,71.813310,0.143795
604.092200,71.897180,0.143288
604.574300,71.892530,0.143316
605.056500,71.793020,0.143918
605.538600,71.628660,0.144913
606.020700,71.456470,0.145958
606.502800,71.335620,0.146694
606.984900,71.301250,0.146903
607.467000,71.347300,0.146622
607.949200,71.430140,0.146118
608.431300,71.489430,0.145758
608.913400,71.476840,0.145835
609.395500,71.378280,0.146434
609.877600,71.219470,0.147401
610.359700,71.051900,0.148424
610.841900,70.927450,0.149186
611.324000,70.874110,0.149512
611.806100,70.887250,0.149432
