wavenumber,transmittance,absorbance
550.095200,103.436300,-0.014673
550.577300,103.345000,-0.014289
551.059400,103.260900,-0.013936
551.541500,103.207500,-0.013711
552.023600,103.200900,-0.013683
552.505700,103.245500,-0.013871
552.987900,103.349800,-0.014310
553.470000,103.454000,-0.014747
553.952100,103.540000,-0.015108
554.434200,103.569900,-0.015234
554.916300,103.533000,-0.015079
555.398400,103.445400,-0.014711
555.880600,103.353800,-0.014326
556.362700,103.219400,-0.013761
556.844800,103.080700,-0.013177
557.326900,102.957000,-0.012656
557.809000,102.879500,-0.012329
558.291100,102.858000,-0.012238
558.773300,102.884700,-0.012351
559.255400,103.019300,-0.012919
559.737500,103.189400,-0.013635
560.219600,103.383300,-0.014450
560.701700,103.554800,-0.015170
561.183800,103.662700,-0.015623
561.666000,103.691300,-0.015742
562.148100,103.659700,-0.015610
562.630200,103.570900,-0.015238
563.112300,103.458100,-0.014764
563.594400,103.371200,-0.014400
564.076500,103.292300,-0.014068
564.558700,103.246200,-0.013874
565.040800,103.245500,-0.013871
565.522900,103.264400,-0.013951
566.005000,103.286600,-0.014044
566.487100,103.297100,-0.014088
566.969200,103.291500,-0.014065
567.451400,103.275600,-0.013998
567.933500,103.249500,-0.013888
568.415600,103.241800,-0.013856
568.897700,103.196300,-0.013664
569.379800,103.179400,-0.013593
569.861900,103.181100,-0.013600
570.344100,103.191000,-0.013642
570.826200,103.190400,-0.013639
571.308300,103.150500,-0.013471
571.790400,103.061600,-0.013097
572.272500,102.918600,-0.012494
572.754600,102.731800,-0.011705
573.236800,102.552600,-0.010947
573.718900,102.391300,-0.010263
574.201000,102.250800,-0.009667
574.683100,102.132000,-0.009162
575.165200,102.028800,-0.008723
575.647300,101.926500,-0.008287
576.129500,101.808900,-0.007786
576.611600,101.677700,-0.007226
577.093700,101.546100,-0.006663
577.575800,101.424700,-0.006144
578.057900,101.316300,-0.005679
578.540000,101.227800,-0.005300
579.022200,101.168800,-0.005047
579.504300,101.143400,-0.004938
579.986400,101.145700,-0.004947
580.468500,101.163900,-0.005026
580.950600,101.185600,-0.005119
581.432700,101.199400,-0.005178
581.914900,101.192300,-0.005147
582.397000,101.156300,-0.004993
582.879100,101.088000,-0.004700
583.361200,100.991800,-0.004286
583.843300,100.879800,-0.003804
584.325400,100.771600,-0.003338
584.807600,100.689100,-0.002982
585.289700,100.649600,-0.002812
585.771800,100.662800,-0.002869
586.253900,100.731000,-0.003163
586.736000,100.844700,-0.003653
587.218100,100.887900,-0.003839
587.700300,100.898700,-0.003886
588.182400,100.878300,-0.003798
