wavenumber,transmittance,absorbance
550.095200,96.142210,0.017086
550.577300,96.286800,0.016433
551.059400,96.431720,0.015780
551.541500,96.569310,0.015161
552.023600,96.722970,0.014470
552.505700,96.816430,0.014051
552.987900,96.981660,0.013310
553.470000,97.163000,0.012499
553.952100,97.310170,0.011842
554.434200,97.433030,0.011294
554.916300,97.528470,0.010869
555.398400,97.616210,0.010478
555.880600,97.667570,0.010250
556.362700,97.671650,0.010231
556.844800,97.648880,0.010333
557.326900,97.602680,0.010538
557.809000,97.540260,0.010816
558.291100,97.501600,0.010988
558.773300,97.410100,0.011396
559.255400,97.488390,0.011047
559.737500,97.596770,0.010565
560.219600,97.713600,0.010045
560.701700,97.799110,0.009665
561.183800,97.837470,0.009495
561.666000,97.791260,0.009700
562.148100,97.755000,0.009861
562.630200,97.762700,0.009827
563.112300,97.847590,0.009450
563.594400,97.920350,0.009127
564.076500,98.071070,0.008459
564.558700,98.215510,0.007820
565.040800,98.285770,0.007509
565.522900,98.290280,0.007489
566.005000,98.255980,0.007641
566.487100,98.228740,0.007761
566.969200,98.250270,0.007666
567.451400,98.333350,0.007299
567.933500,98.445830,0.006803
568.415600,98.485210,0.006629
568.897700,98.393880,0.007032
569.379800,98.258260,0.007631
569.861900,98.041930,0.008588
570.344100,97.826280,0.009544
570.826200,97.684570,0.010174
571.308300,97.613190,0.010491
571.790400,97.678960,0.010199
572.272500,97.843110,0.009470
572.754600,97.950580,0.008993
573.236800,98.085360,0.008396
573.718900,98.124900,0.008221
574.201000,98.055460,0.008528
574.683100,97.901030,0.009213
575.165200,97.704220,0.010087
575.647300,97.509220,0.010954
576.129500,97.342500,0.011698
576.611600,97.212520,0.012278
577.093700,97.113970,0.012718
577.575800,97.039760,0.013050
578.057900,96.987820,0.013283
578.540000,96.964860,0.013386
579.022200,96.979760,0.013319
579.504300,97.032170,0.013084
579.986400,97.105530,0.012756
580.468500,97.171430,0.012461
580.950600,97.201970,0.012325
581.432700,97.181590,0.012416
581.914900,97.107090,0.012749
582.397000,96.987660,0.013284
582.879100,96.837560,0.013956
583.361200,96.672680,0.014696
583.843300,96.506010,0.015446
584.325400,96.348270,0.016156
584.807600,96.210040,0.016780
585.289700,96.103200,0.017262
585.771800,96.040860,0.017544
586.253900,96.035510,0.017568
586.736000,96.094220,0.017303
587.218100,96.102770,0.017264
587.700300,96.132640,0.017129
588.182400,96.193300,0.016855
588.664500,96.293660,0.016402
589.146600,96.436220,0.015760
589.628700,96.612460,0.014967
590.110800,96.802630,0.014113
590.593000,96.978690,0.013324
591.075100,97.112890,0.012723
591.557200,97.187870,0.012388
592.039300,97.203250,0.012319
592.521400,97.175140,0.012445
593.003500,97.127530,0.012658
593.485700,97.083760,0.012853
593.967800,97.058570,0.012966
594.449900,97.055880,0.012978
594.932000,97.069230,0.012918
595.414100,97.086560,0.012841
595.896200,97.095020,0.012803
596.378400,97.085210,0.012847
596.860500,97.052630,0.012993
597.342600,96.996810,0.013243
597.824700,96.919580,0.013588
598.306800,96.824070,0.014017
598.788900,96.714340,0.014509
599.271100,96.595710,0.015042
599.753200,96.475010,0.015585
600.235300,96.359950,0.016103
600.717400,96.258730,0.016560
601.199500,96.179070,0.016919
601.681600,96.127890,0.017151
602.163800,96.110440,0.017229
602.645900,96.130080,0.017141
603.128000,96.187970,0.016879
603.610100,96.282870,0.016451
604.092200,96.410680,0.015875
604.574300,96.564160,0.015184
605.056500,96.731440,0.014432
605.538600,96.895820,0.013695
606.020700,97.037250,0.013062
606.502800,97.136000,0.012620
606.984900,97.178770,0.012429
607.467000,97.163040,0.012499
607.949200,97.098980,0.012785
608.431300,97.006580,0.013199
608.913400,96.910790,0.013628
609.395500,96.835430,0.013966
609.877600,96.797710,0.014135
610.359700,96.803540,0.014109
610.841900,96.847080,0.013913
611.324000,96.911710,0.013624
611.806100,96.975380,0.013339
612.288200,97.015930,0.013157
612.770300,97.015640,0.013158
613.252400,96.964500,0.013387
613.734600,96.862470,0.013844
614.216700,96.719870,0.014484
614.698800,96.555660,0.015222
615.180900,96.393180,0.015954
615.663000,96.255360,0.016575
616.145100,96.159450,0.017008
616.627300,96.114190,0.017212
617.109400,96.117410,0.017198
617.591500,96.156390,0.017022
618.073600,96.210560,0.016777
618.555700,96.257050,0.016567
619.037800,96.277580,0.016475
619.520000,96.262930,0.016541
620.002100,96.215250,0.016756
620.484200,96.146350,0.017067
620.966300,96.074580,0.017392
621.448400,96.019790,0.017639
621.930500,95.997820,0.017739
622.412700,96.016330,0.017655
622.894800,96.073060,0.017398
623.376900,96.157280,0.017018
623.859000,96.252680,0.016587
624.341100,96.342180,0.016184
624.823200,96.411120,0.015873
625.305400,96.450740,0.015694
625.787500,96.459750,0.015654
626.269600,96.443890,0.015725
626.751700,96.413020,0.015864
627.233800,96.377570,0.016024
627.715900,96.345270,0.016170
628.198100,96.319220,0.016287
628.680200,96.298110,0.016382
629.162300,96.277600,0.016475
629.644400,96.252940,0.016586
630.126500,96.221600,0.016727
630.608600,96.184800,0.016894
631.090800,96.147390,0.017063
631.572900,96.116660,0.017201
632.055000,96.100040,0.017276
632.537100,96.102910,0.017263
633.019200,96.126900,0.017155
633.501300,96.169390,0.016963
633.983500,96.224480,0.016714
634.465600,96.284620,0.016443
634.947700,96.342740,0.016181
635.429800,96.393300,0.015953
635.911900,96.433050,0.015774
636.394000,96.460830,0.015649
636.876200,96.476860,0.015577
637.358300,96.482520,0.015551
637.840400,96.479580,0.015565
638.322500,96.469930,0.015608
638.804600,96.455240,0.015674
639.286700,96.436710,0.015758
639.768900,96.415470,0.015853
640.251000,96.392240,0.015958
640.733100,96.367970,0.016067
641.215200,96.343670,0.016177
641.697300,96.320840,0.016280
642.179400,96.300780,0.016370
642.661600,96.284390,0.016444
643.143700,96.271830,0.016501
643.625800,96.262050,0.016545
644.107900,96.253220,0.016585
644.590000,96.243000,0.016631
645.072100,96.229420,0.016692
645.554300,96.211690,0.016772
646.036400,96.190390,0.016868
646.518500,96.167300,0.016973
647.000600,96.144800,0.017074
647.482700,96.125100,0.017163
647.964800,96.109730,0.017233
648.447000,96.099130,0.017281
648.929100,96.093150,0.017308
649.411200,96.091220,0.017316
649.893300,96.092640,0.017310
650.375400,96.096730,0.017291
650.857500,96.102280,0.017266
651.339700,96.107390,0.017243
651.821800,96.109240,0.017235
652.303900,96.104860,0.017255
652.786000,96.092300,0.017311
653.268100,96.071750,0.017404
653.750200,96.045970,0.017521
654.232400,96.019940,0.017639
654.714500,95.999210,0.017732
655.196600,95.988120,0.017783
655.678700,95.987870,0.017784
656.160800,95.996110,0.017746
656.642900,96.007740,0.017694
657.125100,96.017030,0.017652
657.607200,96.019710,0.017640
658.089300,96.014540,0.017663
658.571400,96.003310,0.017714
659.053500,95.989580,0.017776
659.535600,95.976900,0.017833
660.017800,95.967310,0.017877
660.499900,95.960720,0.017907
660.982000,95.955990,0.017928
661.464100,95.952100,0.017946
661.946200,95.949380,0.017958
662.428300,95.949340,0.017958
662.910500,95.953340,0.017940
663.392600,95.960550,0.017907
663.874700,95.966660,0.017880
664.356800,95.963900,0.017892
664.838900,95.942480,0.017989
665.321000,95.892460,0.018216
665.803200,95.806210,0.018606
666.285300,95.682210,0.019169
666.767400,95.531680,0.019853
667.249500,95.385480,0.020518
667.731600,95.291020,0.020948
668.213700,95.287770,0.020963
668.695900,95.376890,0.020557
669.178000,95.521490,0.019899
669.660100,95.676250,0.019196
670.142200,95.810490,0.018587
670.624300,95.910920,0.018132
671.106400,95.975780,0.017838
671.588600,96.008910,0.017688
672.070700,96.016820,0.017653
672.552800,96.006900,0.017698
673.034900,95.986150,0.017791
673.517000,95.960250,0.017909
673.999100,95.933030,0.018032
674.481300,95.906640,0.018151
674.963400,95.882430,0.018261
675.445500,95.861490,0.018356
675.927600,95.844990,0.018431
676.409700,95.833820,0.018481
676.891800,95.828260,0.018506
677.374000,95.827890,0.018508
677.856100,95.831890,0.018490
678.338200,95.839540,0.018455
678.820300,95.850430,0.018406
679.302400,95.864310,0.018343
679.784500,95.880440,0.018270
680.266700,95.897140,0.018194
680.748800,95.911580,0.018129
681.230900,95.920460,0.018089
681.713000,95.921390,0.018085
682.195100,95.914120,0.018117
682.677200,95.901110,0.018176
683.159400,95.887440,0.018238
683.641500,95.879490,0.018274
684.123600,95.882970,0.018259
684.605700,95.901070,0.018177
685.087800,95.933270,0.018031
685.569900,95.975590,0.017839
686.052100,96.021940,0.017630
686.534200,96.065730,0.017432
687.016300,96.101600,0.017269
687.498400,96.126460,0.017157
687.980500,96.139910,0.017096
688.462600,96.143880,0.017078
688.944800,96.141980,0.017087
689.426900,96.138370,0.017103
689.909000,96.136980,0.017110
690.391100,96.140880,0.017092
690.873200,96.151950,0.017042
691.355300,96.170680,0.016957
691.837500,96.196080,0.016843
692.319600,96.225730,0.016709
692.801700,96.256410,0.016570
693.283800,96.284620,0.016443
693.765900,96.307670,0.016339
694.248000,96.324120,0.016265
694.730200,96.334290,0.016219
695.212300,96.339980,0.016193
695.694400,96.344080,0.016175
696.176500,96.349660,0.016150
696.658600,96.359150,0.016107
697.140700,96.373820,0.016041
