wavenumber,transmittance,absorbance
550.095200,86.463660,0.063166
550.577300,86.427760,0.063347
551.059400,86.435300,0.063309
551.541500,86.484150,0.063063
552.023600,86.548740,0.062739
552.505700,86.684840,0.062057
552.987900,86.845560,0.061252
553.470000,86.971320,0.060624
553.952100,87.106160,0.059951
554.434200,87.210640,0.059431
554.916300,87.287280,0.059049
555.398400,87.340000,0.058787
555.880600,87.450620,0.058237
556.362700,87.506270,0.057961
556.844800,87.540730,0.057790
557.326900,87.555040,0.057719
557.809000,87.586860,0.057561
558.291100,87.627490,0.057360
558.773300,87.730740,0.056848
559.255400,87.874790,0.056136
559.737500,88.022280,0.055407
560.219600,88.202020,0.054521
560.701700,88.384860,0.053622
561.183800,88.519650,0.052960
561.666000,88.619230,0.052472
562.148100,88.669500,0.052226
562.630200,88.658000,0.052282
563.112300,88.603740,0.052548
563.594400,88.632760,0.052406
564.076500,88.594180,0.052595
564.558700,88.573300,0.052697
565.040800,88.624980,0.052444
565.522900,88.694480,0.052103
566.005000,88.763920,0.051764
566.487100,88.807790,0.051549
566.969200,88.803270,0.051571
567.451400,88.744700,0.051858
567.933500,88.644450,0.052348
568.415600,88.614280,0.052496
568.897700,88.527000,0.052924
569.379800,88.438820,0.053357
569.861900,88.379640,0.053648
570.344100,88.331300,0.053885
570.826200,88.275660,0.054159
571.308300,88.217610,0.054445
571.790400,88.121190,0.054920
572.272500,87.979100,0.055620
572.754600,87.840070,0.056307
573.236800,87.661960,0.057189
573.718900,87.502260,0.057981
574.201000,87.367020,0.058652
574.683100,87.252560,0.059222
575.165200,87.150340,0.059731
575.647300,87.052290,0.060220
576.129500,86.943080,0.060765
576.611600,86.812100,0.061420
577.093700,86.661590,0.062173
577.575800,86.510310,0.062932
578.057900,86.382290,0.063575
578.540000,86.297640,0.064001
579.022200,86.262870,0.064176
579.504300,86.264510,0.064168
579.986400,86.269110,0.064145
580.468500,86.239660,0.064293
580.950600,86.156590,0.064711
581.432700,86.030740,0.065346
581.914900,85.893360,0.066040
582.397000,85.786230,0.066582
582.879100,85.743980,0.066796
583.361200,85.782610,0.066601
583.843300,85.892650,0.066044
584.325400,86.044400,0.065277
584.807600,86.200200,0.064492
585.289700,86.325300,0.063862
585.771800,86.392990,0.063521
586.253900,86.390930,0.063532
586.736000,86.326390,0.063856
587.218100,86.238940,0.064297
587.700300,86.151600,0.064737
588.182400,86.095590,0.065019
588.664500,86.083500,0.065080
589.146600,86.111070,0.064941
589.628700,86.163250,0.064678
590.110800,86.221250,0.064386
590.593000,86.266020,0.064160
591.075100,86.281000,0.064085
591.557200,86.253730,0.064222
592.039300,86.179680,0.064595
592.521400,86.064590,0.065175
593.003500,85.925170,0.065880
593.485700,85.786930,0.066579
593.967800,85.677890,0.067131
594.449900,85.619650,0.067427
594.932000,85.618110,0.067434
595.414100,85.659410,0.067225
595.896200,85.714400,0.066946
596.378400,85.750670,0.066762
