wavenumber,transmittance,absorbance
550.095200,82.627530,0.082875
550.577300,82.872890,0.081588
551.059400,83.076670,0.080521
551.541500,83.273190,0.079495
552.023600,83.492750,0.078351
552.505700,83.667080,0.077445
552.987900,83.867160,0.076408
553.470000,84.120060,0.075100
553.952100,84.356830,0.073880
554.434200,84.546170,0.072906
554.916300,84.668440,0.072278
555.398400,84.766440,0.071776
555.880600,84.842250,0.071388
556.362700,84.859110,0.071302
556.844800,84.854620,0.071325
557.326900,84.864620,0.071273
557.809000,84.908550,0.071049
558.291100,84.997950,0.070592
558.773300,85.051770,0.070317
559.255400,85.320880,0.068945
559.737500,85.640750,0.067320
560.219600,85.993360,0.065535
560.701700,86.324200,0.063867
561.183800,86.616850,0.062398
561.666000,86.797290,0.061494
562.148100,86.962190,0.060670
562.630200,87.089440,0.060035
563.112300,87.225310,0.059357
563.594400,87.315700,0.058908
564.076500,87.442830,0.058276
564.558700,87.561150,0.057689
565.040800,87.653330,0.057232
565.522900,87.728320,0.056860
566.005000,87.781730,0.056596
566.487100,87.836620,0.056324
566.969200,87.942370,0.055802
567.451400,88.119110,0.054930
567.933500,88.316440,0.053958
568.415600,88.440250,0.053350
568.897700,88.435140,0.053375
569.379800,88.420040,0.053449
569.861900,88.340150,0.053842
570.344100,88.262590,0.054223
570.826200,88.262180,0.054225
571.308300,88.326410,0.053909
571.790400,88.491800,0.053097
572.272500,88.699780,0.052077
572.754600,88.812520,0.051526
573.236800,88.937540,0.050915
573.718900,88.958600,0.050812
574.201000,88.878080,0.051205
574.683100,88.751790,0.051823
575.165200,88.628220,0.052428
575.647300,88.513650,0.052990
576.129500,88.402190,0.053537
576.611600,88.302790,0.054026
577.093700,88.219700,0.054434
577.575800,88.143170,0.054811
578.057900,88.077170,0.055137
578.540000,88.060230,0.055220
579.022200,88.127180,0.054890
579.504300,88.275590,0.054159
579.986400,88.472650,0.053191
580.468500,88.678340,0.052182
580.950600,88.848380,0.051350
581.432700,88.944290,0.050882
581.914900,88.951480,0.050847
582.397000,88.887050,0.051162
582.879100,88.776850,0.051700
583.361200,88.642310,0.052359
583.843300,88.498850,0.053062
584.325400,88.361820,0.053735
584.807600,88.240360,0.054333
585.289700,88.145270,0.054801
585.771800,88.103130,0.055009
586.253900,88.153850,0.054759
586.736000,88.314350,0.053969
587.218100,88.332010,0.053882
587.700300,88.355160,0.053768
588.182400,88.377090,0.053660
588.664500,88.388280,0.053605
589.146600,88.378810,0.053652
589.628700,88.341840,0.053834
590.110800,88.276330,0.054156
590.593000,88.187640,0.054592
591.075100,88.085680,0.055095
591.557200,87.981570,0.055608
592.039300,87.882950,0.056095
592.521400,87.792910,0.056541
593.003500,87.709880,0.056951
593.485700,87.630300,0.057346
593.967800,87.550830,0.057740
594.449900,87.469180,0.058145
594.932000,87.383900,0.058569
595.414100,87.293500,0.059018
595.896200,87.196580,0.059501
596.378400,87.093250,0.060016
596.860500,86.987490,0.060543
597.342600,86.889120,0.061035
597.824700,86.813250,0.061414
598.306800,86.777580,0.061592
598.788900,86.795870,0.061501
599.271100,86.872890,0.061116
599.753200,87.000720,0.060477
600.235300,87.160700,0.059679
600.717400,87.328120,0.058846
601.199500,87.479050,0.058096
601.681600,87.594860,0.057521
602.163800,87.665210,0.057173
602.645900,87.687470,0.057062
603.128000,87.665240,0.057173
603.610100,87.606290,0.057465
604.092200,87.521100,0.057887
604.574300,87.422280,0.058378
605.056500,87.324940,0.058862
605.538600,87.245080,0.059259
606.020700,87.197370,0.059497
606.502800,87.189660,0.059535
606.984900,87.219730,0.059385
607.467000,87.273800,0.059116
607.949200,87.330750,0.058833
608.431300,87.369370,0.058641
608.913400,87.376210,0.058607
609.395500,87.351070,0.058732
609.877600,87.306740,0.058952
610.359700,87.262560,0.059172
610.841900,87.234930,0.059310
611.324000,87.228680,0.059341
611.806100,87.234890,0.059310
612.288200,87.235530,0.059307
612.770300,87.213520,0.059416
613.252400,87.162850,0.059669
613.734600,87.094700,0.060008
614.216700,87.034550,0.060308
614.698800,87.013080,0.060415
615.180900,87.052710,0.060218
615.663000,87.157840,0.059694
616.145100,87.311160,0.058930
616.627300,87.479170,0.058095
617.109400,87.622670,0.057384
617.591500,87.710250,0.056950
618.073600,87.729000,0.056857
618.555700,87.688110,0.057059
619.037800,87.614040,0.057426
619.520000,87.540600,0.057790
620.002100,87.497550,0.058004
620.484200,87.503840,0.057973
620.966300,87.563290,0.057678
621.448400,87.665440,0.057172
621.930500,87.788840,0.056561
622.412700,87.907450,0.055974
622.894800,87.997010,0.055532
623.376900,88.041270,0.055314
623.859000,88.034300,0.055348
624.341100,87.981090,0.055611
624.823200,87.894810,0.056037
625.305400,87.792590,0.056542
625.787500,87.690070,0.057050
626.269600,87.597220,0.057510
626.751700,87.516140,0.057912
627.233800,87.442550,0.058277
627.715900,87.369400,0.058641
628.198100,87.290790,0.059032
628.680200,87.205280,0.059457
629.162300,87.116470,0.059900
629.644400,87.031680,0.060323
630.126500,86.958800,0.060686
630.608600,86.903750,0.060961
631.090800,86.869290,0.061134
631.572900,86.855030,0.061205
632.055000,86.859140,0.061184
632.537100,86.879100,0.061085
633.019200,86.912410,0.060918
633.501300,86.955890,0.060701
633.983500,87.005010,0.060456
634.465600,87.053630,0.060213
634.947700,87.094840,0.060008
635.429800,87.122550,0.059869
635.911900,87.133640,0.059814
636.394000,87.128460,0.059840
636.876200,87.110600,0.059929
637.358300,87.084840,0.060057
637.840400,87.054600,0.060208
638.322500,87.020480,0.060379
638.804600,86.980640,0.060577
639.286700,86.932610,0.060817
639.768900,86.876120,0.061100
640.251000,86.814600,0.061407
640.733100,86.755010,0.061705
641.215200,86.705650,0.061953
641.697300,86.672900,0.062117
642.179400,86.658800,0.062187
642.661600,86.660660,0.062178
643.143700,86.672400,0.062119
643.625800,86.687360,0.062044
644.107900,86.700830,0.061977
644.590000,86.711660,0.061922
645.072100,86.721860,0.061871
645.554300,86.734920,0.061806
646.036400,86.753500,0.061713
646.518500,86.777980,0.061590
647.000600,86.805920,0.061451
647.482700,86.832940,0.061315
647.964800,86.854260,0.061209
648.447000,86.866240,0.061149
648.929100,86.867100,0.061145
649.411200,86.857110,0.061195
649.893300,86.837830,0.061291
650.375400,86.811900,0.061421
650.857500,86.782620,0.061567
651.339700,86.754280,0.061709
651.821800,86.731770,0.061822
652.303900,86.719910,0.061881
652.786000,86.722020,0.061871
653.268100,86.738570,0.061788
653.750200,86.766590,0.061647
654.232400,86.800160,0.061479
654.714500,86.831980,0.061320
655.196600,86.855550,0.061202
655.678700,86.866940,0.061145
656.160800,86.865790,0.061151
656.642900,86.854330,0.061209
657.125100,86.835860,0.061301
657.607200,86.812680,0.061417
658.089300,86.785270,0.061554
658.571400,86.752490,0.061718
659.053500,86.713030,0.061916
659.535600,86.666700,0.062148
660.017800,86.615350,0.062405
660.499900,86.562110,0.062672
660.982000,86.510200,0.062933
661.464100,86.461370,0.063178
661.946200,86.415380,0.063409
662.428300,86.370170,0.063636
662.910500,86.323280,0.063872
663.392600,86.272830,0.064126
663.874700,86.218340,0.064400
664.356800,86.160190,0.064693
664.838900,86.098770,0.065003
665.321000,86.033430,0.065333
665.803200,85.962190,0.065693
666.285300,85.882150,0.066097
666.767400,85.791200,0.066557
667.249500,85.691140,0.067064
667.731600,85.590040,0.067577
668.213700,85.499520,0.068036
668.695900,85.426500,0.068407
669.178000,85.367810,0.068706
669.660100,85.314090,0.068979
670.142200,85.256330,0.069273
670.624300,85.189200,0.069615
671.106400,85.111320,0.070013
671.588600,85.024520,0.070456
672.070700,84.932460,0.070926
672.552800,84.839100,0.071404
673.034900,84.746890,0.071876
673.517000,84.655810,0.072343
673.999100,84.563540,0.072817
674.481300,84.467250,0.073312
674.963400,84.365450,0.073835
675.445500,84.258810,0.074385
675.927600,84.149830,0.074947
676.409700,84.041280,0.075507
676.891800,83.934520,0.076059
677.374000,83.828720,0.076607
677.856100,83.721910,0.077161
678.338200,83.612890,0.077727
678.820300,83.503290,0.078296
679.302400,83.398090,0.078844
679.784500,83.304560,0.079331
680.266700,83.229220,0.079724
680.748800,83.174910,0.080008
681.230900,83.139050,0.080195
681.713000,83.114260,0.080324
682.195100,83.090990,0.080446
682.677200,83.060670,0.080605
683.159400,83.018190,0.080827
683.641500,82.962610,0.081118
684.123600,82.896510,0.081464
684.605700,82.824040,0.081844
685.087800,82.749280,0.082236
685.569900,82.674860,0.082627
686.052100,82.601850,0.083010
686.534200,82.530440,0.083386
687.016300,82.460340,0.083755
687.498400,82.391040,0.084120
687.980500,82.321660,0.084486
688.462600,82.250660,0.084861
688.944800,82.176230,0.085254
689.426900,82.096710,0.085674
689.909000,82.011700,0.086124
690.391100,81.922570,0.086596
690.873200,81.832160,0.087076
691.355300,81.744010,0.087544
691.837500,81.660770,0.087987
692.319600,81.583240,0.088399
692.801700,81.510020,0.088789
693.283800,81.438080,0.089172
693.765900,81.364090,0.089567
694.248000,81.285290,0.089988
694.730200,81.199740,0.090445
695.212300,81.105890,0.090948
695.694400,81.001780,0.091505
696.176500,80.884810,0.092133
696.658600,80.751950,0.092847
697.140700,80.601030,0.093659
697.622900,80.431870,0.094572
698.105000,80.247150,0.095570
698.587100,80.052050,0.096628
