wavenumber,transmittance,absorbance
550.095200,99.945030,0.000239
550.577300,99.914440,0.000372
551.059400,99.898860,0.000439
551.541500,99.863360,0.000594
552.023600,99.794770,0.000892
552.505700,99.663710,0.001463
552.987900,99.628660,0.001616
553.470000,99.530110,0.002046
553.952100,99.466190,0.002325
554.434200,99.450520,0.002393
554.916300,99.480700,0.002261
555.398400,99.530240,0.002045
555.880600,99.583150,0.001814
556.362700,99.649310,0.001526
556.844800,99.714360,0.001242
557.326900,99.779450,0.000959
557.809000,99.860920,0.000604
558.291100,99.978010,0.000096
558.773300,100.134600,-0.000584
559.255400,100.241600,-0.001048
559.737500,100.381100,-0.001652
560.219600,100.485100,-0.002102
560.701700,100.539700,-0.002338
561.183800,100.534900,-0.002317
561.666000,100.552400,-0.002392
562.148100,100.468800,-0.002031
562.630200,100.371100,-0.001609
563.112300,100.265400,-0.001151
563.594400,100.183200,-0.000795
564.076500,100.129800,-0.000563
564.558700,100.122700,-0.000533
565.040800,100.162400,-0.000705
565.522900,100.243100,-0.001054
566.005000,100.351800,-0.001525
566.487100,100.457700,-0.001983
566.969200,100.519100,-0.002249
567.451400,100.509800,-0.002208
567.933500,100.435300,-0.001886
568.415600,100.319100,-0.001384
568.897700,100.201100,-0.000872
569.379800,100.070700,-0.000307
569.861900,99.964050,0.000156
570.344100,99.871640,0.000558
570.826200,99.772870,0.000988
571.308300,99.668590,0.001442
571.790400,99.548610,0.001965
572.272500,99.426800,0.002497
572.754600,99.334490,0.002900
573.236800,99.237130,0.003326
573.718900,99.155160,0.003685
574.201000,99.080670,0.004011
574.683100,99.005260,0.004342
575.165200,98.937830,0.004638
575.647300,98.903860,0.004787
576.129500,98.918040,0.004724
576.611600,98.970420,0.004495
577.093700,99.034680,0.004213
577.575800,99.079080,0.004018
578.057900,99.072450,0.004047
578.540000,98.995250,0.004386
579.022200,98.859560,0.004981
579.504300,98.708460,0.005646
579.986400,98.592730,0.006155
580.468500,98.542320,0.006377
580.950600,98.558350,0.006307
581.432700,98.616940,0.006048
581.914900,98.678990,0.005775
582.397000,98.709290,0.005642
582.879100,98.696220,0.005699
583.361200,98.653490,0.005888
583.843300,98.606060,0.006096
584.325400,98.569230,0.006259
584.807600,98.539930,0.006388
585.289700,98.495440,0.006584
585.771800,98.403030,0.006992
586.253900,98.241010,0.007707
586.736000,98.023760,0.008669
587.218100,97.917170,0.009141
587.700300,97.886640,0.009277
588.182400,97.957390,0.008963
588.664500,98.128320,0.008206
589.146600,98.369580,0.007139
589.628700,98.629040,0.005995
590.110800,98.845250,0.005044
590.593000,98.964260,0.004522
591.075100,98.957380,0.004552
591.557200,98.831580,0.005104
592.039300,98.626060,0.006008
592.521400,98.395390,0.007025
593.003500,98.188160,0.007941
593.485700,98.034030,0.008623
593.967800,97.939540,0.009042
594.449900,97.893220,0.009247
594.932000,97.874500,0.009330
595.414100,97.864300,0.009376
595.896200,97.851580,0.009432
596.378400,97.835080,0.009505
596.860500,97.819630,0.009574
597.342600,97.809970,0.009617
597.824700,97.806390,0.009633
598.306800,97.802970,0.009648
598.788900,97.790710,0.009702
599.271100,97.762030,0.009830
599.753200,97.716120,0.010034
600.235300,97.660350,0.010282
600.717400,97.608570,0.010512
601.199500,97.576190,0.010656
601.681600,97.575610,0.010659
602.163800,97.612470,0.010495
602.645900,97.685180,0.010171
603.128000,97.786970,0.009719
603.610100,97.909590,0.009175
604.092200,98.046290,0.008569
604.574300,98.192690,0.007921
605.056500,98.344180,0.007251
605.538600,98.492650,0.006596
606.020700,98.624500,0.006015
606.502800,98.722550,0.005584
606.984900,98.771440,0.005369
607.467000,98.764690,0.005398
607.949200,98.709030,0.005643
608.431300,98.623750,0.006018
608.913400,98.535570,0.006407
609.395500,98.470620,0.006693
609.877600,98.445880,0.006802
610.359700,98.462910,0.006727
610.841900,98.507760,0.006530
611.324000,98.555780,0.006318
611.806100,98.581250,0.006206
612.288200,98.566350,0.006271
612.770300,98.506100,0.006537
613.252400,98.408520,0.006967
613.734600,98.290910,0.007487
614.216700,98.172970,0.008008
614.698800,98.071200,0.008459
615.180900,97.994690,0.008797
615.663000,97.946100,0.009013
616.145100,97.923680,0.009112
616.627300,97.924720,0.009108
617.109400,97.946910,0.009009
617.591500,97.987410,0.008830
618.073600,98.041520,0.008590
618.555700,98.101810,0.008323
619.037800,98.159230,0.008069
619.520000,98.205830,0.007863
620.002100,98.236910,0.007725
620.484200,98.252430,0.007657
620.966300,98.256480,0.007639
621.448400,98.254900,0.007646
621.930500,98.252600,0.007656
622.412700,98.251080,0.007663
622.894800,98.247760,0.007677
623.376900,98.237650,0.007722
623.859000,98.215840,0.007818
624.341100,98.180900,0.007973
624.823200,98.136140,0.008171
625.305400,98.089690,0.008377
625.787500,98.052020,0.008543
626.269600,98.032280,0.008631
626.751700,98.035030,0.008619
627.233800,98.058780,0.008514
627.715900,98.096370,0.008347
628.198100,98.137250,0.008166
628.680200,98.170460,0.008019
629.162300,98.187880,0.007942
