wavenumber,transmittance,absorbance
550.095200,50.364440,0.297876
550.577300,50.608790,0.295774
551.059400,50.826390,0.293911
551.541500,50.987940,0.292533
552.023600,51.055070,0.291961
552.505700,51.038500,0.292102
552.987900,50.990070,0.292514
553.470000,50.895580,0.293320
553.952100,50.830730,0.293874
554.434200,50.799580,0.294140
554.916300,50.820890,0.293958
555.398400,50.899720,0.293285
555.880600,51.064950,0.291877
556.362700,51.189720,0.290817
556.844800,51.279460,0.290057
557.326900,51.316680,0.289741
557.809000,51.309230,0.289805
558.291100,51.241570,0.290378
558.773300,51.133660,0.291293
559.255400,51.049980,0.292004
559.737500,50.951180,0.292846
560.219600,50.880240,0.293451
560.701700,50.836840,0.293821
561.183800,50.792590,0.294200
561.666000,50.741920,0.294633
562.148100,50.674780,0.295208
562.630200,50.596400,0.295880
563.112300,50.540000,0.296365
563.594400,50.580570,0.296016
564.076500,50.627070,0.295617
564.558700,50.711660,0.294892
565.040800,50.839470,0.293799
565.522900,50.948830,0.292866
566.005000,51.016440,0.292290
566.487100,51.037610,0.292110
566.969200,51.015540,0.292298
567.451400,50.951170,0.292846
567.933500,50.842320,0.293775
568.415600,50.747000,0.294590
568.897700,50.552840,0.296254
569.379800,50.320770,0.298253
569.861900,50.063070,0.300483
570.344100,49.809770,0.302685
570.826200,49.604810,0.304476
571.308300,49.492260,0.305463
571.790400,49.491450,0.305470
572.272500,49.587760,0.304626
572.754600,49.731950,0.303365
573.236800,49.849530,0.302339
573.718900,49.897500,0.301921
574.201000,49.869760,0.302163
574.683100,49.797120,0.302796
575.165200,49.725840,0.303418
575.647300,49.698870,0.303653
576.129500,49.734510,0.303342
576.611600,49.812080,0.302665
577.093700,49.881990,0.302056
577.575800,49.898820,0.301910
578.057900,49.848900,0.302344
578.540000,49.751050,0.303198
579.022200,49.645750,0.304118
579.504300,49.573370,0.304752
579.986400,49.554900,0.304913
580.468500,49.577220,0.304718
580.950600,49.603540,0.304487
581.432700,49.596880,0.304546
581.914900,49.539290,0.305050
582.397000,49.438300,0.305936
582.879100,49.322530,0.306955
583.361200,49.229770,0.307772
583.843300,49.189270,0.308130
584.325400,49.204700,0.307993
584.807600,49.256610,0.307535
585.289700,49.319990,0.306977
585.771800,49.381640,0.306434
586.253900,49.440980,0.305913
586.736000,49.504630,0.305354
587.218100,49.409510,0.306189
587.700300,49.399720,0.306276
588.182400,49.468520,0.305671
588.664500,49.555590,0.304907
589.146600,49.591800,0.304590
589.628700,49.545230,0.304998
590.110800,49.441740,0.305906
590.593000,49.351090,0.306703
591.075100,49.344020,0.306765
591.557200,49.446110,0.305868
592.039300,49.618420,0.304357
592.521400,49.780910,0.302937
593.003500,49.860450,0.302244
593.485700,49.833240,0.302481
593.967800,49.737650,0.303315
594.449900,49.653000,0.304055
594.932000,49.654830,0.304039
595.414100,49.771740,0.303017
595.896200,49.967850,0.301309
596.378400,50.163300,0.299614
596.860500,50.277920,0.298623
597.342600,50.273480,0.298661
597.824700,50.171400,0.299544
598.306800,50.039850,0.300684
598.788900,49.955150,0.301420
599.271100,49.960110,0.301377
599.753200,50.041870,0.300666
600.235300,50.143200,0.299788
600.717400,50.199830,0.299298
601.199500,50.179160,0.299477
601.681600,50.100110,0.300161
602.163800,50.024240,0.300820
602.645900,50.022000,0.300839
603.128000,50.134010,0.299868
603.610100,50.348140,0.298017
604.092200,50.606390,0.295795
604.574300,50.836050,0.293828
605.056500,50.986310,0.292546
605.538600,51.050560,0.291999
606.020700,51.063730,0.291887
606.502800,51.076220,0.291781
606.984900,51.120660,0.291404
607.467000,51.190400,0.290811
607.949200,51.246140,0.290339
608.431300,51.243450,0.290362
608.913400,51.165020,0.291027
609.395500,51.037250,0.292113
609.877600,50.920600,0.293106
610.359700,50.877310,0.293476
610.841900,50.933960,0.292993
611.324000,51.062710,0.291896
611.806100,51.194440,0.290777
612.288200,51.256830,0.290248
612.770300,51.214920,0.290604
613.252400,51.091010,0.291656
613.734600,50.953080,0.292830
614.216700,50.875870,0.293488
614.698800,50.896870,0.293309
615.180900,50.993600,0.292484
615.663000,51.096550,0.291608
616.145100,51.129880,0.291325
616.627300,51.055010,0.291962
617.109400,50.893830,0.293335
617.591500,50.717880,0.294839
618.073600,50.608040,0.295780
618.555700,50.608600,0.295776
619.037800,50.703540,0.294962
619.520000,50.829430,0.293885
620.002100,50.913540,0.293167
620.484200,50.914100,0.293162
620.966300,50.840270,0.293792
621.448400,50.743330,0.294621
621.930500,50.685080,0.295120
622.412700,50.701950,0.294975
622.894800,50.786660,0.294250
623.376900,50.897290,0.293305
623.859000,50.985060,0.292557
624.341100,51.023750,0.292228
624.823200,51.023110,0.292233
625.305400,51.020540,0.292255
625.787500,51.056120,0.291952
626.269600,51.147190,0.291178
626.751700,51.277820,0.290070
627.233800,51.409140,0.288960
627.715900,51.502300,0.288173
628.198100,51.540350,0.287853
628.680200,51.536590,0.287884
629.162300,51.526200,0.287972
629.644400,51.545360,0.287810
630.126500,51.610610,0.287261
630.608600,51.710330,0.286423
631.090800,51.812730,0.285564
631.572900,51.885670,0.284953
632.055000,51.916040,0.284698
632.537100,51.918090,0.284681
633.019200,51.926820,0.284608
633.501300,51.978270,0.284178
633.983500,52.089630,0.283249
634.465600,52.248650,0.281925
634.947700,52.420060,0.280502
635.429800,52.563490,0.279316
635.911900,52.653680,0.278571
636.394000,52.691140,0.278262
636.876200,52.698390,0.278203
637.358300,52.704250,0.278154
637.840400,52.726280,0.277973
638.322500,52.761710,0.277681
638.804600,52.792320,0.277429
639.286700,52.798930,0.277375
639.768900,52.776380,0.277560
640.251000,52.739460,0.277864
640.733100,52.716500,0.278053
641.215200,52.733700,0.277912
641.697300,52.800120,0.277365
642.179400,52.902040,0.276528
642.661600,53.010170,0.275641
643.143700,53.094730,0.274949
643.625800,53.140340,0.274576
644.107900,53.152600,0.274475
644.590000,53.153090,0.274471
645.072100,53.165860,0.274367
645.554300,53.203670,0.274058
646.036400,53.261530,0.273586
646.518500,53.321420,0.273098
647.000600,53.364260,0.272750
647.482700,53.382440,0.272602
647.964800,53.385650,0.272575
648.447000,53.396430,0.272488
648.929100,53.437450,0.272154
649.411200,53.518440,0.271497
649.893300,53.629990,0.270592
650.375400,53.748060,0.269637
650.857500,53.845850,0.268848
651.339700,53.906820,0.268356
651.821800,53.931610,0.268157
652.303900,53.935870,0.268122
652.786000,53.940270,0.268087
653.268100,53.958820,0.267938
653.750200,53.992440,0.267667
654.232400,54.031010,0.267357
654.714500,54.061830,0.267109
655.196600,54.079250,0.266969
655.678700,54.089420,0.266888
656.160800,54.107270,0.266744
656.642900,54.147640,0.266420
657.125100,54.216080,0.265872
657.607200,54.304990,0.265160
658.089300,54.397510,0.264421
658.571400,54.476450,0.263791
659.053500,54.533460,0.263337
659.535600,54.573210,0.263021
660.017800,54.609880,0.262729
660.499900,54.658250,0.262344
660.982000,54.724840,0.261815
661.464100,54.803930,0.261188
661.946200,54.880970,0.260578
662.428300,54.940520,0.260107
662.910500,54.974610,0.259838
663.392600,54.986290,0.259746
663.874700,54.986720,0.259742
664.356800,54.987270,0.259738
664.838900,54.992710,0.259695
665.321000,54.998580,0.259649
665.803200,54.993900,0.259685
666.285300,54.968030,0.259890
666.767400,54.920890,0.260262
667.249500,54.873380,0.260638
667.731600,54.866630,0.260692
668.213700,54.937490,0.260131
668.695900,55.085610,0.258962
669.178000,55.271790,0.257496
669.660100,55.449040,0.256106
670.142200,55.588450,0.255015
670.624300,55.683670,0.254272
671.106400,55.744700,0.253796
671.588600,55.789480,0.253448
672.070700,55.836150,0.253085
672.552800,55.895900,0.252620
673.034900,55.968570,0.252056
673.517000,56.043830,0.251472
673.999100,56.107940,0.250976
674.481300,56.152270,0.250633
674.963400,56.178380,0.250431
675.445500,56.197300,0.250285
675.927600,56.223570,0.250082
676.409700,56.267480,0.249743
676.891800,56.329950,0.249261
677.374000,56.402770,0.248700
677.856100,56.474190,0.248150
678.338200,56.535870,0.247676
678.820300,56.587240,0.247281
679.302400,56.634950,0.246915
679.784500,56.687620,0.246512
680.266700,56.750100,0.246033
680.748800,56.819730,0.245501
681.230900,56.887710,0.244982
681.713000,56.944600,0.244547
682.195100,56.986530,0.244228
682.677200,57.018450,0.243985
683.159400,57.052260,0.243727
683.641500,57.101210,0.243355
684.123600,57.172860,0.242810
684.605700,57.265130,0.242110
685.087800,57.367280,0.241336
685.569900,57.465540,0.240593
686.052100,57.549770,0.239956
686.534200,57.617530,0.239445
687.016300,57.673760,0.239022
687.498400,57.726560,0.238624
687.980500,57.781850,0.238209
688.462600,57.840020,0.237772
688.944800,57.896580,0.237347
689.426900,57.946190,0.236975
689.909000,57.987290,0.236667
690.391100,58.024180,0.236391
690.873200,58.065350,0.236083
691.355300,58.118630,0.235685
691.837500,58.186340,0.235179
692.319600,58.263080,0.234607
692.801700,58.338060,0.234048
693.283800,58.400680,0.233582
693.765900,58.446340,0.233243
694.248000,58.479080,0.232999
694.730200,58.509770,0.232772
