wavenumber,transmittance,absorbance
550.095200,47.026630,0.327656
550.577300,47.083270,0.327133
551.059400,47.164680,0.326383
551.541500,47.270030,0.325414
552.023600,47.361450,0.324575
552.505700,47.335630,0.324812
552.987900,47.415740,0.324077
553.470000,47.386970,0.324341
553.952100,47.339300,0.324778
554.434200,47.243410,0.325659
554.916300,47.110870,0.326879
555.398400,46.986370,0.328028
555.880600,46.949480,0.328369
556.362700,46.847850,0.329310
556.844800,46.784680,0.329896
557.326900,46.786910,0.329876
557.809000,46.862380,0.329176
558.291100,46.949720,0.328367
558.773300,46.949730,0.328367
559.255400,47.080430,0.327160
559.737500,47.187640,0.326172
560.219600,47.289340,0.325237
560.701700,47.360130,0.324587
561.183800,47.365140,0.324541
561.666000,47.314930,0.325002
562.148100,47.169190,0.326342
562.630200,46.963950,0.328235
563.112300,46.765480,0.330075
563.594400,46.662330,0.331034
564.076500,46.612650,0.331496
564.558700,46.689390,0.330782
565.040800,46.910430,0.328731
565.522900,47.164090,0.326389
566.005000,47.364040,0.324551
566.487100,47.465530,0.323622
566.969200,47.474890,0.323536
567.451400,47.415580,0.324079
567.933500,47.313390,0.325016
568.415600,47.278970,0.325332
568.897700,47.161480,0.326413
569.379800,47.139820,0.326612
569.861900,47.142990,0.326583
570.344100,47.159140,0.326434
570.826200,47.189280,0.326157
571.308300,47.200050,0.326058
571.790400,47.218980,0.325883
572.272500,47.240680,0.325684
572.754600,47.217690,0.325895
573.236800,47.235970,0.325727
573.718900,47.238060,0.325708
574.201000,47.227550,0.325805
574.683100,47.233570,0.325749
575.165200,47.275480,0.325364
575.647300,47.353570,0.324647
576.129500,47.464690,0.323629
576.611600,47.604530,0.322352
577.093700,47.747760,0.321047
577.575800,47.852820,0.320092
578.057900,47.888840,0.319766
578.540000,47.851970,0.320100
579.022200,47.755310,0.320978
579.504300,47.621240,0.322199
579.986400,47.482870,0.323463
580.468500,47.369720,0.324499
580.950600,47.288470,0.325245
581.432700,47.226270,0.325816
581.914900,47.168870,0.326345
582.397000,47.110850,0.326879
582.879100,47.050690,0.327434
583.361200,46.992360,0.327973
583.843300,46.949030,0.328373
584.325400,46.937800,0.328477
584.807600,46.968050,0.328197
585.289700,47.045060,0.327486
585.771800,47.176600,0.326273
586.253900,47.368480,0.324511
586.736000,47.608820,0.322313
587.218100,47.586400,0.322517
587.700300,47.638060,0.322046
588.182400,47.765440,0.320886
588.664500,47.915450,0.319524
589.146600,48.020340,0.318575
589.628700,48.039760,0.318399
590.110800,47.984070,0.318903
590.593000,47.905870,0.319611
591.075100,47.866340,0.319970
591.557200,47.893460,0.319724
592.039300,47.962740,0.319096
592.521400,48.013120,0.318640
593.003500,47.986790,0.318878
593.485700,47.866430,0.319969
593.967800,47.687640,0.321594
594.449900,47.521530,0.323110
594.932000,47.435650,0.323895
