wavenumber,transmittance,absorbance
550.095200,87.789590,0.056557
550.577300,87.700800,0.056996
551.059400,87.600820,0.057492
551.541500,87.485180,0.058066
552.023600,87.390720,0.058535
552.505700,87.442130,0.058279
552.987900,87.296400,0.059004
553.470000,87.303950,0.058966
553.952100,87.321240,0.058880
554.434200,87.359700,0.058689
554.916300,87.407450,0.058452
555.398400,87.447020,0.058255
555.880600,87.412540,0.058426
556.362700,87.389110,0.058543
556.844800,87.270420,0.059133
557.326900,87.047760,0.060242
557.809000,86.740600,0.061778
558.291100,86.421210,0.063380
558.773300,86.212050,0.064432
559.255400,86.009910,0.065452
559.737500,85.892550,0.066045
560.219600,85.865950,0.066179
560.701700,85.904040,0.065986
561.183800,85.997930,0.065512
561.666000,86.047630,0.065261
562.148100,86.193730,0.064524
562.630200,86.371120,0.063631
563.112300,86.590420,0.062530
563.594400,86.822780,0.061366
564.076500,87.098270,0.059990
564.558700,87.295920,0.059006
565.040800,87.338750,0.058793
565.522900,87.259510,0.059187
566.005000,87.106350,0.059950
566.487100,86.944510,0.060758
566.969200,86.841680,0.061272
567.451400,86.843200,0.061264
567.933500,86.942200,0.060769
568.415600,87.033970,0.060311
568.897700,87.219900,0.059384
569.379800,87.336460,0.058804
569.861900,87.395390,0.058511
570.344100,87.398220,0.058497
570.826200,87.375310,0.058611
571.308300,87.379700,0.058589
571.790400,87.405740,0.058460
572.272500,87.447620,0.058252
572.754600,87.530620,0.057840
573.236800,87.577960,0.057605
573.718900,87.600430,0.057494
574.201000,87.575910,0.057615
574.683100,87.501310,0.057985
575.165200,87.382230,0.058577
575.647300,87.229960,0.059334
576.129500,87.057890,0.060192
576.611600,86.894420,0.061008
577.093700,86.764630,0.061657
577.575800,86.673830,0.062112
578.057900,86.604420,0.062460
578.540000,86.537030,0.062798
579.022200,86.459070,0.063189
579.504300,86.364230,0.063666
579.986400,86.250690,0.064237
580.468500,86.125790,0.064867
580.950600,86.005220,0.065475
581.432700,85.909220,0.065960
581.914900,85.850210,0.066259
582.397000,85.834180,0.066340
582.879100,85.855360,0.066233
583.361200,85.897810,0.066018
583.843300,85.938870,0.065810
584.325400,85.959400,0.065707
584.807600,85.949710,0.065756
585.289700,85.911210,0.065950
585.771800,85.855030,0.066234
586.253900,85.801280,0.066506
586.736000,85.771600,0.066656
587.218100,85.629570,0.067376
587.700300,85.510790,0.067979
588.182400,85.438810,0.068345
588.664500,85.419620,0.068442
589.146600,85.443120,0.068323
589.628700,85.488850,0.068091
590.110800,85.534260,0.067860
590.593000,85.560830,0.067725
591.075100,85.559140,0.067734
591.557200,85.529590,0.067884
592.039300,85.481740,0.068127
592.521400,85.430310,0.068388
593.003500,85.391980,0.068583
593.485700,85.383560,0.068626
593.967800,85.420620,0.068437
594.449900,85.515480,0.067955
594.932000,85.674450,0.067149
595.414100,85.894620,0.066034
595.896200,86.164020,0.064674
596.378400,86.463620,0.063167
596.860500,86.771550,0.061623
597.342600,87.066560,0.060149
597.824700,87.330370,0.058835
598.306800,87.549750,0.057745
598.788900,87.718380,0.056909
599.271100,87.837500,0.056320
599.753200,87.916080,0.055932
600.235300,87.968200,0.055674
600.717400,88.009990,0.055468
601.199500,88.056220,0.055240
601.681600,88.118420,0.054933
602.163800,88.202610,0.054519
602.645900,88.309330,0.053993
603.128000,88.433360,0.053384
603.610100,88.565550,0.052735
604.092200,88.694690,0.052102
604.574300,88.810020,0.051538
605.056500,88.902220,0.051087
605.538600,88.965160,0.050780
606.020700,88.996830,0.050625
606.502800,89.000180,0.050609
606.984900,88.982900,0.050693
607.467000,88.956470,0.050822
607.949200,88.933970,0.050932
608.431300,88.927720,0.050963
608.913400,88.947490,0.050866
609.395500,88.999210,0.050614
609.877600,89.083260,0.050204
610.359700,89.193820,0.049665
610.841900,89.319180,0.049055
611.324000,89.443750,0.048450
611.806100,89.550510,0.047932
612.288200,89.624260,0.047574
612.770300,89.652910,0.047436
613.252400,89.629310,0.047550
613.734600,89.552230,0.047924
614.216700,89.426580,0.048533
614.698800,89.262690,0.049330
615.180900,89.074750,0.050245
615.663000,88.879140,0.051200
616.145100,88.692850,0.052111
616.627300,88.532310,0.052898
617.109400,88.411840,0.053490
617.591500,88.340310,0.053841
618.073600,88.318570,0.053948
618.555700,88.337910,0.053853
619.037800,88.383240,0.053630
619.520000,88.437930,0.053361
620.002100,88.490070,0.053105
620.484200,88.534670,0.052887
620.966300,88.574260,0.052692
621.448400,88.614360,0.052496
621.930500,88.658880,0.052278
622.412700,88.705570,0.052049
622.894800,88.745220,0.051855
623.376900,88.765360,0.051756
623.859000,88.755440,0.051805
624.341100,88.712760,0.052014
624.823200,88.644910,0.052346
625.305400,88.568050,0.052723
625.787500,88.500940,0.053052
626.269600,88.457020,0.053268
626.751700,88.438920,0.053357
627.233800,88.437770,0.053362
627.715900,88.437560,0.053363
628.198100,88.421960,0.053440
628.680200,88.381200,0.053640
629.162300,88.315960,0.053961
629.644400,88.237180,0.054348
630.126500,88.161860,0.054719
630.608600,88.107260,0.054988
631.090800,88.085720,0.055094
631.572900,88.102390,0.055012
632.055000,88.155660,0.054750
632.537100,88.239290,0.054338
633.019200,88.344860,0.053819
633.501300,88.463400,0.053236
633.983500,88.586240,0.052634
634.465600,88.705310,0.052050
634.947700,88.813160,0.051523
635.429800,88.903530,0.051081
635.911900,88.972350,0.050745
636.394000,89.018830,0.050518
636.876200,89.045310,0.050389
637.358300,89.056320,0.050335
637.840400,89.056040,0.050337
638.322500,89.046430,0.050383
638.804600,89.026640,0.050480
639.286700,88.994460,0.050637
639.768900,88.949050,0.050859
640.251000,88.893630,0.051129
640.733100,88.836070,0.051411
641.215200,88.787070,0.051650
641.697300,88.756110,0.051802
642.179400,88.747700,0.051843
642.661600,88.759120,0.051787
643.143700,88.781520,0.051677
643.625800,88.803010,0.051572
644.107900,88.813020,0.051523
644.590000,88.805990,0.051558
645.072100,88.782470,0.051673
645.554300,88.747940,0.051842
646.036400,88.709410,0.052030
646.518500,88.672650,0.052210
647.000600,88.640460,0.052368
647.482700,88.612960,0.052503
647.964800,88.589250,0.052619
648.447000,88.568540,0.052721
648.929100,88.551370,0.052805
649.411200,88.538100,0.052870
649.893300,88.527790,0.052920
650.375400,88.517120,0.052973
650.857500,88.500800,0.053053
651.339700,88.473280,0.053188
651.821800,88.431150,0.053395
652.303900,88.374860,0.053671
652.786000,88.308400,0.053998
653.268100,88.237130,0.054349
653.750200,88.164700,0.054705
654.232400,88.090720,0.055070
654.714500,88.010630,0.055465
655.196600,87.917620,0.055924
655.678700,87.806170,0.056475
656.160800,87.675130,0.057124
656.642900,87.528950,0.057848
657.125100,87.376300,0.058606
657.607200,87.227230,0.059348
658.089300,87.090090,0.060031
658.571400,86.969500,0.060633
659.053500,86.866200,0.061149
659.535600,86.777830,0.061591
660.017800,86.700850,0.061977
660.499900,86.631680,0.062323
660.982000,86.567690,0.062644
661.464100,86.506830,0.062950
661.946200,86.447070,0.063250
662.428300,86.385740,0.063558
662.910500,86.319140,0.063893
663.392600,86.242800,0.064277
663.874700,86.151820,0.064736
664.356800,86.040950,0.065295
664.838900,85.904270,0.065985
665.321000,85.735260,0.066841
665.803200,85.527760,0.067893
666.285300,85.280140,0.069152
666.767400,85.003810,0.070562
667.249500,84.733760,0.071944
667.731600,84.528200,0.072998
668.213700,84.440650,0.073448
668.695900,84.480110,0.073246
669.178000,84.606080,0.072598
669.660100,84.762400,0.071797
670.142200,84.907690,0.071053
670.624300,85.021520,0.070471
671.106400,85.098260,0.070079
671.588600,85.140210,0.069865
672.070700,85.153560,0.069797
672.552800,85.145880,0.069836
673.034900,85.124290,0.069946
673.517000,85.093950,0.070101
673.999100,85.057290,0.070288
674.481300,85.014470,0.070507
674.963400,84.964590,0.070762
675.445500,84.907000,0.071057
675.927600,84.842010,0.071389
676.409700,84.770650,0.071754
676.891800,84.693950,0.072148
677.374000,84.612150,0.072567
677.856100,84.524350,0.073018
678.338200,84.428850,0.073509
678.820300,84.323840,0.074050
679.302400,84.207820,0.074648
679.784500,84.079920,0.075308
680.266700,83.939150,0.076035
680.748800,83.784010,0.076839
681.230900,83.612270,0.077730
681.713000,83.421750,0.078721
682.195100,83.211530,0.079816
682.677200,82.983410,0.081009
683.159400,82.742410,0.082272
683.641500,82.496170,0.083566
684.123600,82.252750,0.084850
684.605700,82.018170,0.086090
685.087800,81.794520,0.087276
685.569900,81.579990,0.088416
686.052100,81.370570,0.089533
686.534200,81.162000,0.090647
687.016300,80.951300,0.091776
687.498400,80.736580,0.092930
687.980500,80.515200,0.094122
688.462600,80.281740,0.095383
688.944800,80.026490,0.096766
689.426900,79.735570,0.098348
689.909000,79.392250,0.100222
690.391100,78.978880,0.102489
690.873200,78.478310,0.105250
691.355300,77.874510,0.108605
691.837500,77.152370,0.112651
692.319600,76.297680,0.117489
692.801700,75.297910,0.123217
693.283800,74.144830,0.129919
693.765900,72.838890,0.137637
694.248000,71.394440,0.146336
694.730200,69.843480,0.155874
695.212300,68.235980,0.165987
695.694400,66.635010,0.176298
696.176500,65.108540,0.186362
696.658600,63.720780,0.195719
697.140700,62.527190,0.203931
697.622900,61.573520,0.210606
698.105000,60.896620,0.215407
698.587100,60.523380,0.218077
699.069200,60.466350,0.218486
699.551300,60.717720,0.216685
700.033400,61.246970,0.212915
700.515600,62.004700,0.207575
700.997700,62.932740,0.201123
701.479800,63.975480,0.193986
701.961900,65.087930,0.186500
702.444000,66.237510,0.178896
702.926100,67.401050,0.171333
703.408300,68.559660,0.163931
703.890400,69.695190,0.156797
704.372500,70.789680,0.150030
704.854600,71.827250,0.143711
705.336700,72.796140,0.137892
705.818800,73.689140,0.132597
706.301000,74.501900,0.127833
706.783100,75.229960,0.123609
707.265200,75.866150,0.119952
707.747300,76.400220,0.116905
708.229400,76.820140,0.114525
708.711500,77.115210,0.112860
709.193700,77.278760,0.111940
709.675800,77.310030,0.111764
710.157900,77.214270,0.112302
710.640000,77.001630,0.113500
711.122100,76.685040,0.115289
711.604200,76.278280,0.117599
712.086400,75.794980,0.120360
712.568500,75.249390,0.123497
713.050600,74.658650,0.126920
713.532700,74.045400,0.130502
714.014800,73.439340,0.134071
714.496900,72.876290,0.137414
714.979100,72.394390,0.140295
715.461200,72.028950,0.142493
715.943300,71.808000,0.143827
716.425400,71.750090,0.144178
716.907500,71.864620,0.143485
717.389600,72.152810,0.141747
717.871800,72.608200,0.139014
718.353900,73.215550,0.135397
718.836000,73.949700,0.131064
719.318100,74.776060,0.126237
719.800200,75.653700,0.121170
720.282300,76.540990,0.116106
720.764500,77.401210,0.111252
721.246600,78.206440,0.106757
721.728700,78.938560,0.102711
722.210800,79.588070,0.099152
722.692900,80.151920,0.096086
723.175000,80.631740,0.093494
723.657200,81.032810,0.091339
724.139300,81.363450,0.089571
724.621400,81.634540,0.088126
725.103500,81.858540,0.086936
725.585600,82.047700,0.085934
726.067700,82.212320,0.085063
726.549900,82.359240,0.084288
727.032000,82.491510,0.083591
727.514100,82.609310,0.082971
727.996200,82.711690,0.082433
728.478300,82.798370,0.081978
728.960400,82.870830,0.081598
729.442600,82.932140,0.081277
729.924700,82.985860,0.080996
730.406800,83.034600,0.080741
730.888900,83.079000,0.080509
731.371000,83.117610,0.080307
731.853100,83.147490,0.080151
732.335300,83.165400,0.080057
732.817400,83.168430,0.080041
733.299500,83.154090,0.080116
733.781600,83.119680,0.080296
734.263700,83.061500,0.080600
734.745800,82.974400,0.081056
735.228000,82.852090,0.081697
735.710100,82.688480,0.082555
736.192200,82.479060,0.083656
736.674300,82.222470,0.085009
737.156400,81.921210,0.086604
737.638500,81.581560,0.088408
738.120700,81.212620,0.090376
738.602800,80.825130,0.092454
739.084900,80.430530,0.094579
739.567000,80.040370,0.096691
740.049100,79.666410,0.098725
740.531300,79.320320,0.100616
741.013400,79.012970,0.102302
