wavenumber,transmittance,absorbance
550.095200,46.494870,0.332595
550.577300,46.729090,0.330413
551.059400,46.948750,0.328376
551.541500,47.083510,0.327131
552.023600,47.128190,0.326719
552.505700,47.048920,0.327450
552.987900,47.018300,0.327733
553.470000,47.037800,0.327553
553.952100,47.134600,0.326660
554.434200,47.298400,0.325154
554.916300,47.493700,0.323364
555.398400,47.701610,0.321467
555.880600,47.854160,0.320080
556.362700,47.940280,0.319299
556.844800,47.922690,0.319459
557.326900,47.827890,0.320319
557.809000,47.690300,0.321570
558.291100,47.556950,0.322786
558.773300,47.415780,0.324077
559.255400,47.328210,0.324880
559.737500,47.302980,0.325111
560.219600,47.262240,0.325486
560.701700,47.170640,0.326328
561.183800,47.044870,0.327488
561.666000,46.907110,0.328761
562.148100,46.733140,0.330375
562.630200,46.591300,0.331695
563.112300,46.547040,0.332108
563.594400,46.600440,0.331610
564.076500,46.828030,0.329494
564.558700,47.139130,0.326618
565.040800,47.436340,0.323889
565.522900,47.664610,0.321804
566.005000,47.791390,0.320650
566.487100,47.837610,0.320231
566.969200,47.861460,0.320014
567.451400,47.900200,0.319663
567.933500,47.932240,0.319372
568.415600,47.872640,0.319913
568.897700,47.756040,0.320972
569.379800,47.565460,0.322708
569.861900,47.274920,0.325369
570.344100,46.927240,0.328575
570.826200,46.606950,0.331549
571.308300,46.378990,0.333679
571.790400,46.298930,0.334429
572.272500,46.348400,0.333965
572.754600,46.449000,0.333024
573.236800,46.570180,0.331892
573.718900,46.619550,0.331432
574.201000,46.569140,0.331902
574.683100,46.453250,0.332984
575.165200,46.320350,0.334228
575.647300,46.212890,0.335237
576.129500,46.162560,0.335710
576.611600,46.191640,0.335437
577.093700,46.280010,0.334607
577.575800,46.372180,0.333742
578.057900,46.414200,0.333349
578.540000,46.402560,0.333458
579.022200,46.373750,0.333728
579.504300,46.375210,0.333714
579.986400,46.440420,0.333104
580.468500,46.573050,0.331865
580.950600,46.746020,0.330255
581.432700,46.921960,0.328624
581.914900,47.068630,0.327268
582.397000,47.172150,0.326314
582.879100,47.221810,0.325857
583.361200,47.212160,0.325946
583.843300,47.147770,0.326539
584.325400,47.045350,0.327483
584.807600,46.925400,0.328592
585.289700,46.815690,0.329609
585.771800,46.755860,0.330164
586.253900,46.795750,0.329794
586.736000,46.966160,0.328215
587.218100,46.879430,0.329018
587.700300,46.958430,0.328286
588.182400,47.168530,0.326348
588.664500,47.412460,0.324108
589.146600,47.584750,0.322532
589.628700,47.624940,0.322166
590.110800,47.544480,0.322900
590.593000,47.414840,0.324086
591.075100,47.324160,0.324917
591.557200,47.323200,0.324926
592.039300,47.395430,0.324264
592.521400,47.471860,0.323564
593.003500,47.476600,0.323520
593.485700,47.374540,0.324455
593.967800,47.192390,0.326128
594.449900,47.005450,0.327852
594.932000,46.896310,0.328861
595.414100,46.908970,0.328744
595.896200,47.024610,0.327675
596.378400,47.174070,0.326297
596.860500,47.278020,0.325341
597.342600,47.289550,0.325235
597.824700,47.217640,0.325896
598.306800,47.119530,0.326799
598.788900,47.067320,0.327281
599.271100,47.106250,0.326921
599.753200,47.229760,0.325784
600.235300,47.384990,0.324359
600.717400,47.505350,0.323257
601.199500,47.547510,0.322872
601.681600,47.514130,0.323177
602.163800,47.449820,0.323765
602.645900,47.414430,0.324089
603.128000,47.448490,0.323778
603.610100,47.551290,0.322838
604.092200,47.684130,0.321626
604.574300,47.796240,0.320606
605.056500,47.855800,0.320065
605.538600,47.869120,0.319945
606.020700,47.876030,0.319882
606.502800,47.924080,0.319446
606.984900,48.036140,0.318432
607.467000,48.191980,0.317025
607.949200,48.337840,0.315713
608.431300,48.416880,0.315003
