Wavelength,S1
nm,CPS
315,3200
316,3090
317,3540
318,2890
319,3110
320,3720
321,3880
322,4070
323,3700
324,3400
325,3670
326,3320
327,3410
328,3120
329,3180
330,2990
331,3100
332,2880
333,3090
334,3160
335,3240
336,2920
337,2960
338,3080
339,3160
340,2830
341,2910
342,2930
343,3200
344,3300
345,3230
346,3400
347,3280
348,3310
349,3260
350,3910
351,3790
352,4050
353,3930
354,4520
355,5240
356,5520
357,5780
358,5800
359,6780
360,7980
361,8250
362,9340
363,10240
364,10970
365,11940
366,13230
367,14850
368,16330
369,19090
370,19720
371,22710
372,24590
373,26910
374,28840
375,30880
376,34400
377,36520
378,38620
379,42510
380,45750
381,47570
382,50130
383,52970
384,54990
385,59910
386,62640
387,64990
388,67210
389,69330
390,72770
391,74220
392,77900
393,80970
394,80720
395,83880
396,84690
397,86660
398,85990
399,88000
400,90120
401,90960
402,91150
403,91620
404,92640
405,93370
406,93540
407,91860
408,92210
409,94290
410,93630
411,91000
412,91900
413,90220
414,90600
415,89980
416,87890
417,87500
418,85490
419,86010
420,83050
421,83300
422,80930
423,80590
424,77080
425,77480
426,75010
427,73170
428,71280
429,71490
430,67890
431,66160
432,65900
433,63430
434,62060
435,62140
436,60250
437,58070
438,56410
439,54120
440,52770
441,52860
442,49240
443,48550
444,46570
445,46070
446,44270
447,43290
448,40590
449,40380
450,38460
451,38160
452,37270
453,36200
454,33700
455,32790
456,31660
457,30820
458,30620
459,28680
460,27550
461,27800
462,25690
463,25750
464,23820
465,23260
466,22480
467,22380
468,21480
469,19960
470,19350
471,19190
472,18670
473,18080
474,17420
475,16750
476,16290
477,15120
478,14910
479,13790
480,13720
481,14050
482,13890
483,12900
484,12040
485,12270
486,12070
487,11390
488,11310
489,10970
490,10740
491,9830
492,9650
493,9110
494,9040
495,8810
496,8480
497,9030
498,7810
499,8780
500,8210
501,7870
502,7960
503,7480
504,7250
505,6800
506,7040
507,6700
508,6580
509,6460
510,6400
511,6820
512,6270
513,5620
514,5730
515,5310
516,5450
517,5580
518,5240
519,5280
520,5490
521,5070
522,5080
523,5200
524,4650
525,5290
526,4740
527,4990
528,4410
529,4790
530,4060
531,4050
532,4200
533,4340
534,4730
535,4270
536,4090
537,4040
538,4140
539,4140
540,4090
541,4100
542,4110
543,3890
544,3360
545,3690
546,3760
547,3580
548,3410
549,3690
550,3640
