Wavelength,S1
nm,CPS
220,5060
221,5360
222,5720
223,5660
224,6360
225,6520
226,6780
227,7350
228,7710
229,8180
230,8250
231,8790
232,9060
233,10080
234,10490
235,10480
236,9850
237,10220
238,9770
239,9240
240,8320
241,8070
242,7210
243,6930
244,5850
245,5580
246,5250
247,4730
248,4640
249,4310
250,4180
251,4190
252,4300
253,4190
254,4540
255,4670
256,4780
257,4670
258,5250
259,5940
260,6110
261,5720
262,6740
263,7440
264,7350
265,8910
266,9670
267,9820
268,11670
269,13030
270,13780
271,16060
272,16490
273,19360
274,21900
275,24600
276,26960
277,30070
278,34110
279,36760
280,41080
281,45860
282,48210
283,53390
284,57500
285,62790
286,67780
287,72390
288,78390
289,83890
290,90750
291,96690
292,98710
293,103930
294,109040
295,111170
296,117930
297,116040
298,121620
299,120430
300,121150
301,121640
302,120790
303,121250
304,118660
305,115310
306,112100
307,106710
308,101220
309,98620
310,89490
311,83760
312,79190
313,71510
314,64870
315,60190
316,54970
317,49960
318,43960
319,39930
320,35840
321,32580
322,28030
323,25050
324,22800
325,19290
326,18180
327,17300
328,15480
329,14400
330,12910
331,12520
332,11340
333,10930
334,10430
335,9180
336,9020
337,8780
338,7970
339,7890
340,6440
341,6930
342,6240
343,5680
344,5240
345,4810
346,5200
347,5010
348,4080
349,4170
350,3940
351,4030
352,4300
353,3940
354,3500
355,3750
356,3950
357,4700
358,5010
359,4820
360,4930
361,4690
362,4550
363,4060
364,3520
365,3100
366,2850
367,3180
368,3310
369,2970
370,3000
371,3340
372,3310
373,3080
374,3200
375,3140
376,3220
377,3300
378,3140
379,3060
380,3080
381,3180
382,3130
383,3740
384,3010
385,2840
386,3600
387,3060
388,3330
389,3230
390,3700
