Wavelength,S1
nm,CPS
470,128180
471,147760
472,171800
473,198260
474,223530
475,257590
476,286220
477,326030
478,365510
479,414000
480,459220
481,503640
482,558020
483,613230
484,675130
485,737880
486,800970
487,863050
488,939970
489,1006160
490,1075230
491,1152080
492,1227690
493,1294770
494,1369080
495,1431740
496,1519120
497,1567450
498,1638450
499,1698580
500,1772950
501,1803200
502,1867010
503,1904430
504,1944930
505,1989630
506,2015770
507,2046750
508,2075650
509,2062810
510,2091810
511,2078930
512,2096080
513,2077200
514,2080030
515,2057110
516,2045790
517,2014820
518,1984680
519,1972510
520,1921870
521,1892710
522,1856180
523,1826350
524,1777720
525,1743030
526,1698960
527,1661950
528,1609360
529,1585490
530,1525900
531,1484940
532,1451510
533,1408000
534,1367390
535,1332570
536,1290990
537,1258270
538,1218510
539,1176090
540,1138160
541,1105570
542,1070770
543,1038750
544,1010110
545,974590
546,945130
547,911180
548,881390
549,858230
550,819150
551,794190
552,765670
553,735090
554,711220
555,677970
556,655280
557,626710
558,606220
559,577620
560,558280
561,535360
562,509800
563,493060
564,472220
565,451650
566,434280
567,411810
568,394010
569,382560
570,359030
571,344900
572,329390
573,317020
574,304170
575,291570
576,275400
577,265390
578,254490
579,242740
580,228780
581,219590
582,213780
583,200810
584,197660
585,184620
586,176890
587,168810
588,163730
589,155480
590,149180
591,142690
592,138720
593,132510
594,123980
595,120520
596,114650
597,107810
598,105840
599,98360
600,97230
601,92070
602,88050
603,84860
604,81950
605,77150
606,74460
607,70300
608,66260
609,64360
610,61430
611,59150
612,56330
613,53900
614,50740
615,46850
616,47100
617,45150
618,41620
619,41680
620,38490
621,35140
622,35650
623,34070
624,31870
625,30930
626,29330
627,28400
628,27330
629,25600
630,24790
631,23850
632,23140
633,20790
634,20550
635,19380
636,18860
637,17690
638,18260
639,16760
640,16080
641,16420
642,14020
643,14800
644,14300
645,13710
646,13120
647,12160
648,12200
649,11290
650,12000
651,11180
652,10740
653,10500
654,10440
655,9250
656,9580
657,9450
658,8900
659,8580
660,7770
661,7580
662,7920
663,7810
664,7350
665,7260
666,6950
667,6800
668,6490
669,6190
670,6320
671,5970
672,5850
673,5960
674,5910
675,5640
676,5560
677,5620
678,5240
679,5060
680,5030
681,4910
682,4730
683,4430
684,5040
685,4520
686,4560
687,4800
688,4710
689,3930
690,4390
691,4100
692,4310
693,4100
694,4150
695,4190
696,3920
697,3840
698,4240
699,3740
700,3580
