nm, A
2500.000000, 0.158647
2499.000000, 0.129011
2498.000000, 0.219724
2497.000000, 0.163502
2496.000000, 0.133485
2495.000000, 0.095342
2494.000000, 0.067093
2493.000000, 0.086095
2492.000000, 0.151575
2491.000000, 0.121389
2490.000000, 0.153113
2489.000000, 0.139487
2488.000000, 0.049344
2487.000000, 0.013721
2486.000000, 0.124147
2485.000000, 0.037425
2484.000000, 0.042281
2483.000000, 0.122258
2482.000000, 0.067250
2481.000000, 0.148196
2480.000000, 0.130963
2479.000000, 0.083587
2478.000000, 0.044691
2477.000000, 0.182271
2476.000000, 0.108016
2475.000000, 0.165587
2474.000000, 0.266299
2473.000000, 0.097788
2472.000000, 0.037615
2471.000000, 0.110843
2470.000000, -0.008914
2469.000000, 0.105979
2468.000000, 0.164181
2467.000000, 0.061916
2466.000000, 0.019196
2465.000000, 0.131331
2464.000000, 0.039176
2463.000000, 0.050001
2462.000000, -0.005444
2461.000000, 0.135235
2460.000000, 0.093337
2459.000000, 0.145554
2458.000000, 0.068158
2457.000000, 0.110813
2456.000000, 0.109347
2455.000000, 0.022721
2454.000000, 0.106601
2453.000000, 0.135991
2452.000000, 0.160262
2451.000000, 0.090009
2450.000000, 0.051415
2449.000000, 0.085520
2448.000000, 0.171241
2447.000000, 0.063624
2446.000000, 0.109309
2445.000000, 0.078868
2444.000000, 0.115010
2443.000000, 0.098635
2442.000000, 0.031644
2441.000000, 0.055689
2440.000000, 0.006506
2439.000000, 0.094278
2438.000000, 0.042668
2437.000000, 0.156526
2436.000000, 0.141573
2435.000000, 0.101037
2434.000000, 0.037191
2433.000000, 0.075981
2432.000000, 0.112495
2431.000000, 0.075850
2430.000000, 0.050260
2429.000000, 0.037252
2428.000000, 0.048174
2427.000000, 0.081864
2426.000000, 0.031461
2425.000000, 0.011205
2424.000000, 0.018055
2423.000000, 0.132934
2422.000000, 0.044273
2421.000000, 0.056058
2420.000000, 0.110861
2419.000000, 0.078318
2418.000000, 0.070441
2417.000000, 0.085189
2416.000000, 0.092149
2415.000000, 0.058729
2414.000000, 0.065062
2413.000000, 0.065825
2412.000000, 0.059599
2411.000000, 0.049048
