"pink-drop-1 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_232002.spc"
"Wavelength nm.","Abs."
200.00,2.386
200.50,2.723
201.00,3.097
201.50,5.000
202.00,5.000
202.50,5.000
203.00,5.000
203.50,2.570
204.00,2.839
204.50,3.397
205.00,3.414
205.50,3.647
206.00,2.953
206.50,2.890
207.00,5.000
207.50,3.173
208.00,2.765
208.50,5.000
209.00,5.000
209.50,5.000
210.00,3.751
210.50,5.000
211.00,5.000
211.50,5.000
212.00,4.487
212.50,5.000
213.00,3.228
213.50,5.000
214.00,5.000
214.50,2.734
215.00,2.947
215.50,5.000
216.00,2.947
216.50,5.000
217.00,5.000
217.50,5.000
218.00,2.978
218.50,3.564
219.00,2.794
219.50,3.005
220.00,2.552
220.50,2.391
221.00,2.421
221.50,2.359
222.00,2.152
222.50,2.082
223.00,2.055
223.50,1.969
224.00,1.860
224.50,1.801
225.00,1.759
225.50,1.747
226.00,1.646
226.50,1.666
227.00,1.592
227.50,1.574
228.00,1.611
228.50,1.522
229.00,1.476
229.50,1.499
230.00,1.470
230.50,1.433
231.00,1.400
231.50,1.401
232.00,1.379
232.50,1.323
233.00,1.334
233.50,1.283
234.00,1.339
234.50,1.255
235.00,1.287
235.50,1.293
236.00,1.243
236.50,1.212
237.00,1.217
237.50,1.190
238.00,1.179
238.50,1.198
239.00,1.151
239.50,1.155
240.00,1.159
240.50,1.123
241.00,1.120
241.50,1.113
242.00,1.092
242.50,1.089
243.00,1.085
243.50,1.072
244.00,1.068
244.50,1.051
245.00,1.045
245.50,1.022
246.00,1.031
246.50,1.020
247.00,1.020
247.50,0.987
248.00,1.012
248.50,0.990
249.00,1.011
249.50,0.998
250.00,0.976
250.50,0.984
251.00,0.957
251.50,0.943
252.00,0.943
252.50,0.954
253.00,0.939
253.50,0.927
254.00,0.928
254.50,0.934
255.00,0.899
255.50,0.891
256.00,0.872
256.50,0.892
257.00,0.876
257.50,0.877
258.00,0.865
258.50,0.848
259.00,0.853
259.50,0.845
260.00,0.850
260.50,0.838
261.00,0.830
261.50,0.810
262.00,0.822
262.50,0.812
263.00,0.793
263.50,0.790
264.00,0.797
264.50,0.797
265.00,0.771
265.50,0.766
266.00,0.750
266.50,0.731
267.00,0.741
267.50,0.745
268.00,0.719
268.50,0.717
269.00,0.701
269.50,0.688
270.00,0.693
270.50,0.680
271.00,0.673
271.50,0.665
272.00,0.650
272.50,0.646
273.00,0.660
273.50,0.634
274.00,0.642
274.50,0.643
275.00,0.624
275.50,0.649
276.00,0.640
276.50,0.625
277.00,0.623
277.50,0.611
278.00,0.606
278.50,0.609
279.00,0.604
279.50,0.599
280.00,0.582
280.50,0.589
281.00,0.586
281.50,0.592
282.00,0.578
282.50,0.579
283.00,0.577
283.50,0.569
284.00,0.563
284.50,0.554
285.00,0.544
285.50,0.547
286.00,0.539
286.50,0.548
287.00,0.537
287.50,0.530
288.00,0.529
288.50,0.522
289.00,0.531
289.50,0.527
290.00,0.522
290.50,0.517
291.00,0.522
291.50,0.510
292.00,0.494
292.50,0.485
293.00,0.506
293.50,0.494
294.00,0.485
294.50,0.490
295.00,0.474
295.50,0.486
296.00,0.456
296.50,0.462
297.00,0.469
297.50,0.456
298.00,0.453
298.50,0.471
299.00,0.462
299.50,0.452
300.00,0.446
300.50,0.427
301.00,0.439
301.50,0.435
302.00,0.434
302.50,0.427
303.00,0.420
303.50,0.432
304.00,0.426
304.50,0.411
305.00,0.423
305.50,0.410
306.00,0.407
306.50,0.415
307.00,0.427
307.50,0.402
308.00,0.404
308.50,0.398
309.00,0.404
309.50,0.411
310.00,0.396
310.50,0.413
311.00,0.380
311.50,0.375
312.00,0.373
312.50,0.384
313.00,0.379
313.50,0.373
314.00,0.383
314.50,0.375
315.00,0.369
315.50,0.352
316.00,0.343
316.50,0.335
317.00,0.340
317.50,0.342
318.00,0.371
318.50,0.338
319.00,0.337
319.50,0.318
320.00,0.336
320.50,0.322
321.00,0.325
321.50,0.338
322.00,0.332
322.50,0.338
323.00,0.320
323.50,0.311
324.00,0.323
324.50,0.320
325.00,0.332
325.50,0.303
326.00,0.337
326.50,0.313
327.00,0.315
327.50,0.312
328.00,0.334
328.50,0.328
329.00,0.313
329.50,0.313
330.00,0.323
330.50,0.311
331.00,0.317
331.50,0.306
332.00,0.319
332.50,0.305
333.00,0.294
333.50,0.296
334.00,0.282
334.50,0.294
335.00,0.304
335.50,0.277
336.00,0.275
336.50,0.265
337.00,0.276
337.50,0.266
338.00,0.286
338.50,0.285
339.00,0.244
339.50,0.274
340.00,0.257
340.50,0.270
341.00,0.250
341.50,0.261
342.00,0.262
342.50,0.263
343.00,0.265
343.50,0.281
344.00,0.271
344.50,0.267
345.00,0.249
345.50,0.262
346.00,0.261
346.50,0.256
347.00,0.259
347.50,0.250
348.00,0.253
348.50,0.256
349.00,0.257
349.50,0.254
350.00,0.255
350.50,0.255
351.00,0.265
351.50,0.252
352.00,0.255
352.50,0.259
353.00,0.259
353.50,0.248
354.00,0.248
354.50,0.241
355.00,0.246
355.50,0.242
356.00,0.251
356.50,0.244
357.00,0.237
357.50,0.226
358.00,0.224
358.50,0.214
359.00,0.221
359.50,0.213
360.00,0.209
360.50,0.235
361.00,0.220
361.50,0.224
362.00,0.227
362.50,0.227
363.00,0.226
363.50,0.222
364.00,0.211
364.50,0.210
365.00,0.217
365.50,0.209
