"Storage 215312 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_215312.spc"
"Wavelength nm.","Abs."
200.00,0.966
200.50,0.923
201.00,0.906
201.50,0.874
202.00,0.866
202.50,0.837
203.00,0.757
203.50,0.807
204.00,0.790
204.50,0.757
205.00,0.761
205.50,0.808
206.00,0.775
206.50,0.748
207.00,0.721
207.50,0.694
208.00,0.707
208.50,0.740
209.00,0.718
209.50,0.714
210.00,0.650
210.50,0.632
211.00,0.661
211.50,0.638
212.00,0.624
212.50,0.631
213.00,0.595
213.50,0.589
214.00,0.555
214.50,0.548
215.00,0.514
215.50,0.480
216.00,0.506
216.50,0.474
217.00,0.448
217.50,0.425
218.00,0.434
218.50,0.448
219.00,0.443
219.50,0.416
220.00,0.404
220.50,0.375
221.00,0.384
221.50,0.366
222.00,0.366
222.50,0.354
223.00,0.366
223.50,0.345
224.00,0.332
224.50,0.323
225.00,0.309
225.50,0.297
226.00,0.284
226.50,0.276
227.00,0.268
227.50,0.279
228.00,0.264
228.50,0.250
229.00,0.233
229.50,0.230
230.00,0.212
230.50,0.234
231.00,0.229
231.50,0.225
232.00,0.220
232.50,0.208
233.00,0.209
233.50,0.198
234.00,0.207
234.50,0.192
235.00,0.186
235.50,0.199
236.00,0.194
236.50,0.202
237.00,0.215
237.50,0.201
238.00,0.211
238.50,0.214
239.00,0.225
239.50,0.211
240.00,0.218
240.50,0.223
241.00,0.241
241.50,0.224
242.00,0.239
242.50,0.244
243.00,0.239
243.50,0.250
244.00,0.258
244.50,0.253
245.00,0.244
245.50,0.246
246.00,0.250
246.50,0.257
247.00,0.267
247.50,0.268
248.00,0.281
248.50,0.279
249.00,0.281
249.50,0.272
250.00,0.270
250.50,0.271
251.00,0.266
251.50,0.259
252.00,0.263
252.50,0.254
253.00,0.245
253.50,0.244
254.00,0.231
254.50,0.226
255.00,0.206
255.50,0.208
256.00,0.189
256.50,0.165
257.00,0.156
257.50,0.161
258.00,0.139
258.50,0.120
259.00,0.115
259.50,0.109
260.00,0.102
260.50,0.107
261.00,0.088
261.50,0.086
262.00,0.083
262.50,0.072
263.00,0.082
263.50,0.076
264.00,0.068
264.50,0.059
265.00,0.067
265.50,0.084
266.00,0.064
266.50,0.074
267.00,0.077
267.50,0.076
268.00,0.070
268.50,0.071
269.00,0.071
269.50,0.069
270.00,0.087
270.50,0.084
271.00,0.087
271.50,0.082
272.00,0.088
272.50,0.096
273.00,0.088
273.50,0.090
274.00,0.093
274.50,0.085
275.00,0.085
275.50,0.094
276.00,0.098
276.50,0.103
277.00,0.098
277.50,0.097
278.00,0.094
278.50,0.103
279.00,0.102
279.50,0.099
280.00,0.105
280.50,0.106
281.00,0.099
281.50,0.105
282.00,0.101
282.50,0.104
283.00,0.100
283.50,0.100
284.00,0.106
284.50,0.101
285.00,0.098
285.50,0.114
286.00,0.101
286.50,0.105
287.00,0.101
287.50,0.104
288.00,0.097
288.50,0.092
289.00,0.090
289.50,0.093
290.00,0.098
290.50,0.095
291.00,0.100
291.50,0.114
292.00,0.082
292.50,0.082
293.00,0.098
293.50,0.085
294.00,0.082
294.50,0.096
295.00,0.089
295.50,0.091
296.00,0.063
296.50,0.078
297.00,0.066
297.50,0.078
298.00,0.076
298.50,0.072
299.00,0.074
299.50,0.069
300.00,0.061
300.50,0.070
301.00,0.052
301.50,0.062
302.00,0.059
302.50,0.069
303.00,0.069
303.50,0.071
304.00,0.065
304.50,0.062
305.00,0.066
305.50,0.065
306.00,0.069
306.50,0.073
307.00,0.047
307.50,0.062
308.00,0.056
308.50,0.054
309.00,0.062
309.50,0.067
310.00,0.060
310.50,0.069
311.00,0.069
311.50,0.059
312.00,0.067
312.50,0.047
313.00,0.056
313.50,0.058
314.00,0.050
314.50,0.063
315.00,0.041
315.50,0.035
316.00,0.046
316.50,0.040
317.00,0.043
317.50,0.052
318.00,0.051
318.50,0.060
319.00,0.057
319.50,0.040
320.00,0.043
320.50,0.062
321.00,0.049
321.50,0.063
322.00,0.049
322.50,0.059
323.00,0.051
323.50,0.042
324.00,0.071
324.50,0.060
325.00,0.052
325.50,0.060
326.00,0.049
326.50,0.052
327.00,0.058
327.50,0.050
328.00,0.069
328.50,0.071
329.00,0.065
329.50,0.059
330.00,0.056
330.50,0.080
331.00,0.057
331.50,0.064
332.00,0.074
332.50,0.066
333.00,0.074
333.50,0.072
334.00,0.056
334.50,0.032
335.00,0.050
335.50,0.058
336.00,0.069
336.50,0.044
337.00,0.052
337.50,0.036
338.00,0.049
338.50,0.044
339.00,0.055
339.50,0.061
340.00,0.061
340.50,0.056
341.00,0.047
341.50,0.058
342.00,0.054
342.50,0.056
