"aspirin-drop-1 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260419_000320.spc"
"Wavelength nm.","Abs."
200.00,5.000
200.50,5.000
201.00,5.000
201.50,2.923
202.00,5.000
202.50,5.000
203.00,2.895
203.50,2.310
204.00,5.000
204.50,2.464
205.00,5.000
205.50,5.000
206.00,5.000
206.50,3.026
207.00,2.985
207.50,4.312
208.00,2.636
208.50,3.012
209.00,3.265
209.50,5.000
210.00,2.777
210.50,2.666
211.00,2.906
211.50,5.000
212.00,3.290
212.50,5.000
213.00,5.000
213.50,5.000
214.00,5.000
214.50,5.000
215.00,3.679
215.50,2.991
216.00,5.000
216.50,3.252
217.00,5.000
217.50,3.265
218.00,5.000
218.50,3.397
219.00,3.252
219.50,3.397
220.00,3.153
220.50,2.781
221.00,2.803
221.50,3.115
222.00,4.013
222.50,3.265
223.00,3.414
223.50,5.000
224.00,4.188
224.50,5.000
225.00,2.906
225.50,5.000
226.00,3.304
226.50,3.115
227.00,3.041
227.50,3.679
228.00,3.195
228.50,4.188
229.00,4.188
229.50,3.838
230.00,4.013
230.50,3.240
231.00,3.290
231.50,5.000
232.00,4.013
232.50,3.163
233.00,3.163
233.50,3.173
234.00,3.115
234.50,2.923
235.00,2.923
235.50,2.972
236.00,2.912
236.50,2.807
237.00,2.624
237.50,2.526
238.00,2.486
238.50,2.374
239.00,2.187
239.50,2.057
240.00,2.024
240.50,1.887
241.00,1.741
241.50,1.635
242.00,1.495
242.50,1.376
243.00,1.249
243.50,1.197
244.00,1.105
244.50,1.028
245.00,0.962
245.50,0.855
246.00,0.799
246.50,0.730
247.00,0.670
247.50,0.640
248.00,0.604
248.50,0.558
249.00,0.525
249.50,0.484
250.00,0.449
250.50,0.426
251.00,0.387
251.50,0.392
252.00,0.377
252.50,0.361
253.00,0.343
253.50,0.322
254.00,0.325
254.50,0.322
255.00,0.308
255.50,0.297
256.00,0.285
256.50,0.283
257.00,0.286
257.50,0.279
258.00,0.275
258.50,0.282
259.00,0.288
259.50,0.290
260.00,0.278
260.50,0.285
261.00,0.295
261.50,0.298
262.00,0.298
262.50,0.313
263.00,0.313
263.50,0.302
264.00,0.313
264.50,0.338
265.00,0.340
265.50,0.349
266.00,0.347
266.50,0.380
267.00,0.385
267.50,0.395
268.00,0.393
268.50,0.413
269.00,0.421
269.50,0.437
270.00,0.439
270.50,0.460
271.00,0.465
271.50,0.485
272.00,0.493
272.50,0.510
273.00,0.538
273.50,0.543
274.00,0.540
274.50,0.556
275.00,0.590
275.50,0.596
276.00,0.620
276.50,0.646
277.00,0.641
277.50,0.664
278.00,0.664
278.50,0.685
279.00,0.708
279.50,0.723
280.00,0.714
280.50,0.741
281.00,0.783
281.50,0.778
282.00,0.788
282.50,0.795
283.00,0.797
283.50,0.816
284.00,0.844
284.50,0.846
285.00,0.859
285.50,0.889
286.00,0.928
286.50,0.919
287.00,0.937
287.50,0.936
288.00,0.952
288.50,0.961
289.00,0.977
289.50,0.993
290.00,1.003
290.50,0.998
291.00,1.033
291.50,1.039
292.00,1.025
292.50,1.040
293.00,1.057
293.50,1.051
294.00,1.046
294.50,1.079
295.00,1.075
295.50,1.049
296.00,1.067
296.50,1.038
297.00,1.057
297.50,1.052
298.00,1.050
298.50,1.046
299.00,1.037
299.50,1.028
300.00,0.989
300.50,1.004
301.00,0.972
301.50,0.963
302.00,0.928
302.50,0.941
303.00,0.920
303.50,0.913
304.00,0.868
304.50,0.851
305.00,0.811
305.50,0.808
306.00,0.799
306.50,0.792
307.00,0.762
307.50,0.712
308.00,0.670
308.50,0.642
309.00,0.634
309.50,0.605
310.00,0.593
310.50,0.550
311.00,0.510
311.50,0.495
312.00,0.458
312.50,0.436
313.00,0.423
313.50,0.404
314.00,0.360
314.50,0.343
315.00,0.333
315.50,0.318
316.00,0.287
316.50,0.275
317.00,0.248
317.50,0.235
318.00,0.227
318.50,0.211
319.00,0.197
319.50,0.194
320.00,0.162
320.50,0.164
321.00,0.145
321.50,0.149
322.00,0.148
322.50,0.134
323.00,0.123
323.50,0.092
324.00,0.100
324.50,0.097
325.00,0.084
325.50,0.085
326.00,0.068
326.50,0.063
327.00,0.071
327.50,0.099
328.00,0.083
328.50,0.067
329.00,0.056
329.50,0.058
330.00,0.067
330.50,0.057
331.00,0.049
331.50,0.053
332.00,0.041
332.50,0.047
333.00,0.030
333.50,0.050
334.00,0.005
334.50,0.030
335.00,0.026
335.50,0.031
336.00,0.016
336.50,0.015
337.00,0.006
337.50,0.024
338.00,0.013
338.50,0.009
339.00,0.010
339.50,0.012
340.00,-0.001
340.50,0.007
341.00,0.020
341.50,0.002
342.00,-0.001
342.50,0.011
343.00,0.007
343.50,0.009
344.00,0.018
344.50,0.019
345.00,0.019
345.50,0.016
346.00,0.005
346.50,0.012
347.00,0.011
347.50,0.013
348.00,0.005
348.50,0.014
349.00,0.008
349.50,0.006
350.00,0.006
350.50,-0.012
351.00,0.001
351.50,0.014
352.00,0.011
352.50,0.017
353.00,0.013
353.50,0.011
354.00,0.010
354.50,0.015
355.00,0.018
355.50,0.013
356.00,0.008
356.50,0.003
357.00,0.005
357.50,0.005
358.00,0.006
358.50,-0.007
359.00,-0.008
359.50,0.004
360.00,-0.001
360.50,0.003
361.00,0.006
361.50,0.009
362.00,0.000
362.50,-0.001
363.00,-0.011
363.50,-0.001
364.00,0.002
364.50,0.001
365.00,0.005
365.50,0.012
366.00,-0.004
366.50,0.006
367.00,-0.003
367.50,0.007
368.00,0.005
368.50,0.011
369.00,0.001
369.50,0.012
370.00,0.012
370.50,0.013
371.00,0.015
371.50,0.009
372.00,0.011
372.50,0.011
373.00,0.009
373.50,0.006
374.00,0.007
374.50,0.017
375.00,0.007
375.50,0.004
376.00,-0.004
376.50,-0.000
377.00,0.007
377.50,-0.001
378.00,0.004
378.50,0.010
379.00,0.011
379.50,0.009
380.00,0.004
380.50,0.002
381.00,0.003
381.50,0.004
382.00,0.006
382.50,0.004
383.00,0.009
383.50,0.006
384.00,0.009
384.50,0.006
385.00,0.009
385.50,0.011
386.00,0.007
386.50,0.005
387.00,0.007
387.50,0.002
388.00,0.008
388.50,0.010
389.00,0.009
389.50,0.005
390.00,0.001
390.50,0.001
391.00,0.007
391.50,0.003
392.00,0.006
392.50,0.005
393.00,0.002
393.50,-0.003
394.00,0.003
394.50,0.005
395.00,0.002
395.50,0.007
396.00,0.003
396.50,0.009
397.00,0.014
397.50,0.006
398.00,0.002
398.50,-0.001
399.00,0.001
399.50,0.002
400.00,0.008
400.50,0.005
401.00,0.008
401.50,0.011
402.00,0.012
402.50,0.004
403.00,0.010
403.50,0.007
404.00,0.009
404.50,0.004
405.00,0.005
405.50,0.006
406.00,0.007
406.50,0.011
407.00,0.004
407.50,0.006
408.00,0.007
408.50,0.007
409.00,-0.002
409.50,0.006
410.00,0.007
410.50,0.009
411.00,0.007
411.50,0.010
412.00,0.011
412.50,0.003
413.00,0.002
413.50,0.003
414.00,-0.000
414.50,0.011
415.00,0.006
415.50,0.009
416.00,0.007
416.50,0.005
417.00,0.007
417.50,0.005
418.00,0.001
418.50,0.004
419.00,0.000
419.50,0.006
420.00,0.008
420.50,0.001
421.00,0.003
421.50,0.010
422.00,0.014
422.50,0.006
423.00,0.006
423.50,0.000
424.00,-0.000
424.50,-0.001
425.00,0.001
425.50,0.005
426.00,0.006
426.50,0.003
427.00,0.004
427.50,0.004
428.00,0.007
428.50,0.003
429.00,0.002
429.50,0.006
430.00,0.004
430.50,0.005
431.00,0.004
431.50,0.004
432.00,0.006
432.50,0.006
433.00,0.007
433.50,0.015
434.00,0.004
434.50,0.006
435.00,0.005
435.50,0.007
436.00,0.002
436.50,0.001
437.00,-0.000
437.50,0.003
438.00,0.003
438.50,0.010
439.00,0.009
439.50,0.004
440.00,0.005
440.50,0.007
441.00,0.011
441.50,0.012
442.00,0.006
442.50,0.004
443.00,0.003
443.50,0.007
444.00,0.004
444.50,0.009
445.00,0.007
445.50,0.003
446.00,0.007
446.50,0.010
447.00,0.009
447.50,0.010
448.00,0.009
448.50,0.006
449.00,0.010
449.50,0.008
450.00,0.007
450.50,0.008
451.00,0.005
451.50,0.006
452.00,0.004
452.50,0.005
453.00,0.005
453.50,0.008
454.00,0.005
454.50,0.006
455.00,0.005
455.50,0.009
456.00,0.009
456.50,0.009
457.00,0.007
457.50,0.008
458.00,0.007
458.50,0.010
459.00,0.004
459.50,0.005
460.00,0.008
460.50,0.007
461.00,0.006
461.50,0.006
462.00,0.005
462.50,0.004
463.00,0.005
463.50,0.006
464.00,0.008
464.50,0.003
465.00,0.003
465.50,0.005
466.00,0.003
466.50,0.004
467.00,0.002
467.50,0.008
468.00,0.004
468.50,0.003
469.00,0.005
469.50,0.005
470.00,0.006
470.50,0.003
471.00,0.006
471.50,0.005
472.00,0.002
472.50,0.006
473.00,0.007
473.50,0.006
474.00,0.005
474.50,0.002
475.00,0.004
475.50,0.004
476.00,0.005
476.50,0.004
477.00,0.010
477.50,0.005
478.00,0.007
478.50,0.005
479.00,0.011
479.50,0.009
480.00,0.011
480.50,0.011
481.00,0.002
481.50,0.006
482.00,0.005
482.50,0.005
483.00,0.005
483.50,0.007
484.00,0.009
484.50,0.007
485.00,0.006
485.50,0.007
486.00,0.006
486.50,0.008
487.00,0.006
487.50,0.006
488.00,0.004
488.50,0.009
489.00,0.005
489.50,0.005
490.00,0.009
490.50,0.008
491.00,0.008
491.50,0.004
492.00,0.007
492.50,0.010
493.00,0.006
493.50,0.009
494.00,0.007
494.50,0.007
495.00,0.009
495.50,0.005
496.00,0.003
496.50,0.007
497.00,0.004
497.50,0.003
498.00,0.005
498.50,0.005
499.00,0.001
499.50,0.006
500.00,0.008
500.50,0.007
501.00,0.005
501.50,0.006
502.00,0.009
502.50,0.006
503.00,0.009
503.50,0.010
504.00,0.009
504.50,0.011
505.00,0.007
505.50,0.008
506.00,0.006
506.50,0.005
507.00,0.003
507.50,0.006
508.00,0.006
508.50,0.005
509.00,0.004
509.50,0.005
510.00,0.006
510.50,0.009
511.00,0.005
511.50,0.009
512.00,0.008
512.50,0.006
513.00,0.005
513.50,0.010
514.00,0.009
514.50,0.006
515.00,0.004
515.50,0.005
516.00,0.008
516.50,0.009
517.00,0.008
517.50,0.010
518.00,0.004
518.50,0.007
519.00,0.004
519.50,0.008
520.00,0.009
520.50,0.010
521.00,0.006
521.50,0.005
522.00,0.005
522.50,0.008
523.00,0.006
523.50,0.008
524.00,0.008
524.50,0.009
525.00,0.008
525.50,0.007
526.00,0.003
526.50,0.010
527.00,0.005
527.50,0.005
528.00,0.009
528.50,0.005
529.00,0.003
529.50,0.007
530.00,0.005
530.50,0.010
531.00,0.004
531.50,0.005
532.00,0.006
532.50,0.005
533.00,0.006
533.50,0.005
534.00,0.006
534.50,0.005
535.00,0.008
535.50,0.003
536.00,0.003
536.50,0.009
537.00,0.005
537.50,0.006
538.00,0.006
538.50,0.007
539.00,0.006
539.50,0.006
540.00,0.005
540.50,0.005
541.00,0.004
541.50,0.006
542.00,0.007
542.50,0.006
543.00,0.006
543.50,0.005
544.00,0.007
544.50,0.007
545.00,0.005
545.50,0.007
546.00,0.005
546.50,0.008
547.00,0.008
547.50,0.007
548.00,0.009
548.50,0.010
549.00,0.009
549.50,0.009
550.00,0.012
550.50,0.007
551.00,0.008
551.50,0.007
552.00,0.003
552.50,0.009
553.00,0.010
553.50,0.006
554.00,0.009
554.50,0.006
555.00,0.004
555.50,0.004
556.00,0.007
556.50,0.009
557.00,0.005
557.50,0.007
558.00,0.006
558.50,0.006
559.00,0.008
559.50,0.008
560.00,0.007
560.50,0.008
561.00,0.006
561.50,0.007
562.00,0.004
562.50,0.006
563.00,0.004
563.50,0.007
564.00,0.005
564.50,0.008
565.00,0.005
565.50,0.003
566.00,0.007
566.50,0.004
567.00,0.007
567.50,0.008
568.00,0.011
568.50,0.005
569.00,0.005
569.50,0.003
570.00,0.005
570.50,0.006
571.00,0.001
571.50,0.008
572.00,0.008
572.50,0.009
573.00,0.010
573.50,0.010
574.00,0.004
574.50,0.006
575.00,0.005
575.50,0.005
576.00,0.003
576.50,0.007
577.00,0.010
577.50,0.005
578.00,0.004
578.50,0.004
579.00,0.005
579.50,0.007
580.00,0.005
580.50,0.007
581.00,0.009
581.50,0.007
582.00,0.008
582.50,0.008
583.00,0.005
583.50,0.003
584.00,0.004
584.50,0.005
585.00,0.005
585.50,0.006
586.00,0.009
586.50,0.004
587.00,0.008
587.50,0.003
588.00,0.003
