"aspirin-drop-onesixth - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260419_000900.spc"
"Wavelength nm.","Abs."
200.00,5.000
200.50,5.000
201.00,2.355
201.50,2.175
202.00,2.624
202.50,2.555
203.00,5.000
203.50,2.178
204.00,2.314
204.50,2.289
205.00,2.170
205.50,2.022
206.00,1.840
206.50,1.872
207.00,1.771
207.50,1.520
208.00,1.549
208.50,1.467
209.00,1.474
209.50,1.276
210.00,1.186
210.50,1.066
211.00,1.033
211.50,0.952
212.00,0.904
212.50,0.835
213.00,0.780
213.50,0.744
214.00,0.723
214.50,0.744
215.00,0.714
215.50,0.687
216.00,0.646
216.50,0.643
217.00,0.622
217.50,0.617
218.00,0.585
218.50,0.580
219.00,0.631
219.50,0.613
220.00,0.575
220.50,0.591
221.00,0.579
221.50,0.585
222.00,0.594
222.50,0.629
223.00,0.586
223.50,0.598
224.00,0.601
224.50,0.589
225.00,0.569
225.50,0.587
226.00,0.601
226.50,0.588
227.00,0.598
227.50,0.593
228.00,0.573
228.50,0.557
229.00,0.593
229.50,0.570
230.00,0.574
230.50,0.562
231.00,0.549
231.50,0.557
232.00,0.547
232.50,0.519
233.00,0.517
233.50,0.511
234.00,0.491
234.50,0.475
235.00,0.462
235.50,0.474
236.00,0.440
236.50,0.426
237.00,0.409
237.50,0.403
238.00,0.374
238.50,0.372
239.00,0.349
239.50,0.321
240.00,0.299
240.50,0.272
241.00,0.255
241.50,0.245
242.00,0.229
242.50,0.200
243.00,0.192
243.50,0.187
244.00,0.180
244.50,0.159
245.00,0.145
245.50,0.126
246.00,0.098
246.50,0.116
247.00,0.107
247.50,0.094
248.00,0.086
248.50,0.083
249.00,0.083
249.50,0.087
250.00,0.073
250.50,0.066
251.00,0.062
251.50,0.059
252.00,0.058
252.50,0.065
253.00,0.065
253.50,0.054
254.00,0.049
254.50,0.049
255.00,0.042
255.50,0.048
256.00,0.045
256.50,0.051
257.00,0.042
257.50,0.053
258.00,0.037
258.50,0.035
259.00,0.046
259.50,0.042
260.00,0.047
260.50,0.049
261.00,0.048
261.50,0.055
262.00,0.044
262.50,0.041
263.00,0.040
263.50,0.056
264.00,0.049
264.50,0.058
265.00,0.054
265.50,0.053
266.00,0.061
266.50,0.068
267.00,0.066
267.50,0.069
268.00,0.056
268.50,0.060
269.00,0.059
269.50,0.066
270.00,0.080
270.50,0.070
271.00,0.083
271.50,0.077
272.00,0.073
272.50,0.074
273.00,0.081
273.50,0.089
274.00,0.088
274.50,0.086
275.00,0.095
275.50,0.093
276.00,0.104
276.50,0.106
277.00,0.107
277.50,0.102
278.00,0.108
278.50,0.110
279.00,0.105
279.50,0.113
280.00,0.109
280.50,0.124
281.00,0.126
281.50,0.116
282.00,0.126
282.50,0.136
283.00,0.137
283.50,0.131
284.00,0.142
284.50,0.142
285.00,0.146
285.50,0.151
286.00,0.164
286.50,0.166
287.00,0.166
287.50,0.169
288.00,0.153
288.50,0.152
289.00,0.165
289.50,0.161
290.00,0.177
290.50,0.184
291.00,0.189
291.50,0.188
292.00,0.187
292.50,0.174
293.00,0.179
293.50,0.192
294.00,0.192
294.50,0.193
295.00,0.187
295.50,0.178
296.00,0.176
296.50,0.172
297.00,0.184
297.50,0.168
298.00,0.182
298.50,0.181
299.00,0.175
299.50,0.168
300.00,0.163
300.50,0.170
301.00,0.169
301.50,0.162
302.00,0.158
302.50,0.157
303.00,0.143
303.50,0.143
304.00,0.141
304.50,0.135
305.00,0.136
305.50,0.139
306.00,0.142
306.50,0.146
307.00,0.130
307.50,0.125
308.00,0.126
308.50,0.113
309.00,0.129
309.50,0.108
310.00,0.110
310.50,0.106
311.00,0.099
311.50,0.100
312.00,0.080
312.50,0.066
313.00,0.079
313.50,0.066
314.00,0.048
314.50,0.056
315.00,0.045
315.50,0.061
316.00,0.047
316.50,0.038
317.00,0.039
317.50,0.029
318.00,0.023
318.50,0.027
319.00,0.024
319.50,0.030
320.00,0.026
320.50,0.032
321.00,0.033
321.50,0.038
322.00,0.025
322.50,0.032
323.00,0.013
323.50,0.029
324.00,0.028
324.50,0.033
325.00,0.020
325.50,0.027
326.00,0.015
326.50,0.026
327.00,0.034
327.50,0.024
328.00,0.022
328.50,0.025
329.00,0.012
329.50,0.017
330.00,0.015
330.50,0.027
331.00,0.022
331.50,0.024
332.00,0.017
332.50,0.026
333.00,0.019
333.50,0.003
334.00,0.016
334.50,0.015
335.00,-0.010
335.50,0.002
336.00,0.001
336.50,-0.012
337.00,-0.014
337.50,0.017
338.00,0.005
338.50,0.012
339.00,-0.007
339.50,0.007
340.00,0.000
340.50,0.009
341.00,0.002
341.50,0.000
342.00,0.003
342.50,0.008
343.00,0.005
343.50,0.009
344.00,0.018
344.50,0.016
345.00,0.009
345.50,0.013
346.00,0.007
346.50,0.002
347.00,-0.009
347.50,0.009
348.00,-0.004
348.50,-0.000
349.00,-0.007
349.50,0.001
350.00,-0.001
350.50,0.002
351.00,-0.001
351.50,-0.003
352.00,0.018
352.50,0.007
353.00,0.004
353.50,0.012
354.00,0.010
354.50,0.008
355.00,0.016
355.50,0.009
356.00,0.009
356.50,0.001
357.00,0.003
357.50,-0.010
358.00,-0.001
358.50,-0.001
359.00,0.006
359.50,-0.005
360.00,-0.003
360.50,0.001
361.00,0.005
361.50,0.006
362.00,0.007
362.50,0.009
363.00,-0.005
363.50,0.012
364.00,0.001
364.50,0.006
365.00,0.007
365.50,0.006
366.00,0.004
366.50,0.004
367.00,0.006
367.50,0.012
368.00,-0.001
368.50,0.010
369.00,0.008
369.50,0.008
370.00,0.003
370.50,0.006
371.00,0.007
371.50,0.004
372.00,0.006
372.50,0.008
373.00,0.006
373.50,0.008
374.00,0.004
374.50,0.002
375.00,0.014
375.50,0.006
376.00,-0.000
376.50,0.003
377.00,0.008
377.50,0.006
378.00,0.002
378.50,0.001
379.00,0.007
379.50,0.004
380.00,0.001
380.50,0.002
381.00,0.011
381.50,0.006
382.00,0.002
382.50,0.009
383.00,0.003
383.50,0.015
384.00,0.007
384.50,0.010
385.00,0.003
385.50,0.013
386.00,0.008
386.50,0.006
387.00,0.009
387.50,0.004
388.00,0.010
388.50,0.012
389.00,0.009
389.50,0.001
390.00,0.006
390.50,-0.004
391.00,0.001
391.50,0.003
392.00,0.005
392.50,0.004
393.00,0.011
393.50,0.012
394.00,0.006
394.50,0.008
395.00,0.007
395.50,0.004
396.00,0.010
396.50,0.008
397.00,0.006
397.50,0.006
398.00,0.001
398.50,0.008
399.00,0.005
399.50,0.001
400.00,0.006
400.50,0.007
401.00,0.011
401.50,0.017
402.00,0.013
402.50,0.003
403.00,0.000
403.50,0.006
404.00,0.004
404.50,0.002
405.00,0.007
405.50,0.006
406.00,0.007
406.50,0.007
407.00,0.006
407.50,0.007
408.00,0.001
408.50,0.002
409.00,-0.001
409.50,0.002
410.00,0.004
410.50,0.009
411.00,0.014
411.50,0.009
412.00,0.009
412.50,-0.002
413.00,0.003
413.50,0.005
414.00,0.003
414.50,0.006
415.00,0.008
415.50,0.002
416.00,0.007
416.50,0.002
417.00,0.003
417.50,0.008
418.00,0.004
418.50,0.006
419.00,0.001
419.50,0.003
420.00,0.004
420.50,0.009
421.00,0.000
421.50,0.007
422.00,0.002
422.50,0.004
423.00,0.007
423.50,0.007
424.00,0.001
424.50,0.004
425.00,0.005
425.50,0.001
426.00,0.004
426.50,0.005
427.00,0.004
427.50,0.006
428.00,0.006
428.50,0.003
429.00,0.001
429.50,0.003
430.00,0.007
430.50,0.010
431.00,0.004
431.50,0.005
432.00,0.001
432.50,0.002
433.00,0.004
433.50,0.004
434.00,0.001
434.50,-0.002
435.00,0.001
435.50,0.002
436.00,0.004
436.50,0.003
437.00,0.001
437.50,0.001
438.00,0.002
438.50,0.003
439.00,0.004
439.50,0.006
440.00,0.008
440.50,0.006
441.00,0.011
441.50,0.008
442.00,0.005
442.50,0.006
443.00,0.008
443.50,0.012
444.00,0.006
444.50,0.005
445.00,0.005
445.50,0.006
446.00,0.007
446.50,0.005
447.00,0.008
447.50,0.010
448.00,0.007
448.50,0.009
449.00,0.000
449.50,0.005
450.00,0.005
450.50,0.006
451.00,0.001
451.50,0.005
452.00,0.005
452.50,0.007
453.00,0.004
453.50,0.004
454.00,0.007
454.50,0.003
455.00,0.003
455.50,0.008
456.00,0.008
456.50,0.008
457.00,0.009
457.50,0.008
458.00,0.006
458.50,0.005
459.00,0.003
459.50,0.005
460.00,0.002
460.50,0.004
461.00,0.008
461.50,0.003
462.00,0.004
462.50,0.003
463.00,0.001
463.50,0.000
464.00,0.003
464.50,0.003
465.00,0.004
465.50,0.002
466.00,0.002
466.50,0.006
467.00,0.007
467.50,0.006
468.00,0.002
468.50,0.004
469.00,0.001
469.50,0.003
470.00,0.002
470.50,0.004
471.00,0.002
471.50,0.007
472.00,0.006
472.50,0.008
473.00,0.002
473.50,0.006
474.00,0.004
474.50,0.004
475.00,0.003
475.50,0.004
476.00,0.003
476.50,0.003
477.00,0.001
477.50,0.005
478.00,0.005
478.50,0.005
479.00,0.010
479.50,0.005
480.00,0.010
480.50,0.007
481.00,0.006
481.50,0.001
482.00,0.004
482.50,0.004
483.00,-0.001
483.50,0.002
484.00,0.007
484.50,0.007
485.00,0.005
485.50,0.006
486.00,0.008
486.50,0.004
487.00,0.006
487.50,0.004
488.00,0.003
488.50,0.006
489.00,0.006
489.50,0.008
490.00,0.005
490.50,0.007
491.00,0.007
491.50,0.006
492.00,0.009
492.50,0.009
493.00,0.009
493.50,0.010
494.00,0.008
494.50,0.007
495.00,0.004
495.50,0.002
496.00,0.002
496.50,0.002
497.00,0.000
497.50,0.001
498.00,0.001
498.50,0.003
499.00,0.001
499.50,0.000
500.00,0.002
500.50,0.004
501.00,0.006
501.50,0.008
502.00,0.005
502.50,0.004
503.00,0.008
503.50,0.008
504.00,0.008
504.50,0.006
505.00,0.007
505.50,0.009
506.00,0.005
506.50,0.005
507.00,0.007
507.50,0.003
508.00,0.004
508.50,0.005
509.00,0.006
509.50,0.005
510.00,0.005
510.50,0.005
511.00,0.004
511.50,0.007
512.00,0.006
512.50,0.004
513.00,0.004
513.50,0.008
514.00,0.010
514.50,0.007
515.00,0.006
515.50,0.006
516.00,0.009
516.50,0.008
517.00,0.007
517.50,0.006
518.00,0.007
518.50,0.008
519.00,0.003
519.50,0.008
520.00,0.006
520.50,0.006
521.00,0.009
521.50,0.010
522.00,0.005
522.50,0.004
523.00,0.007
523.50,0.005
524.00,0.006
524.50,0.011
525.00,0.011
525.50,0.007
526.00,0.007
526.50,0.006
527.00,0.003
527.50,0.008
528.00,0.005
528.50,0.004
529.00,0.002
529.50,0.003
530.00,0.002
530.50,0.005
531.00,0.003
531.50,0.007
532.00,0.005
532.50,0.007
533.00,0.002
533.50,0.005
534.00,0.007
534.50,0.007
535.00,0.005
535.50,0.005
536.00,0.003
536.50,0.007
537.00,0.006
537.50,0.007
538.00,0.006
538.50,0.008
539.00,0.009
539.50,0.007
540.00,0.005
540.50,0.007
541.00,0.010
541.50,0.006
542.00,0.005
542.50,0.009
543.00,0.003
543.50,0.006
544.00,0.005
544.50,0.006
545.00,0.003
545.50,0.007
546.00,0.008
546.50,0.009
547.00,0.007
547.50,0.009
548.00,0.007
548.50,0.007
549.00,0.005
549.50,0.005
550.00,0.006
550.50,0.007
551.00,0.009
551.50,0.006
552.00,0.005
552.50,0.006
553.00,0.006
553.50,0.009
554.00,0.004
554.50,0.005
555.00,0.005
555.50,0.001
556.00,0.002
556.50,0.006
557.00,0.008
557.50,0.003
558.00,0.003
558.50,0.003
559.00,0.004
559.50,0.003
560.00,0.007
560.50,0.007
561.00,0.002
561.50,0.003
562.00,0.006
562.50,0.006
563.00,0.003
563.50,0.005
564.00,0.005
564.50,0.004
565.00,0.004
565.50,0.002
566.00,0.003
566.50,0.004
567.00,0.004
567.50,0.005
568.00,0.004
568.50,0.002
569.00,0.004
569.50,0.004
570.00,0.004
570.50,0.002
571.00,0.006
571.50,0.007
572.00,0.009
572.50,0.004
573.00,0.007
573.50,0.009
574.00,0.008
574.50,0.004
575.00,0.003
575.50,-0.001
576.00,0.005
576.50,0.009
577.00,0.008
577.50,0.004
578.00,0.006
578.50,0.004
579.00,0.007
579.50,0.002
580.00,0.001
580.50,0.006
581.00,0.006
581.50,0.008
582.00,0.007
582.50,0.008
583.00,0.004
583.50,0.005
584.00,0.001
584.50,0.001
585.00,0.001
585.50,0.003
586.00,0.003
586.50,0.002
587.00,0.000
587.50,0.003
588.00,0.004
