"yellow-drop-1-second - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_224508.spc"
"Wavelength nm.","Abs."
200.00,0.710
200.50,0.718
201.00,0.696
201.50,0.674
202.00,0.649
202.50,0.640
203.00,0.643
203.50,0.609
204.00,0.575
204.50,0.585
205.00,0.604
205.50,0.600
206.00,0.601
206.50,0.570
207.00,0.534
207.50,0.514
208.00,0.475
208.50,0.467
209.00,0.469
209.50,0.439
210.00,0.395
210.50,0.352
211.00,0.342
211.50,0.314
212.00,0.297
212.50,0.317
213.00,0.290
213.50,0.263
214.00,0.252
214.50,0.239
215.00,0.241
215.50,0.216
216.00,0.250
216.50,0.232
217.00,0.233
217.50,0.229
218.00,0.216
218.50,0.231
219.00,0.257
219.50,0.255
220.00,0.267
220.50,0.261
221.00,0.253
221.50,0.288
222.00,0.289
222.50,0.305
223.00,0.318
223.50,0.322
224.00,0.341
224.50,0.325
225.00,0.333
225.50,0.347
226.00,0.342
226.50,0.348
227.00,0.369
227.50,0.369
228.00,0.374
228.50,0.376
229.00,0.374
229.50,0.372
230.00,0.377
230.50,0.376
231.00,0.371
231.50,0.405
232.00,0.403
232.50,0.405
233.00,0.397
233.50,0.389
234.00,0.391
234.50,0.407
235.00,0.396
235.50,0.381
236.00,0.389
236.50,0.372
237.00,0.368
237.50,0.356
238.00,0.352
238.50,0.340
239.00,0.341
239.50,0.341
240.00,0.330
240.50,0.312
241.00,0.303
241.50,0.304
242.00,0.304
242.50,0.289
243.00,0.289
243.50,0.280
244.00,0.296
244.50,0.308
245.00,0.292
245.50,0.283
246.00,0.295
246.50,0.298
247.00,0.281
247.50,0.282
248.00,0.272
248.50,0.288
249.00,0.279
249.50,0.286
250.00,0.275
250.50,0.274
251.00,0.296
251.50,0.289
252.00,0.295
252.50,0.296
253.00,0.310
253.50,0.302
254.00,0.291
254.50,0.287
255.00,0.286
255.50,0.293
256.00,0.280
256.50,0.271
257.00,0.262
257.50,0.242
258.00,0.222
258.50,0.214
259.00,0.193
259.50,0.177
260.00,0.171
260.50,0.159
261.00,0.154
261.50,0.128
262.00,0.117
262.50,0.132
263.00,0.122
263.50,0.115
264.00,0.105
264.50,0.103
265.00,0.096
265.50,0.102
266.00,0.098
266.50,0.092
267.00,0.099
267.50,0.102
268.00,0.093
268.50,0.090
269.00,0.075
269.50,0.083
270.00,0.094
270.50,0.082
271.00,0.086
271.50,0.087
272.00,0.089
272.50,0.093
273.00,0.091
273.50,0.098
274.00,0.100
274.50,0.095
275.00,0.098
275.50,0.118
276.00,0.118
276.50,0.123
277.00,0.124
277.50,0.124
278.00,0.111
278.50,0.109
279.00,0.120
279.50,0.128
280.00,0.121
280.50,0.129
281.00,0.128
281.50,0.132
282.00,0.139
282.50,0.136
283.00,0.146
283.50,0.144
284.00,0.151
284.50,0.151
285.00,0.161
285.50,0.163
286.00,0.163
286.50,0.166
287.00,0.177
287.50,0.179
288.00,0.177
288.50,0.184
289.00,0.188
289.50,0.184
290.00,0.201
290.50,0.204
291.00,0.212
291.50,0.216
292.00,0.213
292.50,0.212
293.00,0.224
293.50,0.216
294.00,0.227
294.50,0.235
295.00,0.232
295.50,0.235
296.00,0.228
296.50,0.218
297.00,0.227
297.50,0.231
298.00,0.240
298.50,0.233
299.00,0.221
299.50,0.224
300.00,0.198
300.50,0.215
301.00,0.202
301.50,0.193
302.00,0.191
302.50,0.185
303.00,0.192
303.50,0.181
304.00,0.187
304.50,0.173
305.00,0.176
305.50,0.176
306.00,0.184
306.50,0.147
307.00,0.162
307.50,0.153
308.00,0.154
308.50,0.148
309.00,0.140
309.50,0.143
310.00,0.146
310.50,0.136
311.00,0.112
311.50,0.106
312.00,0.107
312.50,0.106
313.00,0.109
313.50,0.107
314.00,0.099
314.50,0.109
315.00,0.100
315.50,0.084
316.00,0.066
316.50,0.083
317.00,0.077
317.50,0.079
318.00,0.081
318.50,0.082
319.00,0.082
319.50,0.087
320.00,0.077
320.50,0.068
321.00,0.074
321.50,0.079
322.00,0.080
322.50,0.088
323.00,0.087
323.50,0.051
324.00,0.060
324.50,0.085
325.00,0.087
325.50,0.067
326.00,0.078
326.50,0.062
327.00,0.062
327.50,0.059
328.00,0.070
328.50,0.064
329.00,0.060
329.50,0.060
330.00,0.068
330.50,0.072
331.00,0.072
331.50,0.072
332.00,0.056
332.50,0.057
333.00,0.055
333.50,0.056
334.00,0.048
334.50,0.037
335.00,0.033
335.50,0.032
336.00,0.033
336.50,0.044
337.00,0.031
337.50,0.032
338.00,0.048
338.50,0.033
339.00,0.042
339.50,0.039
340.00,0.031
340.50,0.025
341.00,0.030
341.50,0.025
342.00,0.025
342.50,0.030
343.00,0.035
343.50,0.029
344.00,0.040
344.50,0.034
345.00,0.025
345.50,0.025
346.00,0.030
346.50,0.025
347.00,0.032
347.50,0.020
348.00,0.032
348.50,0.028
349.00,0.029
349.50,0.026
350.00,0.021
350.50,0.021
351.00,0.033
351.50,0.025
352.00,0.041
352.50,0.034
353.00,0.026
353.50,0.037
354.00,0.046
354.50,0.039
355.00,0.047
355.50,0.048
356.00,0.037
356.50,0.044
357.00,0.039
357.50,0.036
358.00,0.035
358.50,0.026
359.00,0.028
359.50,0.034
360.00,0.034
360.50,0.033
361.00,0.041
361.50,0.039
362.00,0.048
362.50,0.047
363.00,0.042
363.50,0.050
364.00,0.047
364.50,0.037
365.00,0.051
365.50,0.045
366.00,0.059
366.50,0.065
367.00,0.051
367.50,0.051
368.00,0.044
368.50,0.055
369.00,0.063
369.50,0.058
370.00,0.055
370.50,0.060
371.00,0.066
371.50,0.062
372.00,0.059
372.50,0.055
373.00,0.057
373.50,0.063
374.00,0.064
374.50,0.067
375.00,0.062
375.50,0.065
376.00,0.062
376.50,0.067
377.00,0.062
377.50,0.069
378.00,0.075
378.50,0.072
379.00,0.073
379.50,0.072
380.00,0.074
380.50,0.066
381.00,0.067
381.50,0.071
382.00,0.074
382.50,0.074
383.00,0.077
383.50,0.080
384.00,0.081
384.50,0.096
385.00,0.083
385.50,0.087
386.00,0.083
386.50,0.089
387.00,0.085
387.50,0.089
388.00,0.090
388.50,0.090
389.00,0.084
389.50,0.085
390.00,0.086
390.50,0.083
391.00,0.082
391.50,0.089
392.00,0.100
392.50,0.094
393.00,0.100
393.50,0.099
394.00,0.101
394.50,0.092
395.00,0.093
395.50,0.084
396.00,0.094
396.50,0.096
397.00,0.090
397.50,0.086
398.00,0.085
398.50,0.094
399.00,0.096
399.50,0.094
400.00,0.092
400.50,0.094
401.00,0.094
401.50,0.094
402.00,0.098
402.50,0.095
403.00,0.094
403.50,0.099
404.00,0.097
404.50,0.099
405.00,0.102
405.50,0.099
406.00,0.104
406.50,0.107
407.00,0.107
407.50,0.102
408.00,0.107
408.50,0.112
409.00,0.109
409.50,0.110
410.00,0.116
410.50,0.120
411.00,0.123
411.50,0.125
412.00,0.132
412.50,0.126
413.00,0.123
413.50,0.131
414.00,0.132
414.50,0.138
415.00,0.136
415.50,0.139
416.00,0.145
416.50,0.150
417.00,0.157
417.50,0.151
418.00,0.159
418.50,0.159
419.00,0.162
419.50,0.166
420.00,0.170
420.50,0.174
421.00,0.178
421.50,0.180
422.00,0.181
422.50,0.189
423.00,0.193
423.50,0.191
424.00,0.189
424.50,0.197
425.00,0.192
425.50,0.199
426.00,0.208
426.50,0.212
427.00,0.215
427.50,0.222
428.00,0.220
428.50,0.225
429.00,0.227
429.50,0.231
430.00,0.235
430.50,0.237
431.00,0.241
431.50,0.246
432.00,0.246
432.50,0.251
433.00,0.252
433.50,0.261
434.00,0.264
434.50,0.260
435.00,0.265
435.50,0.260
436.00,0.265
436.50,0.266
437.00,0.271
437.50,0.273
438.00,0.275
438.50,0.275
439.00,0.279
439.50,0.286
440.00,0.292
440.50,0.294
441.00,0.295
441.50,0.302
442.00,0.300
442.50,0.302
443.00,0.304
443.50,0.304
444.00,0.311
444.50,0.310
445.00,0.316
445.50,0.310
446.00,0.314
446.50,0.317
447.00,0.320
447.50,0.321
448.00,0.324
448.50,0.327
449.00,0.329
449.50,0.325
450.00,0.326
450.50,0.329
451.00,0.333
451.50,0.328
452.00,0.330
452.50,0.332
453.00,0.328
453.50,0.328
454.00,0.326
454.50,0.327
455.00,0.326
455.50,0.332
456.00,0.331
456.50,0.327
457.00,0.327
457.50,0.324
458.00,0.323
458.50,0.320
459.00,0.322
459.50,0.319
460.00,0.320
460.50,0.313
461.00,0.304
461.50,0.307
462.00,0.304
462.50,0.302
463.00,0.298
463.50,0.292
464.00,0.287
464.50,0.286
465.00,0.282
465.50,0.274
466.00,0.270
466.50,0.271
467.00,0.265
467.50,0.258
468.00,0.250
468.50,0.250
469.00,0.246
469.50,0.237
470.00,0.232
470.50,0.232
471.00,0.221
471.50,0.217
472.00,0.208
472.50,0.210
473.00,0.203
473.50,0.195
474.00,0.189
474.50,0.178
475.00,0.175
475.50,0.170
476.00,0.164
476.50,0.164
477.00,0.158
477.50,0.152
478.00,0.147
478.50,0.142
479.00,0.139
479.50,0.133
480.00,0.127
480.50,0.120
481.00,0.115
481.50,0.110
482.00,0.102
482.50,0.099
483.00,0.091
483.50,0.092
484.00,0.090
484.50,0.084
485.00,0.076
485.50,0.076
486.00,0.074
486.50,0.068
487.00,0.064
487.50,0.062
488.00,0.054
488.50,0.051
489.00,0.050
489.50,0.051
490.00,0.053
490.50,0.052
491.00,0.045
491.50,0.042
492.00,0.044
492.50,0.040
493.00,0.036
493.50,0.036
494.00,0.031
494.50,0.031
495.00,0.030
495.50,0.026
496.00,0.025
496.50,0.020
497.00,0.021
497.50,0.021
498.00,0.022
498.50,0.018
499.00,0.020
499.50,0.015
500.00,0.022
500.50,0.023
501.00,0.020
501.50,0.016
502.00,0.020
502.50,0.018
503.00,0.016
503.50,0.017
504.00,0.017
504.50,0.014
505.00,0.016
505.50,0.013
506.00,0.014
506.50,0.013
507.00,0.011
507.50,0.009
508.00,0.013
508.50,0.011
509.00,0.012
509.50,0.013
510.00,0.009
510.50,0.011
511.00,0.014
511.50,0.009
512.00,0.007
512.50,0.011
513.00,0.012
513.50,0.012
514.00,0.008
514.50,0.008
515.00,0.009
515.50,0.008
516.00,0.011
516.50,0.008
517.00,0.011
517.50,0.009
518.00,0.010
518.50,0.009
519.00,0.009
519.50,0.006
520.00,0.011
520.50,0.008
521.00,0.009
521.50,0.010
522.00,0.012
522.50,0.012
523.00,0.007
523.50,0.008
524.00,0.009
524.50,0.010
525.00,0.011
525.50,0.005
526.00,0.007
526.50,0.006
527.00,0.012
527.50,0.010
528.00,0.004
528.50,0.006
529.00,0.008
529.50,0.007
530.00,0.007
530.50,0.008
531.00,0.007
531.50,0.009
532.00,0.007
532.50,0.008
533.00,0.007
533.50,0.007
534.00,0.010
534.50,0.005
535.00,0.008
535.50,0.007
536.00,0.006
536.50,0.007
537.00,0.011
537.50,0.009
538.00,0.005
538.50,0.009
539.00,0.009
539.50,0.008
540.00,0.005
540.50,0.005
541.00,0.005
541.50,0.005
542.00,0.006
542.50,0.007
543.00,0.003
543.50,0.008
544.00,0.007
544.50,0.009
545.00,0.007
545.50,0.012
546.00,0.007
546.50,0.010
547.00,0.009
547.50,0.010
548.00,0.008
548.50,0.011
549.00,0.006
549.50,0.009
550.00,0.010
550.50,0.010
551.00,0.008
551.50,0.007
552.00,0.007
552.50,0.006
553.00,0.009
553.50,0.014
554.00,0.009
554.50,0.006
555.00,0.007
555.50,0.010
556.00,0.007
556.50,0.012
557.00,0.006
557.50,0.005
558.00,0.007
558.50,0.006
559.00,0.007
559.50,0.005
560.00,0.009
560.50,0.006
561.00,0.009
561.50,0.008
562.00,0.008
562.50,0.004
563.00,0.003
563.50,0.006
564.00,0.006
564.50,0.007
565.00,0.006
565.50,0.007
566.00,0.008
566.50,0.007
567.00,0.007
567.50,0.008
568.00,0.010
568.50,0.011
569.00,0.010
569.50,0.007
570.00,0.006
570.50,0.005
571.00,0.006
571.50,0.007
572.00,0.007
572.50,0.010
573.00,0.008
573.50,0.009
574.00,0.007
