"yellow-drop-1 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_223357.spc"
"Wavelength nm.","Abs."
200.00,0.863
200.50,0.800
201.00,0.920
201.50,0.864
202.00,0.787
202.50,0.798
203.00,0.805
203.50,0.736
204.00,0.663
204.50,0.774
205.00,0.667
205.50,0.654
206.00,0.660
206.50,0.665
207.00,0.603
207.50,0.571
208.00,0.574
208.50,0.550
209.00,0.557
209.50,0.540
210.00,0.461
210.50,0.453
211.00,0.448
211.50,0.388
212.00,0.399
212.50,0.380
213.00,0.335
213.50,0.321
214.00,0.319
214.50,0.314
215.00,0.322
215.50,0.295
216.00,0.287
216.50,0.282
217.00,0.284
217.50,0.293
218.00,0.271
218.50,0.298
219.00,0.303
219.50,0.295
220.00,0.290
220.50,0.285
221.00,0.326
221.50,0.342
222.00,0.341
222.50,0.361
223.00,0.367
223.50,0.374
224.00,0.420
224.50,0.385
225.00,0.397
225.50,0.401
226.00,0.416
226.50,0.433
227.00,0.444
227.50,0.439
228.00,0.447
228.50,0.442
229.00,0.451
229.50,0.461
230.00,0.467
230.50,0.484
231.00,0.451
231.50,0.476
232.00,0.473
232.50,0.480
233.00,0.469
233.50,0.461
234.00,0.470
234.50,0.485
235.00,0.473
235.50,0.476
236.00,0.466
236.50,0.476
237.00,0.459
237.50,0.465
238.00,0.440
238.50,0.428
239.00,0.413
239.50,0.402
240.00,0.372
240.50,0.388
241.00,0.365
241.50,0.361
242.00,0.367
242.50,0.355
243.00,0.345
243.50,0.342
244.00,0.359
244.50,0.342
245.00,0.345
245.50,0.348
246.00,0.346
246.50,0.334
247.00,0.351
247.50,0.347
248.00,0.339
248.50,0.346
249.00,0.338
249.50,0.342
250.00,0.326
250.50,0.337
251.00,0.342
251.50,0.341
252.00,0.353
252.50,0.358
253.00,0.361
253.50,0.352
254.00,0.349
254.50,0.357
255.00,0.356
255.50,0.340
256.00,0.327
256.50,0.309
257.00,0.298
257.50,0.292
258.00,0.280
258.50,0.257
259.00,0.229
259.50,0.221
260.00,0.202
260.50,0.201
261.00,0.165
261.50,0.161
262.00,0.145
262.50,0.146
263.00,0.126
263.50,0.112
264.00,0.120
264.50,0.117
265.00,0.116
265.50,0.121
266.00,0.118
266.50,0.110
267.00,0.117
267.50,0.114
268.00,0.109
268.50,0.098
269.00,0.099
269.50,0.105
270.00,0.117
270.50,0.113
271.00,0.103
271.50,0.121
272.00,0.104
272.50,0.118
273.00,0.113
273.50,0.134
274.00,0.124
274.50,0.132
275.00,0.138
275.50,0.145
276.00,0.142
276.50,0.142
277.00,0.140
277.50,0.142
278.00,0.148
278.50,0.149
279.00,0.147
279.50,0.139
280.00,0.157
280.50,0.149
281.00,0.158
281.50,0.158
282.00,0.169
282.50,0.169
283.00,0.167
283.50,0.171
284.00,0.176
284.50,0.180
285.00,0.191
285.50,0.197
286.00,0.203
286.50,0.213
287.00,0.214
287.50,0.214
288.00,0.218
288.50,0.214
289.00,0.217
289.50,0.234
290.00,0.234
290.50,0.245
291.00,0.248
291.50,0.267
292.00,0.256
292.50,0.262
293.00,0.259
293.50,0.263
294.00,0.278
294.50,0.277
295.00,0.267
295.50,0.275
296.00,0.274
296.50,0.261
297.00,0.265
297.50,0.277
298.00,0.269
298.50,0.273
299.00,0.268
299.50,0.259
300.00,0.265
300.50,0.250
301.00,0.246
301.50,0.249
302.00,0.236
302.50,0.229
303.00,0.235
303.50,0.216
304.00,0.206
304.50,0.195
305.00,0.188
305.50,0.194
306.00,0.194
306.50,0.195
307.00,0.196
307.50,0.197
308.00,0.188
308.50,0.166
309.00,0.176
309.50,0.161
310.00,0.163
310.50,0.164
311.00,0.152
311.50,0.122
312.00,0.120
312.50,0.114
313.00,0.139
313.50,0.131
314.00,0.132
314.50,0.120
315.00,0.131
315.50,0.117
316.00,0.095
316.50,0.092
317.00,0.086
317.50,0.097
318.00,0.091
318.50,0.099
319.00,0.111
319.50,0.084
320.00,0.085
320.50,0.087
321.00,0.093
321.50,0.086
322.00,0.071
322.50,0.072
323.00,0.079
323.50,0.087
324.00,0.091
324.50,0.095
325.00,0.089
325.50,0.068
326.00,0.081
326.50,0.078
327.00,0.063
327.50,0.074
328.00,0.084
328.50,0.073
329.00,0.067
329.50,0.077
330.00,0.068
330.50,0.070
331.00,0.081
331.50,0.063
332.00,0.065
332.50,0.060
333.00,0.056
333.50,0.051
334.00,0.047
334.50,0.032
335.00,0.041
335.50,0.045
336.00,0.035
336.50,0.031
337.00,0.044
337.50,0.040
338.00,0.022
338.50,0.018
339.00,0.038
339.50,0.027
340.00,0.037
340.50,0.047
341.00,0.033
341.50,0.024
342.00,0.039
342.50,0.043
343.00,0.039
343.50,0.036
344.00,0.031
344.50,0.028
345.00,0.032
345.50,0.027
346.00,0.046
346.50,0.030
347.00,0.039
347.50,0.033
348.00,0.029
348.50,0.029
349.00,0.026
349.50,0.024
350.00,0.031
350.50,0.028
351.00,0.029
351.50,0.030
352.00,0.042
352.50,0.040
353.00,0.032
353.50,0.032
354.00,0.038
354.50,0.053
355.00,0.051
355.50,0.040
356.00,0.041
356.50,0.038
357.00,0.022
357.50,0.037
358.00,0.044
358.50,0.030
359.00,0.030
359.50,0.040
360.00,0.041
360.50,0.051
361.00,0.046
361.50,0.055
362.00,0.050
362.50,0.051
363.00,0.063
363.50,0.063
364.00,0.066
364.50,0.060
365.00,0.061
365.50,0.044
366.00,0.061
366.50,0.066
367.00,0.059
367.50,0.068
368.00,0.073
368.50,0.072
369.00,0.070
369.50,0.072
370.00,0.068
370.50,0.075
371.00,0.068
371.50,0.074
372.00,0.072
372.50,0.078
373.00,0.076
373.50,0.081
374.00,0.082
374.50,0.089
375.00,0.080
375.50,0.079
376.00,0.070
376.50,0.072
