SpType,Hdelta,Hgamma,Hbeta,Halpha
O5V,2.4,1.1,3.0,2.5
O9V,3.3,1.6,3.5,2.6
B0V,3.3,2.4,3.5,2.7
B1V,4.4,3.8,4.6,3.4
B3V,6.1,6.0,6.7,5.3
B57V,9.3,8.9,9.3,5.5
B8V,6.0,5.2,5.2,4.8
B9V,10.4,10.1,10.1,6.6
A0V,14.7,13.9,13.4,9.8
A2V,14.6,14.6,14.6,9.2
A3V,14.0,13.8,13.6,9.3
A5V,12.6,12.3,12.7,8.7
A7V,13.3,13.2,12.6,8.0
F0V,9.3,9.4,9.5,6.6
F2V,6.4,6.5,6.2,5.2
F5V,3.8,3.9,4.7,3.6
wF5V,3.7,3.7,3.7,4.0
F6V,3.8,4.0,4.8,4.1
rF6V,2.3,2.7,4.2,3.4
F8V,2.4,2.9,4.6,3.2
wF8V,2.9,3.7,3.9,3.1
rF8V,1.5,2.3,4.3,2.9
G0V,1.7,2.5,4.2,2.9
wG0V,2.5,2.6,4.2,3.4
rG0V,0.0,0.4,2.4,2.4
G2V,0.0,0.8,3.2,2.5
G5V,0.0,0.8,2.9,1.9
wG5V,0.1,0.9,2.5,2.1
rG5V,0.0,0.1,3.3,2.2
G8V,0.0,0.0,2.1,1.5
K0V,0.0,0.0,1.3,1.3
rK0V,0.0,0.0,2.2,1.9
K2V,0.0,0.0,1.1,0.6
K3V,0.0,0.0,0.0,0.8
K4V,0.0,0.0,0.0,0.1
K5V,0.0,0.0,0.0,0.0
K7V,0.0,0.0,0.0,0.0
M0V,0.0,0.0,0.0,0.0
M1V,0.0,0.0,0.4,0.0
M2V,1.0,0.0,1.1,0.0
M2.5V,0.0,0.0,3.3,0.0
M3V,0.0,0.0,3.9,0.0
M4V,8.5,0.0,5.9,0.0
M5V,7.0,1.7,4.3,0.0
M6V,0.0,0.0,3.4,0.0
B2IV,3.7,4.4,5.9,4.4
B6IV,8.8,8.6,8.7,4.8
A0IV,13.1,14.2,12.9,9.1
A47IV,11.5,11.5,11.9,8.2
F02IV,5.8,5.6,6.9,5.4
F5IV,5.5,5.9,6.5,4.4
F8IV,1.9,2.4,4.5,3.5
G0IV,0.2,1.3,4.3,3.0
G2IV,0.0,0.0,2.4,1.5
G5IV,0.0,0.0,2.9,1.9
G8IV,0.0,0.6,1.1,1.7
K0IV,0.0,0.0,2.3,1.1
K1IV,0.0,0.0,2.1,0.9
K3IV,0.0,0.0,1.2,0.3
O8III,2.8,0.5,2.7,1.8
B12III,4.1,4.1,4.8,2.9
B3III,3.6,2.8,3.8,2.0
B5III,4.7,4.2,5.0,3.7
B9III,11.6,11.4,12.3,7.6
A0III,14.0,16.6,17.7,9.0
A3III,14.4,16.3,15.8,8.6
A5III,10.0,11.0,12.5,6.7
A7III,10.8,12.4,12.3,7.3
F0III,9.6,11.0,9.6,7.3
F2III,5.4,6.2,6.8,3.9
F5III,4.2,5.7,6.1,4.6
G0III,0.0,1.0,4.0,2.2
G5III,0.0,0.0,2.4,1.0
wG5III,0.0,0.0,2.5,1.1
rG5III,0.0,0.0,2.4,1.3
G8III,0.0,0.0,2.7,1.1
wG8III,0.0,0.4,2.8,1.6
K0III,0.0,0.0,2.3,1.3
wK0III,0.0,0.0,2.5,0.9
rK0III,0.0,0.0,2.4,1.7
K1III,0.0,0.0,2.8,1.0
wK1III,0.0,0.0,2.7,0.9
rK1III,0.0,0.0,2.6,1.2
K2III,0.0,0.0,2.7,1.0
wK2III,0.0,0.0,2.1,1.1
rK2III,0.0,0.0,2.1,0.8
K3III,0.0,0.0,1.6,1.0
wK3III,0.0,0.0,1.8,1.4
rK3III,0.0,0.0,2.6,0.8
K4III,0.0,0.0,1.7,1.0
wK4III,0.0,0.0,1.5,0.3
rK4III,0.0,0.0,2.5,0.6
K5III,0.0,0.0,1.2,0.8
rK5III,0.0,0.0,2.2,0.7
M0III,0.0,0.0,2.6,0.0
M1III,0.0,0.0,2.8,0.0
M2III,0.0,0.0,3.1,0.0
M3III,0.0,0.0,4.3,0.0
M4III,0.0,0.0,7.4,0.0
M5III,0.0,0.0,9.5,0.0
M6III,0.0,0.0,14.1,0.0
M7III,0.0,0.0,17.5,0.0
M8III,0.0,0.0,19.7,0.0
M9III,0.0,7.3,0.0,0.0
M10III,0.0,8.1,0.0,0.0
B2II,2.0,0.7,1.3,2.8
B5II,2.5,2.3,3.1,4.6
F0II,7.1,6.2,8.0,5.8
F2II,6.4,5.2,7.0,5.5
G5II,0.0,0.0,2.9,1.8
K01II,0.0,0.0,2.6,1.6
K34II,0.0,0.0,2.9,1.2
M3II,0.0,0.0,4.9,0.0
B0I,3.8,1.0,2.1,0.9
B1I,2.2,0.4,1.3,0.0
B3I,2.3,1.5,2.8,0.4
B5I,2.7,1.3,2.8,1.4
B8I,2.7,0.1,2.0,0.0
A0I,5.3,4.2,6.2,3.3
A2I,6.0,4.8,6.8,0.8
F0I,7.8,7.6,8.8,4.8
F5I,4.9,3.2,6.8,4.0
F8I,2.1,1.2,5.7,2.9
G0I,0.2,0.0,5.4,2.3
G2I,0.0,0.0,3.8,1.9
G5I,0.0,0.0,4.7,0.7
G8I,0.0,0.0,3.1,1.2
K2I,0.0,0.0,2.6,1.0
K3I,0.0,0.0,2.7,1.1
K4I,0.0,0.0,2.9,1.2
M2I,0.0,0.0,5.2,0.0
