wavenumber,transmittance,absorbance
550.095200,48.207020,0.316890
550.577300,48.288200,0.316159
551.059400,48.332660,0.315759
551.541500,48.312190,0.315943
552.023600,48.292070,0.316124
552.505700,48.280970,0.316224
552.987900,48.326060,0.315819
553.470000,48.484470,0.314397
553.952100,48.690420,0.312556
554.434200,48.945580,0.310287
554.916300,49.201240,0.308024
555.398400,49.401540,0.306260
555.880600,49.397110,0.306298
556.362700,49.342120,0.306782
556.844800,49.146970,0.308503
557.326900,48.872540,0.310935
557.809000,48.580660,0.313537
558.291100,48.381480,0.315321
558.773300,48.307370,0.315987
559.255400,48.234250,0.316644
559.737500,48.304830,0.316009
560.219600,48.369230,0.315431
560.701700,48.370500,0.315419
561.183800,48.315110,0.315917
561.666000,48.218390,0.316787
562.148100,48.056270,0.318250
562.630200,47.932960,0.319366
563.112300,47.894260,0.319717
563.594400,47.871730,0.319921
564.076500,48.032040,0.318469
564.558700,48.220360,0.316770
565.040800,48.312920,0.315937
565.522900,48.341840,0.315677
566.005000,48.313340,0.315933
566.487100,48.257350,0.316437
566.969200,48.223210,0.316744
567.451400,48.257180,0.316438
567.933500,48.370410,0.315420
568.415600,48.417880,0.314994
568.897700,48.607410,0.313298
569.379800,48.757930,0.311955
569.861900,48.849740,0.311138
570.344100,48.866570,0.310988
570.826200,48.807180,0.311516
571.308300,48.687530,0.312582
571.790400,48.528530,0.314003
572.272500,48.366620,0.315454
572.754600,48.234730,0.316640
573.236800,48.125790,0.317622
573.718900,48.028500,0.318501
574.201000,47.934560,0.319351
574.683100,47.856380,0.320060
575.165200,47.808020,0.320499
575.647300,47.790080,0.320662
576.129500,47.789390,0.320669
576.611600,47.794190,0.320625
577.093700,47.786910,0.320691
577.575800,47.747550,0.321049
578.057900,47.664380,0.321806
578.540000,47.556380,0.322791
579.022200,47.468570,0.323594
579.504300,47.444890,0.323811
579.986400,47.504680,0.323264
580.468500,47.627280,0.322144
580.950600,47.762740,0.320911
581.432700,47.854070,0.320081
581.914900,47.861230,0.320016
582.397000,47.781980,0.320736
582.879100,47.653470,0.321905
583.361200,47.534870,0.322988
583.843300,47.480060,0.323489
584.325400,47.509610,0.323219
584.807600,47.603470,0.322361
585.289700,47.715890,0.321337
585.771800,47.799980,0.320572
586.253900,47.831020,0.320290
586.736000,47.815000,0.320436
587.218100,47.762390,0.320914
587.700300,47.810550,0.320476
588.182400,47.943040,0.319274
588.664500,48.084470,0.317995
589.146600,48.147800,0.317424
589.628700,48.085250,0.317988
590.110800,47.915600,0.319523
590.593000,47.716230,0.321334
591.075100,47.581780,0.322559
591.557200,47.570720,0.322660
592.039300,47.674000,0.321718
592.521400,47.826090,0.320335
593.003500,47.948090,0.319229
593.485700,47.994400,0.318809
593.967800,47.973600,0.318998
594.449900,47.938050,0.319320
594.932000,47.947630,0.319233
595.414100,48.029930,0.318488
595.896200,48.160860,0.317306
596.378400,48.278200,0.316249
596.860500,48.318100,0.315890
597.342600,48.253350,0.316473
597.824700,48.110780,0.317758
598.306800,47.959980,0.319121
598.788900,47.877570,0.319868
599.271100,47.905900,0.319611
599.753200,48.030040,0.318487
600.235300,48.188320,0.317058
600.717400,48.307810,0.315983
601.199500,48.344670,0.315651
601.681600,48.306220,0.315997
602.163800,48.245060,0.316547
602.645900,48.228720,0.316694
603.128000,48.300950,0.316044
603.610100,48.457040,0.314643
604.092200,48.647330,0.312941
604.574300,48.805210,0.311534
605.056500,48.882900,0.310843
605.538600,48.875240,0.310911
606.020700,48.819340,0.311408
606.502800,48.770120,0.311846
606.984900,48.765690,0.311886
607.467000,48.803840,0.311546
607.949200,48.845200,0.311178
608.431300,48.840060,0.311224
608.913400,48.762940,0.311910
609.395500,48.633320,0.313066
609.877600,48.511300,0.314157
610.359700,48.468110,0.314544
610.841900,48.546800,0.313839
611.324000,48.736450,0.312146
611.806100,48.977150,0.310006
612.288200,49.190900,0.308115
612.770300,49.321040,0.306968
613.252400,49.357030,0.306651
613.734600,49.333060,0.306862
614.216700,49.301560,0.307139
614.698800,49.298070,0.307170
615.180900,49.319000,0.306986
615.663000,49.326990,0.306915
616.145100,49.278440,0.307343
616.627300,49.156720,0.308417
617.109400,48.988580,0.309905
617.591500,48.834610,0.311272
618.073600,48.756180,0.311970
618.555700,48.779500,0.311763
619.037800,48.880060,0.310868
619.520000,48.997830,0.309823
620.002100,49.071890,0.309167
620.484200,49.073680,0.309151
620.966300,49.020480,0.309622
621.448400,48.962790,0.310134
621.930500,48.953030,0.310220
622.412700,49.013610,0.309683
622.894800,49.124100,0.308705
623.376900,49.234890,0.307727
623.859000,49.296490,0.307184
624.341100,49.288380,0.307255
624.823200,49.229320,0.307776
