wavenumber,transmittance,absorbance
550.095200,78.926380,0.102778
550.577300,78.947140,0.102664
551.059400,78.954950,0.102621
551.541500,78.927120,0.102774
552.023600,78.903170,0.102906
552.505700,78.931910,0.102747
552.987900,78.991990,0.102417
553.470000,79.144070,0.101582
553.952100,79.353290,0.100435
554.434200,79.610790,0.099028
554.916300,79.864230,0.097648
555.398400,80.047870,0.096650
555.880600,80.071680,0.096521
556.362700,80.072070,0.096519
556.844800,79.994900,0.096938
557.326900,79.875670,0.097585
557.809000,79.746120,0.098290
558.291100,79.670040,0.098705
558.773300,79.692200,0.098584
559.255400,79.628490,0.098932
559.737500,79.620970,0.098973
560.219600,79.585850,0.099164
560.701700,79.515720,0.099547
561.183800,79.437900,0.099972
561.666000,79.386500,0.100253
562.148100,79.318320,0.100626
562.630200,79.275700,0.100860
563.112300,79.254080,0.100978
563.594400,79.220670,0.101161
564.076500,79.258740,0.100953
564.558700,79.293240,0.100764
565.040800,79.271640,0.100882
565.522900,79.232610,0.101096
566.005000,79.192160,0.101318
566.487100,79.159930,0.101495
566.969200,79.145550,0.101573
567.451400,79.167930,0.101451
567.933500,79.244320,0.101032
568.415600,79.305760,0.100695
568.897700,79.508600,0.099586
569.379800,79.692700,0.098581
569.861900,79.864110,0.097648
570.344100,79.983890,0.096997
570.826200,80.021760,0.096792
571.308300,79.986650,0.096982
571.790400,79.863150,0.097654
572.272500,79.678920,0.098657
572.754600,79.512630,0.099564
573.236800,79.344940,0.100481
573.718900,79.237300,0.101070
574.201000,79.194420,0.101305
574.683100,79.207820,0.101232
575.165200,79.264160,0.100923
575.647300,79.345820,0.100476
576.129500,79.420100,0.100070
576.611600,79.459410,0.099855
577.093700,79.454730,0.099880
577.575800,79.420160,0.100069
578.057900,79.376870,0.100306
578.540000,79.353000,0.100437
579.022200,79.377810,0.100301
579.504300,79.466470,0.099816
579.986400,79.605510,0.099057
580.468500,79.755170,0.098241
580.950600,79.870780,0.097612
581.432700,79.923200,0.097327
581.914900,79.903680,0.097433
582.397000,79.829350,0.097837
582.879100,79.736950,0.098340
583.361200,79.667110,0.098721
583.843300,79.642640,0.098854
584.325400,79.659650,0.098762
584.807600,79.692670,0.098582
585.289700,79.707960,0.098498
585.771800,79.678900,0.098657
586.253900,79.603870,0.099066
586.736000,79.514560,0.099553
587.218100,79.468880,0.099803
587.700300,79.506910,0.099595
588.182400,79.621300,0.098971
588.664500,79.776990,0.098122
589.146600,79.926200,0.097311
589.628700,80.024410,0.096778
590.110800,80.043730,0.096673
590.593000,79.977780,0.097031
591.075100,79.840550,0.097776
591.557200,79.658490,0.098768
592.039300,79.460750,0.099847
592.521400,79.272250,0.100879
593.003500,79.111770,0.101759
593.485700,78.993900,0.102406
593.967800,78.930410,0.102756
594.449900,78.927350,0.102772
594.932000,78.980120,0.102482
595.414100,79.070160,0.101987
595.896200,79.168020,0.101450
596.378400,79.241850,0.101045
596.860500,79.268170,0.100901
597.342600,79.238570,0.101063
597.824700,79.160810,0.101490
598.306800,79.053210,0.102080
598.788900,78.935650,0.102727
599.271100,78.820850,0.103359
599.753200,78.711100,0.103964
600.235300,78.601830,0.104567
600.717400,78.490030,0.105186
601.199500,78.380980,0.105789
601.681600,78.291200,0.106287
602.163800,78.242400,0.106558
602.645900,78.252010,0.106504
603.128000,78.323190,0.106110
603.610100,78.441170,0.105456
604.092200,78.578330,0.104697
604.574300,78.704600,0.104000
605.056500,78.797430,0.103488
605.538600,78.848030,0.103209
606.020700,78.859960,0.103143
606.502800,78.843500,0.103234
606.984900,78.807550,0.103432
607.467000,78.755520,0.103719
607.949200,78.686490,0.104100
608.431300,78.600760,0.104573
608.913400,78.505800,0.105098
609.395500,78.417960,0.105584
609.877600,78.357700,0.105918
610.359700,78.340230,0.106015
610.841900,78.367000,0.105867
611.324000,78.423480,0.105554
611.806100,78.485660,0.105210
612.288200,78.531850,0.104954
612.770300,78.552620,0.104839
613.252400,78.554210,0.104831
613.734600,78.553320,0.104835
614.216700,78.565940,0.104766
614.698800,78.597240,0.104593
615.180900,78.638540,0.104365
615.663000,78.673520,0.104171
616.145100,78.689830,0.104081
616.627300,78.688650,0.104088
617.109400,78.687360,0.104095
617.591500,78.711650,0.103961
618.073600,78.782060,0.103573
618.555700,78.901580,0.102914
619.037800,79.053070,0.102081
619.520000,79.207730,0.101232
620.002100,79.339250,0.100512
620.484200,79.435270,0.099987
620.966300,79.502340,0.099620
621.448400,79.560430,0.099303
621.930500,79.631900,0.098913
622.412700,79.729280,0.098382
622.894800,79.849630,0.097727
623.376900,79.977090,0.097034
623.859000,80.091470,0.096414
624.341100,80.178030,0.095945
624.823200,80.232990,0.095647
625.305400,80.263160,0.095484
625.787500,80.280980,0.095387
626.269600,80.297240,0.095299
626.751700,80.317080,0.095192
627.233800,80.339690,0.095070
627.715900,80.362140,0.094949
628.198100,80.383070,0.094835
628.680200,80.404730,0.094718
629.162300,80.431600,0.094573
629.644400,80.467120,0.094382
630.126500,80.510640,0.094147
630.608600,80.557530,0.093894
631.090800,80.601380,0.093658
631.572900,80.638870,0.093456
632.055000,80.672210,0.093276
632.537100,80.709370,0.093076
633.019200,80.760400,0.092802
633.501300,80.831790,0.092418
633.983500,80.922070,0.091933
634.465600,81.021070,0.091402
634.947700,81.113690,0.090906
635.429800,81.186090,0.090518
635.911900,81.230850,0.090279
636.394000,81.249520,0.090179
636.876200,81.249930,0.090177
637.358300,81.241290,0.090223
637.840400,81.228610,0.090291
638.322500,81.211030,0.090385
638.804600,81.184040,0.090529
639.286700,81.144710,0.090740
639.768900,81.096260,0.090999
640.251000,81.049610,0.091249
640.733100,81.019800,0.091409
641.215200,81.019510,0.091410
641.697300,81.052770,0.091232
642.179400,81.112270,0.090913
642.661600,81.181650,0.090542
643.143700,81.241840,0.090220
643.625800,81.277920,0.090027
644.107900,81.284430,0.089993
644.590000,81.266330,0.090089
645.072100,81.235770,0.090253
645.554300,81.206630,0.090409
646.036400,81.189430,0.090501
646.518500,81.188710,0.090504
647.000600,81.203870,0.090423
647.482700,81.231120,0.090278
647.964800,81.266330,0.090089
648.447000,81.306230,0.089876
648.929100,81.348450,0.089651
649.411200,81.390470,0.089426
649.893300,81.429120,0.089220
650.375400,81.460870,0.089051
650.857500,81.483190,0.088932
651.339700,81.495700,0.088865
651.821800,81.500920,0.088837
652.303900,81.503290,0.088825
652.786000,81.507340,0.088803
653.268100,81.515580,0.088759
653.750200,81.527750,0.088695
654.232400,81.541550,0.088621
654.714500,81.554470,0.088552
655.196600,81.565510,0.088493
655.678700,81.575810,0.088439
656.160800,81.587780,0.088375
656.642900,81.603220,0.088293
657.125100,81.621640,0.088195
657.607200,81.640070,0.088097
658.089300,81.654340,0.088021
658.571400,81.661480,0.087983
659.053500,81.661690,0.087982
659.535600,81.658780,0.087997
660.017800,81.658810,0.087997
660.499900,81.667110,0.087953
660.982000,81.685870,0.087853
661.464100,81.713230,0.087708
661.946200,81.743970,0.087544
662.428300,81.772170,0.087394
662.910500,81.793380,0.087282
663.392600,81.806310,0.087213
663.874700,81.812630,0.087180
664.356800,81.815370,0.087165
664.838900,81.817160,0.087156
665.321000,81.819340,0.087144
665.803200,81.822300,0.087128
666.285300,81.826820,0.087104
666.767400,81.835720,0.087057
667.249500,81.854560,0.086957
667.731600,81.889030,0.086774
668.213700,81.939300,0.086508
668.695900,81.996930,0.086202
669.178000,82.049710,0.085923
669.660100,82.089100,0.085715
670.142200,82.112970,0.085588
670.624300,82.124010,0.085530
671.106400,82.127650,0.085511
671.588600,82.130160,0.085497
672.070700,82.137250,0.085460
672.552800,82.152500,0.085379
673.034900,82.176380,0.085253
673.517000,82.206760,0.085092
673.999100,82.240490,0.084914
674.481300,82.275560,0.084729
674.963400,82.312120,0.084536
675.445500,82.352090,0.084325
675.927600,82.397540,0.084086
676.409700,82.448860,0.083815
676.891800,82.504010,0.083525
677.374000,82.559220,0.083234
677.856100,82.610900,0.082963
678.338200,82.657300,0.082719
678.820300,82.699280,0.082498
679.302400,82.739560,0.082287
679.784500,82.780850,0.082070
680.266700,82.824110,0.081843
680.748800,82.867770,0.081614
681.230900,82.908340,0.081402
681.713000,82.942510,0.081223
682.195100,82.969060,0.081084
682.677200,82.989970,0.080974
683.159400,83.009840,0.080870
683.641500,83.034220,0.080743
684.123600,83.067020,0.080571
684.605700,83.108910,0.080352
685.087800,83.156880,0.080102
685.569900,83.205670,0.079847
686.052100,83.249840,0.079617
686.534200,83.285640,0.079430
687.016300,83.312020,0.079292
687.498400,83.330540,0.079196
687.980500,83.344280,0.079124
688.462600,83.356680,0.079060
688.944800,83.370620,0.078987
689.426900,83.387990,0.078896
689.909000,83.409890,0.078782
690.391100,83.436680,0.078643
690.873200,83.468000,0.078480
691.355300,83.502560,0.078300
691.837500,83.537850,0.078117
692.319600,83.570560,0.077947
692.801700,83.597340,0.077808
693.283800,83.615910,0.077711
693.765900,83.625860,0.077659
694.248000,83.628590,0.077645
694.730200,83.626620,0.077655
695.212300,83.622430,0.077677
695.694400,83.617180,0.077704
696.176500,83.610470,0.077739
696.658600,83.600800,0.077790
697.140700,83.586880,0.077862
697.622900,83.568860,0.077956
698.105000,83.548970,0.078059
698.587100,83.530980,0.078152
699.069200,83.518860,0.078215
699.551300,83.514950,0.078236
700.033400,83.519150,0.078214
700.515600,83.528730,0.078164
700.997700,83.539740,0.078107
701.479800,83.548690,0.078060
701.961900,83.553890,0.078033
702.444000,83.555970,0.078023
702.926100,83.557180,0.078016
703.408300,83.560200,0.078001
703.890400,83.566730,0.077967
704.372500,83.576940,0.077914
704.854600,83.589680,0.077847
705.336700,83.603200,0.077777
705.818800,83.616230,0.077709
706.301000,83.628480,0.077646
706.783100,83.640500,0.077583
707.265200,83.653330,0.077517
707.747300,83.668050,0.077440
708.229400,83.685560,0.077349
708.711500,83.706840,0.077239
709.193700,83.733030,0.077103
709.675800,83.765620,0.076934
710.157900,83.805970,0.076725
710.640000,83.854390,0.076474
711.122100,83.909570,0.076189
711.604200,83.968510,0.075884
712.086400,84.027090,0.075581
712.568500,84.081310,0.075301
713.050600,84.128550,0.075057
713.532700,84.168270,0.074852
714.014800,84.202100,0.074677
714.496900,84.232990,0.074518
714.979100,84.264270,0.074357
715.461200,84.298650,0.074179
715.943300,84.337810,0.073978
716.425400,84.382540,0.073747
716.907500,84.433070,0.073487
717.389600,84.489460,0.073197
717.871800,84.551610,0.072878
718.353900,84.618880,0.072533
718.836000,84.689890,0.072168
719.318100,84.762370,0.071797
719.800200,84.833660,0.071432
720.282300,84.901390,0.071085
720.764500,84.964110,0.070764
721.246600,85.021570,0.070471
721.728700,85.074400,0.070201
722.210800,85.123430,0.069951
722.692900,85.169170,0.069718
723.175000,85.211600,0.069501
723.657200,85.250540,0.069303
724.139300,85.286060,0.069122
724.621400,85.318910,0.068955
725.103500,85.350540,0.068794
725.585600,85.382680,0.068630
726.067700,85.416350,0.068459
726.549900,85.451470,0.068280
727.032000,85.486560,0.068102
727.514100,85.519460,0.067935
727.996200,85.548260,0.067789
728.478300,85.572170,0.067667
728.960400,85.592060,0.067567
729.442600,85.609990,0.067476
729.924700,85.628440,0.067382
730.406800,85.649180,0.067277
730.888900,85.672640,0.067158
731.371000,85.697820,0.067030
731.853100,85.722920,0.066903
732.335300,85.745960,0.066786
732.817400,85.765530,0.066687
733.299500,85.780820,0.066610
733.781600,85.791330,0.066557
734.263700,85.796460,0.066531
734.745800,85.795350,0.066536
735.228000,85.786990,0.066579
735.710100,85.770820,0.066660
736.192200,85.747270,0.066780
736.674300,85.718030,0.066928
737.156400,85.685700,0.067092
737.638500,85.653120,0.067257
738.120700,85.622320,0.067413
738.602800,85.594150,0.067556
739.084900,85.568140,0.067688
739.567000,85.543170,0.067815
740.049100,85.518230,0.067941
740.531300,85.493100,0.068069
741.013400,85.468300,0.068195
741.495500,85.444480,0.068316
741.977600,85.421950,0.068431
742.459700,85.400160,0.068541
742.941800,85.377950,0.068654
743.424000,85.354240,0.068775
743.906100,85.328850,0.068904
744.388200,85.303280,0.069034
