wavenumber,transmittance,absorbance
550.095200,47.245610,0.325639
550.577300,47.302940,0.325112
551.059400,47.430690,0.323941
551.541500,47.552310,0.322828
552.023600,47.625020,0.322165
552.505700,47.672650,0.321731
552.987900,47.685510,0.321614
553.470000,47.697320,0.321506
553.952100,47.770950,0.320836
554.434200,47.916160,0.319518
554.916300,48.119920,0.317675
555.398400,48.337220,0.315718
555.880600,48.512410,0.314147
556.362700,48.647240,0.312942
556.844800,48.677670,0.312670
557.326900,48.630330,0.313093
557.809000,48.558820,0.313732
558.291100,48.513480,0.314138
558.773300,48.575750,0.313580
559.255400,48.584340,0.313504
559.737500,48.672130,0.312720
560.219600,48.770660,0.311841
560.701700,48.851360,0.311123
561.183800,48.904410,0.310652
561.666000,48.972590,0.310047
562.148100,48.970940,0.310062
562.630200,48.940510,0.310332
563.112300,48.892590,0.310757
563.594400,48.876690,0.310898
564.076500,48.878600,0.310881
564.558700,48.900190,0.310689
565.040800,48.943490,0.310305
565.522900,49.005810,0.309752
566.005000,49.068600,0.309196
566.487100,49.110800,0.308823
566.969200,49.124440,0.308702
567.451400,49.112830,0.308805
567.933500,49.086590,0.309037
568.415600,49.050800,0.309354
568.897700,49.088680,0.309019
569.379800,49.096090,0.308953
569.861900,49.103250,0.308890
570.344100,49.079880,0.309097
570.826200,49.016550,0.309657
571.308300,48.953450,0.310217
571.790400,48.862340,0.311026
572.272500,48.754230,0.311988
572.754600,48.694740,0.312518
573.236800,48.587350,0.313477
573.718900,48.484260,0.314399
574.201000,48.396900,0.315182
574.683100,48.350750,0.315597
575.165200,48.365790,0.315462
575.647300,48.442530,0.314773
576.129500,48.551810,0.313795
576.611600,48.652970,0.312891
577.093700,48.701010,0.312462
577.575800,48.664960,0.312784
578.057900,48.537640,0.313921
578.540000,48.357170,0.315539
579.022200,48.196650,0.316983
579.504300,48.131970,0.317566
579.986400,48.200170,0.316951
580.468500,48.371890,0.315407
580.950600,48.565850,0.313669
581.432700,48.690360,0.312557
581.914900,48.684080,0.312613
582.397000,48.544860,0.313857
582.879100,48.329010,0.315792
583.361200,48.127450,0.317607
583.843300,48.022640,0.318554
584.325400,48.049140,0.318314
584.807600,48.178170,0.317150
585.289700,48.338810,0.315704
585.771800,48.452430,0.314684
586.253900,48.470310,0.314524
586.736000,48.392230,0.315224
587.218100,48.274240,0.316285
587.700300,48.273830,0.316288
588.182400,48.383650,0.315301
588.664500,48.529910,0.313991
589.146600,48.620900,0.313177
589.628700,48.600880,0.313356
590.110800,48.480160,0.314436
590.593000,48.327540,0.315805
591.075100,48.229600,0.316686
591.557200,48.237340,0.316617
592.039300,48.335870,0.315730
592.521400,48.456860,0.314645
593.003500,48.522940,0.314053
593.485700,48.494350,0.314309
593.967800,48.389850,0.315246
594.449900,48.273760,0.316289
594.932000,48.216790,0.316802
595.414100,48.252300,0.316482
595.896200,48.355300,0.315556
596.378400,48.456590,0.314647
596.860500,48.482880,0.314412
597.342600,48.398610,0.315167
597.824700,48.226940,0.316710
598.306800,48.039370,0.318403
598.788900,47.918620,0.319496
599.271100,47.913890,0.319539
599.753200,48.015070,0.318622
600.235300,48.160600,0.317308
600.717400,48.273840,0.316288
601.199500,48.304870,0.316009
601.681600,48.256000,0.316449
602.163800,48.177780,0.317153
602.645900,48.139640,0.317497
603.128000,48.190840,0.317036
603.610100,48.333920,0.315748
604.092200,48.526350,0.314022
604.574300,48.707150,0.312407
605.056500,48.831840,0.311297
605.538600,48.896220,0.310725
606.020700,48.935940,0.310372
606.502800,49.002480,0.309782
606.984900,49.129060,0.308662
607.467000,49.308020,0.307082
607.949200,49.494480,0.305443
608.431300,49.632840,0.304231
608.913400,49.689750,0.303733
609.395500,49.673820,0.303872
609.877600,49.630960,0.304247
610.359700,49.616600,0.304373
610.841900,49.660240,0.303991
611.324000,49.744790,0.303252
611.806100,49.814410,0.302645
612.288200,49.807500,0.302705
612.770300,49.693790,0.303698
613.252400,49.495690,0.305433
613.734600,49.279670,0.307332
614.216700,49.121700,0.308727
614.698800,49.065040,0.309228
615.180900,49.097060,0.308945
615.663000,49.159510,0.308392
616.145100,49.185000,0.308167
616.627300,49.138680,0.308577
617.109400,49.040110,0.309449
617.591500,48.952930,0.310221
618.073600,48.946920,0.310275
618.555700,49.054270,0.309323
619.037800,49.248440,0.307608
619.520000,49.458400,0.305760
