wavenumber,transmittance,absorbance
550.095200,101.385200,-0.005975
550.577300,101.350600,-0.005826
551.059400,101.312100,-0.005661
551.541500,101.273600,-0.005496
552.023600,101.248000,-0.005386
552.505700,101.384600,-0.005972
552.987900,101.424800,-0.006144
553.470000,101.530900,-0.006598
553.952100,101.663400,-0.007165
554.434200,101.809700,-0.007789
554.916300,101.963100,-0.008443
555.398400,102.083700,-0.008956
555.880600,102.167800,-0.009314
556.362700,102.223600,-0.009551
556.844800,102.198100,-0.009443
557.326900,102.086800,-0.008970
557.809000,101.923800,-0.008276
558.291100,101.749000,-0.007530
558.773300,101.705000,-0.007342
559.255400,101.597100,-0.006881
559.737500,101.523100,-0.006565
560.219600,101.499400,-0.006463
560.701700,101.514700,-0.006529
561.183800,101.544300,-0.006656
561.666000,101.571500,-0.006772
562.148100,101.629800,-0.007021
562.630200,101.681600,-0.007242
563.112300,101.718500,-0.007400
563.594400,101.810200,-0.007791
564.076500,101.856800,-0.007990
564.558700,101.858200,-0.007996
565.040800,101.818900,-0.007828
565.522900,101.740700,-0.007495
566.005000,101.651900,-0.007116
566.487100,101.570700,-0.006768
566.969200,101.500700,-0.006469
567.451400,101.447400,-0.006241
567.933500,101.420600,-0.006126
568.415600,101.443700,-0.006225
568.897700,101.531500,-0.006601
569.379800,101.565600,-0.006747
569.861900,101.604600,-0.006913
570.344100,101.620800,-0.006983
570.826200,101.592400,-0.006861
571.308300,101.555400,-0.006703
571.790400,101.456300,-0.006279
572.272500,101.301900,-0.005618
572.754600,101.190100,-0.005138
573.236800,101.010900,-0.004368
573.718900,100.869000,-0.003758
574.201000,100.778200,-0.003367
574.683100,100.731200,-0.003164
575.165200,100.711100,-0.003077
575.647300,100.699400,-0.003027
576.129500,100.663500,-0.002872
576.611600,100.577000,-0.002499
577.093700,100.438700,-0.001901
577.575800,100.274000,-0.001188
578.057900,100.112400,-0.000488
578.540000,99.978790,0.000092
579.022200,99.896780,0.000449
579.504300,99.880430,0.000520
579.986400,99.918230,0.000355
580.468500,99.972970,0.000117
580.950600,100.003700,-0.000016
581.432700,99.984830,0.000066
581.914900,99.907880,0.000400
582.397000,99.784550,0.000937
582.879100,99.647960,0.001532
583.361200,99.542030,0.001994
583.843300,99.500890,0.002173
584.325400,99.535350,0.002023
584.807600,99.633050,0.001597
585.289700,99.762770,0.001032
585.771800,99.882180,0.000512
586.253900,99.952400,0.000207
586.736000,99.959910,0.000174
587.218100,99.899920,0.000435
587.700300,99.803090,0.000856
588.182400,99.704510,0.001285
588.664500,99.641540,0.001560
589.146600,99.638900,0.001571
589.628700,99.699870,0.001305
590.110800,99.803500,0.000854
590.593000,99.910550,0.000389
591.075100,99.978150,0.000095
591.557200,99.976810,0.000101
592.039300,99.903310,0.000420
592.521400,99.781130,0.000952
593.003500,99.648490,0.001529
593.485700,99.543740,0.001986
593.967800,99.492540,0.002209
594.449900,99.502750,0.002165
594.932000,99.565010,0.001893
595.414100,99.659640,0.001481
595.896200,99.765520,0.001020
596.378400,99.867040,0.000578
596.860500,99.955320,0.000194
597.342600,100.025700,-0.000112
597.824700,100.073000,-0.000317
598.306800,100.090200,-0.000392
598.788900,100.069500,-0.000302
599.271100,100.008100,-0.000035
599.753200,99.911290,0.000385
600.235300,99.793460,0.000898
600.717400,99.674350,0.001417
601.199500,99.573430,0.001857
601.681600,99.504390,0.002158
602.163800,99.472790,0.002296
602.645900,99.477020,0.002277
603.128000,99.512190,0.002124
603.610100,99.574870,0.001850
604.092200,99.665420,0.001455
604.574300,99.786530,0.000928
605.056500,99.938350,0.000268
605.538600,100.112700,-0.000489
606.020700,100.290400,-0.001259
606.502800,100.444600,-0.001927
606.984900,100.549300,-0.002379
607.467000,100.589600,-0.002553
607.949200,100.567800,-0.002459
608.431300,100.501300,-0.002172
608.913400,100.416200,-0.001804
