wavenumber,transmittance,absorbance
550.095200,83.218570,0.079780
550.577300,83.231070,0.079715
551.059400,83.230630,0.079717
551.541500,83.198100,0.079887
552.023600,83.140870,0.080185
552.505700,83.144160,0.080168
552.987900,83.139680,0.080192
553.470000,83.163740,0.080066
553.952100,83.216800,0.079789
554.434200,83.283340,0.079442
554.916300,83.346790,0.079111
555.398400,83.374430,0.078967
555.880600,83.368250,0.078999
556.362700,83.335950,0.079168
556.844800,83.260760,0.079560
557.326900,83.149150,0.080142
557.809000,83.031960,0.080755
558.291100,82.938480,0.081244
558.773300,82.933890,0.081268
559.255400,82.903920,0.081425
559.737500,82.901950,0.081435
560.219600,82.920240,0.081339
560.701700,82.943740,0.081216
561.183800,82.950000,0.081184
561.666000,82.942610,0.081222
562.148100,82.903390,0.081428
562.630200,82.826540,0.081830
563.112300,82.711390,0.082435
563.594400,82.612640,0.082953
564.076500,82.494580,0.083575
564.558700,82.380300,0.084177
565.040800,82.285210,0.084678
565.522900,82.209470,0.085078
566.005000,82.158780,0.085346
566.487100,82.120150,0.085550
566.969200,82.071530,0.085807
567.451400,82.004120,0.086164
567.933500,81.928020,0.086568
568.415600,81.870550,0.086872
568.897700,81.842800,0.087020
569.379800,81.797000,0.087263
569.861900,81.768750,0.087413
570.344100,81.736210,0.087586
570.826200,81.675240,0.087910
571.308300,81.593560,0.088344
571.790400,81.457860,0.089067
572.272500,81.270690,0.090066
572.754600,81.090020,0.091033
573.236800,80.870210,0.092211
573.718900,80.679590,0.093236
574.201000,80.531910,0.094032
574.683100,80.430400,0.094580
575.165200,80.375490,0.094876
575.647300,80.362750,0.094945
576.129500,80.359090,0.094965
576.611600,80.320890,0.095171
577.093700,80.219870,0.095718
577.575800,80.060720,0.096581
578.057900,79.868380,0.097625
578.540000,79.683860,0.098630
579.022200,79.558300,0.099315
579.504300,79.532020,0.099458
579.986400,79.605740,0.099056
580.468500,79.734310,0.098355
580.950600,79.852710,0.097710
581.432700,79.906830,0.097416
581.914900,79.864270,0.097647
582.397000,79.725520,0.098403
582.879100,79.523570,0.099504
583.361200,79.312950,0.100656
583.843300,79.142810,0.101589
584.325400,79.040080,0.102153
584.807600,79.005490,0.102343
585.289700,79.019700,0.102265
585.771800,79.052680,0.102083
586.253900,79.080190,0.101932
586.736000,79.099190,0.101828
587.218100,79.089810,0.101879
587.700300,79.122920,0.101698
588.182400,79.187640,0.101343
588.664500,79.255990,0.100968
589.146600,79.298610,0.100734
589.628700,79.299610,0.100729
590.110800,79.263840,0.100925
590.593000,79.210680,0.101216
591.075100,79.161160,0.101488
591.557200,79.122250,0.101701
592.039300,79.082130,0.101922
592.521400,79.018300,0.102272
593.003500,78.913140,0.102851
593.485700,78.767620,0.103652
593.967800,78.603780,0.104557
594.449900,78.455990,0.105374
594.932000,78.353610,0.105941
595.414100,78.305340,0.106209
595.896200,78.294650,0.106268
596.378400,78.288950,0.106300
596.860500,78.258160,0.106470
597.342600,78.190540,0.106846
597.824700,78.098970,0.107355
598.306800,78.013600,0.107830
598.788900,77.966100,0.108094
599.271100,77.971800,0.108062
599.753200,78.022400,0.107781
600.235300,78.091010,0.107399
600.717400,78.148340,0.107080
601.199500,78.177830,0.106916
601.681600,78.183590,0.106884
602.163800,78.186000,0.106871
602.645900,78.209140,0.106742
603.128000,78.266190,0.106426
603.610100,78.352380,0.105948
604.092200,78.447990,0.105418
604.574300,78.530510,0.104962
605.056500,78.586400,0.104653
605.538600,78.617620,0.104480
