wavenumber,transmittance,absorbance
550.095200,98.442320,0.006818
550.577300,98.407260,0.006973
551.059400,98.389180,0.007053
551.541500,98.393760,0.007032
552.023600,98.422310,0.006906
552.505700,98.530870,0.006428
552.987900,98.701260,0.005677
553.470000,98.888570,0.004854
553.952100,99.118970,0.003843
554.434200,99.348710,0.002838
554.916300,99.552800,0.001947
555.398400,99.703380,0.001290
555.880600,99.819420,0.000785
556.362700,99.880080,0.000521
556.844800,99.891760,0.000470
557.326900,99.878310,0.000529
557.809000,99.874740,0.000544
558.291100,99.888880,0.000483
558.773300,99.976880,0.000100
559.255400,100.025000,-0.000109
559.737500,100.086000,-0.000373
560.219600,100.135200,-0.000587
560.701700,100.156200,-0.000678
561.183800,100.139900,-0.000607
561.666000,100.138200,-0.000600
562.148100,100.103600,-0.000450
562.630200,100.070200,-0.000305
563.112300,100.058100,-0.000252
563.594400,100.148200,-0.000643
564.076500,100.245900,-0.001067
564.558700,100.362900,-0.001573
565.040800,100.498600,-0.002160
565.522900,100.610200,-0.002642
566.005000,100.685300,-0.002966
566.487100,100.719400,-0.003113
566.969200,100.717900,-0.003107
567.451400,100.693100,-0.003000
567.933500,100.662200,-0.002866
568.415600,100.677800,-0.002934
568.897700,100.718100,-0.003108
569.379800,100.740300,-0.003203
569.861900,100.767900,-0.003322
570.344100,100.769700,-0.003330
570.826200,100.726500,-0.003144
571.308300,100.656100,-0.002840
571.790400,100.524300,-0.002271
572.272500,100.339500,-0.001472
572.754600,100.179900,-0.000781
573.236800,99.991390,0.000037
573.718900,99.847110,0.000665
574.201000,99.755450,0.001063
574.683100,99.712970,0.001248
575.165200,99.702620,0.001293
575.647300,99.703670,0.001289
576.129500,99.692050,0.001339
576.611600,99.656010,0.001497
577.093700,99.597790,0.001750
577.575800,99.529950,0.002046
578.057900,99.464530,0.002332
578.540000,99.410790,0.002566
579.022200,99.372120,0.002735
579.504300,99.344670,0.002855
579.986400,99.315900,0.002981
580.468500,99.271950,0.003173
580.950600,99.205230,0.003465
581.432700,99.123350,0.003824
581.914900,99.042510,0.004178
582.397000,98.986230,0.004425
582.879100,98.973400,0.004482
583.361200,99.014250,0.004302
583.843300,99.103040,0.003913
584.325400,99.222910,0.003388
584.807600,99.352320,0.002822
585.289700,99.473430,0.002293
585.771800,99.576810,0.001842
586.253900,99.663080,0.001466
586.736000,99.740130,0.001130
587.218100,99.623400,0.001639
587.700300,99.494680,0.002200
588.182400,99.382880,0.002688
588.664500,99.310650,0.003004
589.146600,99.289530,0.003097
589.628700,99.316550,0.002978
590.110800,99.374610,0.002725
590.593000,99.434780,0.002462
591.075100,99.465160,0.002329
591.557200,99.441090,0.002434
592.039300,99.356640,0.002803
592.521400,99.226660,0.003372
593.003500,99.081310,0.004008
593.485700,98.955030,0.004562
593.967800,98.875980,0.004909
594.449900,98.857120,0.004992
594.932000,98.892960,0.004835
595.414100,98.962970,0.004527
595.896200,99.040560,0.004187
596.378400,99.103430,0.003911
596.860500,99.141720,0.003744
597.342600,99.157780,0.003673
597.824700,99.162900,0.003651
598.306800,99.169910,0.003620
598.788900,99.187160,0.003545
599.271100,99.215050,0.003422
599.753200,99.248280,0.003277
600.235300,99.280010,0.003138
600.717400,99.307460,0.003018
601.199500,99.333900,0.002903
601.681600,99.368160,0.002753
602.163800,99.420060,0.002526
602.645900,99.495920,0.002195
603.128000,99.594590,0.001764
603.610100,99.707210,0.001273
604.092200,99.819710,0.000784
604.574300,99.917240,0.000360
605.056500,99.987530,0.000054
605.538600,100.023600,-0.000102
606.020700,100.023700,-0.000103
606.502800,99.992050,0.000035
606.984900,99.935810,0.000279
607.467000,99.864630,0.000588
607.949200,99.788480,0.000920
608.431300,99.716500,0.001233
608.913400,99.655870,0.001497
609.395500,99.610920,0.001693
609.877600,99.581090,0.001823
610.359700,99.559920,0.001915
610.841900,99.535550,0.002022
611.324000,99.493440,0.002206
611.806100,99.420550,0.002524
612.288200,99.310650,0.003004
612.770300,99.166500,0.003635
613.252400,99.001050,0.004360
613.734600,98.834790,0.005090
614.216700,98.690390,0.005725
614.698800,98.586270,0.006184
615.180900,98.532570,0.006420
615.663000,98.529930,0.006432
616.145100,98.571960,0.006247
616.627300,98.648220,0.005911
617.109400,98.747380,0.005474
617.591500,98.857600,0.004990
618.073600,98.967730,0.004506
618.555700,99.067100,0.004071
619.037800,99.147210,0.003720
619.520000,99.202710,0.003476
620.002100,99.232750,0.003345
620.484200,99.241040,0.003309
620.966300,99.235660,0.003332
621.448400,99.226610,0.003372
621.930500,99.223370,0.003386
622.412700,99.231670,0.003350
622.894800,99.252030,0.003261
623.376900,99.279730,0.003139
623.859000,99.307020,0.003020
624.341100,99.325630,0.002939
624.823200,99.329150,0.002923
625.305400,99.314450,0.002988
625.787500,99.282040,0.003129
626.269600,99.234620,0.003337
626.751700,99.175820,0.003594
627.233800,99.108620,0.003889
627.715900,99.035420,0.004209
628.198100,98.958150,0.004548
628.680200,98.879870,0.004892
629.162300,98.804910,0.005221
629.644400,98.738910,0.005512
630.126500,98.687540,0.005738
630.608600,98.655450,0.005879
631.090800,98.644740,0.005926
631.572900,98.654650,0.005882
632.055000,98.681500,0.005764
632.537100,98.719440,0.005597
633.019200,98.761760,0.005411
633.501300,98.802470,0.005232
633.983500,98.837920,0.005076
634.465600,98.867810,0.004945
634.947700,98.895060,0.004825
635.429800,98.924480,0.004696
635.911900,98.960280,0.004539
636.394000,99.004200,0.004346
636.876200,99.053320,0.004131
637.358300,99.100590,0.003924
637.840400,99.136250,0.003768
638.322500,99.151080,0.003703
638.804600,99.139710,0.003752
639.286700,99.102600,0.003915
639.768900,99.046790,0.004160
640.251000,98.984280,0.004434
640.733100,98.928660,0.004678
641.215200,98.891140,0.004843
641.697300,98.877130,0.004904
642.179400,98.884990,0.004870
642.661600,98.906990,0.004773
643.143700,98.932260,0.004662
643.625800,98.950100,0.004584
644.107900,98.953150,0.004570
644.590000,98.939180,0.004632
645.072100,98.911190,0.004755
645.554300,98.875820,0.004910
646.036400,98.841080,0.005063
646.518500,98.813860,0.005182
647.000600,98.798680,0.005249
647.482700,98.796880,0.005257
647.964800,98.807010,0.005212
648.447000,98.825340,0.005132
648.929100,98.847150,0.005036
649.411200,98.867420,0.004947
649.893300,98.881680,0.004884
650.375400,98.886450,0.004863
650.857500,98.879410,0.004894
651.339700,98.859720,0.004981
651.821800,98.828240,0.005119
652.303900,98.788040,0.005296
652.786000,98.744050,0.005489
653.268100,98.702440,0.005672
653.750200,98.669560,0.005817
654.232400,98.650430,0.005901
654.714500,98.647430,0.005914
655.196600,98.659340,0.005862
655.678700,98.681350,0.005765
656.160800,98.706070,0.005656
656.642900,98.725790,0.005569
657.125100,98.734950,0.005529
657.607200,98.731940,0.005542
658.089300,98.719570,0.005597
658.571400,98.704090,0.005665
659.053500,98.692660,0.005715
659.535600,98.690650,0.005724
660.017800,98.699530,0.005685
660.499900,98.716100,0.005612
660.982000,98.734130,0.005533
661.464100,98.746820,0.005477
661.946200,98.749340,0.005466
662.428300,98.740540,0.005505
662.910500,98.722760,0.005583
663.392600,98.700220,0.005682
663.874700,98.676450,0.005786
664.356800,98.652360,0.005893
664.838900,98.625530,0.006011
665.321000,98.591160,0.006162
665.803200,98.543990,0.006370
666.285300,98.481310,0.006646
666.767400,98.406970,0.006974
667.249500,98.335770,0.007288
667.731600,98.291710,0.007483
668.213700,98.295180,0.007468
668.695900,98.346600,0.007241
669.178000,98.426320,0.006889
669.660100,98.510410,0.006518
670.142200,98.583150,0.006197
670.624300,98.638240,0.005955
671.106400,98.675790,0.005789
671.588600,98.698640,0.005689
672.070700,98.710490,0.005637
672.552800,98.714390,0.005620
673.034900,98.712370,0.005628
673.517000,98.705410,0.005659
673.999100,98.694120,0.005709
674.481300,98.679560,0.005773
674.963400,98.663670,0.005843
675.445500,98.649060,0.005907
675.927600,98.638140,0.005955
676.409700,98.631900,0.005983
676.891800,98.629530,0.005993
677.374000,98.628600,0.005997
677.856100,98.626290,0.006007
678.338200,98.620670,0.006032
678.820300,98.611540,0.006072
679.302400,98.600310,0.006122
679.784500,98.588990,0.006172
680.266700,98.578960,0.006216
680.748800,98.570370,0.006254
681.230900,98.561900,0.006291
681.713000,98.552090,0.006334
682.195100,98.540510,0.006385
682.677200,98.528580,0.006438
683.159400,98.519360,0.006478
683.641500,98.516470,0.006491
684.123600,98.522280,0.006466
684.605700,98.536710,0.006402
685.087800,98.556840,0.006313
685.569900,98.577930,0.006220
686.052100,98.594970,0.006145
686.534200,98.604160,0.006105
687.016300,98.603700,0.006107
687.498400,98.593780,0.006150
687.980500,98.575890,0.006229
688.462600,98.552100,0.006334
688.944800,98.524450,0.006456
689.426900,98.494900,0.006586
689.909000,98.465350,0.006717
690.391100,98.437860,0.006838
690.873200,98.414150,0.006942
691.355300,98.395190,0.007026
691.837500,98.380380,0.007092
692.319600,98.367570,0.007148
692.801700,98.353740,0.007209
693.283800,98.336320,0.007286
693.765900,98.314360,0.007383
694.248000,98.289090,0.007495
694.730200,98.263210,0.007609
695.212300,98.239460,0.007714
695.694400,98.218960,0.007805
696.176500,98.200220,0.007888
696.658600,98.179590,0.007979
697.140700,98.152790,0.008097
697.622900,98.116980,0.008256
698.105000,98.071990,0.008455
698.587100,98.020210,0.008684
699.069200,97.965330,0.008928
699.551300,97.909900,0.009173
700.033400,97.853970,0.009422
700.515600,97.794500,0.009686
700.997700,97.726900,0.009986
701.479800,97.647150,0.010340
701.961900,97.553790,0.010756
702.444000,97.448630,0.011224
702.926100,97.335810,0.011727
703.408300,97.219520,0.012247
703.890400,97.101760,0.012773
704.372500,96.981200,0.013312
704.854600,96.853680,0.013884
705.336700,96.714020,0.014511
705.818800,96.558170,0.015211
706.301000,96.384300,0.015994
706.783100,96.192380,0.016859
707.265200,95.982640,0.017807
707.747300,95.753850,0.018844
708.229400,95.502350,0.019986
