wavenumber,transmittance,absorbance
550.095200,51.292720,0.289944
550.577300,51.476490,0.288391
551.059400,51.536740,0.287883
551.541500,51.480650,0.288356
552.023600,51.398790,0.289047
552.505700,51.524060,0.287990
552.987900,51.741940,0.286157
553.470000,52.115520,0.283033
553.952100,52.625670,0.278802
554.434200,53.172220,0.274315
554.916300,53.676790,0.270213
555.398400,54.061040,0.267116
555.880600,54.320930,0.265033
556.362700,54.598900,0.262816
556.844800,54.844640,0.260866
557.326900,55.101270,0.258838
557.809000,55.395440,0.256526
558.291100,55.722960,0.253966
558.773300,56.230200,0.250030
559.255400,56.436950,0.248436
559.737500,56.653860,0.246770
560.219600,56.800240,0.245650
560.701700,56.900640,0.244883
561.183800,57.009450,0.244053
561.666000,57.257280,0.242169
562.148100,57.486270,0.240436
562.630200,57.727710,0.238616
563.112300,57.940590,0.237017
563.594400,58.202080,0.235061
564.076500,58.363300,0.233860
564.558700,58.416830,0.233462
565.040800,58.402950,0.233565
565.522900,58.379780,0.233738
566.005000,58.387830,0.233678
566.487100,58.432900,0.233343
566.969200,58.499340,0.232849
567.451400,58.567760,0.232341
567.933500,58.625430,0.231914
568.415600,58.674290,0.231552
568.897700,58.877560,0.230050
569.379800,58.978360,0.229307
569.861900,59.107690,0.228356
570.344100,59.212530,0.227586
570.826200,59.251650,0.227300
571.308300,59.281870,0.227078
571.790400,59.147800,0.228061
572.272500,58.839750,0.230329
572.754600,58.569860,0.232326
573.236800,58.137140,0.235546
573.718900,57.780460,0.238219
574.201000,57.568590,0.239814
574.683100,57.527100,0.240128
575.165200,57.629040,0.239359
575.647300,57.795630,0.238105
576.129500,57.918900,0.237180
576.611600,57.914920,0.237210
577.093700,57.754370,0.238415
577.575800,57.468590,0.240569
578.057900,57.122610,0.243192
578.540000,56.796850,0.245676
579.022200,56.555770,0.247523
579.504300,56.424440,0.248533
579.986400,56.381030,0.248867
580.468500,56.366740,0.248977
580.950600,56.318310,0.249350
581.432700,56.200310,0.250261
581.914900,56.023260,0.251632
582.397000,55.843230,0.253029
582.879100,55.739130,0.253840
583.361200,55.780240,0.253520
583.843300,55.998790,0.251821
584.325400,56.376560,0.248901
584.807600,56.851970,0.245254
585.289700,57.342380,0.241524
585.771800,57.766940,0.238321
586.253900,58.071110,0.236040
586.736000,58.242360,0.234761
587.218100,58.437070,0.233312
587.700300,58.678870,0.231518
588.182400,58.976320,0.229322
588.664500,59.294460,0.226986
589.146600,59.581830,0.224886
589.628700,59.802650,0.223280
