Wavelength,S1
nm,CPS
200,5140
201,4970
202,5090
203,4850
204,5080
205,4690
206,4760
207,4610
208,4730
209,4680
210,4840
211,5340
212,5160
213,5040
214,4880
215,4610
216,4820
217,5060
218,4920
219,4880
220,5210
221,4960
222,4930
223,5170
224,4960
225,5130
226,4810
227,5160
228,5190
229,4870
230,5190
231,5000
232,4870
233,5240
234,4870
235,4740
236,4920
237,5000
238,5240
239,5030
240,5150
241,5390
242,5520
243,5050
244,4970
245,5100
246,5000
247,5020
248,5230
249,4970
250,5010
251,5290
252,4970
253,4790
254,4930
255,5360
256,5240
257,5300
258,5100
259,5210
260,4830
261,5130
262,5030
263,4900
264,5090
265,4720
266,5430
267,5110
268,5030
269,5420
270,4920
271,5080
272,4660
273,4680
274,4900
275,5130
276,5210
277,4890
278,5060
279,5200
280,4940
281,4710
282,5080
283,4890
284,4610
285,4820
286,4720
287,4530
288,4320
289,4920
290,4660
291,5240
292,5190
293,4940
294,5370
295,5510
296,5160
297,4970
298,5080
299,5000
300,5460
301,5320
302,5070
303,5230
304,5210
305,5110
306,5680
307,5060
308,4980
309,5350
310,4730
311,5460
312,5210
313,5470
314,5060
315,5920
316,5200
317,6010
318,5280
319,5780
320,5260
321,5380
322,5180
323,5560
324,5400
325,5420
326,5970
327,5620
328,5670
329,5850
330,6200
331,6200
332,6450
333,7010
334,7180
335,8130
336,9380
337,11380
338,26740
339,90630
340,224680
341,439860
342,745670
343,1155820
344,1545700
345,1845300
346,2033580
347,2075940
348,1963920
349,1676030
350,1337130
351,863780
352,565020
353,329050
354,189530
355,122290
356,100710
357,98510
358,106840
359,115410
360,126530
361,137390
362,145200
363,156520
364,166680
365,177960
366,190800
367,204630
368,216510
369,227830
370,242260
371,251590
372,267490
373,280560
374,294580
375,306630
376,325800
377,338040
378,354010
379,374930
380,395020
381,410470
382,436940
383,457100
384,484110
385,514830
386,544720
387,584990
388,624640
389,657050
390,709720
391,753010
392,804600
393,851100
394,896520
395,956780
396,1001710
397,1048250
398,1105690
399,1164610
400,1227000
401,1295350
402,1367030
403,1433190
404,1520320
405,1602530
406,1682750
407,1778010
408,1868570
409,1955050
410,2055480
411,2148500
412,2230000
413,2331140
414,2411560
415,2538320
416,2600680
417,2703090
418,2815180
419,2862140
420,2992090
421,3033960
422,3165210
423,3202250
424,3306470
425,3368970
426,3456260
427,3528900
428,3588210
429,3653980
430,3716120
431,3769910
432,3819210
433,3862010
434,3929300
435,3975230
436,3998990
437,4057790
438,4075200
439,4110800
440,4133190
441,4150970
442,4184370
443,4189250
444,4201920
445,4247120
446,4207070
447,4225960
448,4235420
449,4204430
450,4218620
451,4206040
452,4172090
453,4152140
454,4169190
455,4098070
456,4102970
457,4061660
458,4050540
459,3999700
460,3963860
461,3938610
462,3885340
463,3860400
464,3810380
465,3782370
466,3751130
467,3683520
468,3647390
469,3597510
470,3551660
471,3495650
472,3444280
473,3384640
474,3360980
475,3273780
476,3237280
477,3183100
478,3108190
479,3070150
480,3020710
481,2969460
482,2926490
483,2843220
484,2815800
485,2745680
486,2710680
487,2636380
488,2605950
489,2545600
490,2511020
491,2463020
492,2398380
493,2357100
494,2305310
495,2243860
496,2213070
497,2159520
498,2108470
499,2061090
500,2020810
