Wavelength,S1
nm,CPS
220,2303
221,2344
222,2379
223,2320
224,2423
225,2314
226,2309
227,2402
228,2393
229,2362
230,2420
231,2434
232,2443
233,2451
234,2446
235,2395
236,2489
237,2594
238,2606
239,2522
240,2687
241,2777
242,2720
243,2809
244,2889
245,3066
246,3076
247,3143
248,3218
249,3282
250,3324
251,3344
252,3362
253,3325
254,3278
255,3310
256,3122
257,3047
258,2894
259,2782
260,2601
261,2565
262,2490
263,2451
264,2404
265,2444
266,2497
267,2359
268,2411
269,2257
270,2341
271,2338
272,2455
273,2420
274,2437
275,2396
276,2407
277,2304
278,2406
279,2373
280,2400
281,2450
282,2502
283,2544
284,2504
285,2531
286,2556
287,2612
288,2594
289,2634
290,2626
291,2701
292,2760
293,2689
294,2781
295,2805
296,2782
297,2859
298,2856
299,2942
300,3066
301,3241
302,3243
303,3191
304,3267
305,3219
306,3327
307,3375
308,3494
309,3593
310,3606
311,3764
312,3817
313,3883
314,3907
315,3962
316,3962
317,3958
318,4020
319,4159
320,4269
321,4295
322,4269
323,4268
324,4364
325,4427
326,4478
327,4598
328,4668
329,4668
330,4968
331,5039
332,5207
333,5406
334,5380
335,5534
336,5468
337,5744
338,6026
339,6102
340,6261
341,6302
342,6380
343,6509
344,6569
345,6625
346,6756
347,6886
348,6894
349,6876
350,7043
351,6999
352,6918
353,6873
354,6985
355,6858
356,6979
357,6773
358,6676
359,6776
360,6594
361,6500
362,6243
363,6257
364,6107
365,5921
366,5611
367,5631
368,5476
369,5401
370,5144
371,4839
372,4794
373,4601
374,4453
375,4383
376,4279
377,4006
378,3797
379,3601
380,3586
381,3523
382,3366
383,3322
384,3104
385,3142
386,3074
387,2999
388,2790
389,2855
390,2850
391,2841
392,2781
393,2668
394,2580
395,2531
396,2549
397,2566
398,2551
399,2488
400,2459
401,2363
402,2393
403,2304
404,2391
405,2322
406,2323
407,2447
408,2394
409,2388
410,2288
411,2391
412,2285
413,2357
414,2316
415,2280
416,2255
417,2341
418,2253
419,2340
420,2344
421,2305
422,2344
423,2256
424,2288
425,2233
426,2307
427,2350
428,2291
429,2278
430,2288
