Wavelength,S1
nm,CPS
220,5890
221,7050
222,7040
223,8040
224,8700
225,9600
226,10660
227,11720
228,12880
229,15140
230,16550
231,16810
232,19030
233,19550
234,22300
235,24060
236,23870
237,26470
238,28070
239,30720
240,32560
241,35050
242,38720
243,41820
244,45050
245,48560
246,52400
247,51870
248,51470
249,48020
250,43520
251,38350
252,34560
253,31220
254,28810
255,26500
256,27860
257,28040
258,25460
259,22670
260,22790
261,21960
262,22390
263,24040
264,25750
265,27430
266,29450
267,33130
268,34010
269,35920
270,39350
271,43260
272,46290
273,51940
274,60600
275,64850
276,73350
277,80430
278,87290
279,94000
280,102480
281,105870
282,112510
283,119690
284,134260
285,143220
286,156430
287,174840
288,188130
289,198510
290,199390
291,192930
292,182510
293,167050
294,149390
295,136640
296,122040
297,115530
298,104600
299,97980
300,89950
301,86910
302,79060
303,76570
304,72530
305,71560
306,68170
307,65910
308,63720
309,62250
310,61000
311,60210
312,57660
313,56410
314,55050
315,54290
316,53750
317,54860
318,54580
319,54720
320,55810
321,57180
322,57270
323,59310
324,62900
325,65180
326,68450
327,71890
328,78830
329,86190
330,90580
331,96450
332,102110
333,109520
334,119170
335,126900
336,133090
337,142670
338,154990
339,165300
340,181170
341,193840
342,215240
343,234210
344,256590
345,274270
346,296620
347,321840
348,339240
349,360300
350,375640
351,387260
352,416560
353,427820
354,443530
355,458380
356,487130
357,505390
358,536230
359,570130
360,612660
361,643850
362,691550
363,728050
364,757030
365,776060
366,815020
367,822250
368,841220
369,848420
370,855750
371,859850
372,874960
373,873660
374,890540
375,889190
376,905760
377,912230
378,924440
379,924740
380,942300
381,933120
382,936380
383,917750
384,911060
385,880750
386,878050
387,871830
388,873770
389,880970
390,898410
391,924980
392,965000
393,1012900
394,1084700
395,1179040
396,1274340
397,1344170
398,1418190
399,1447560
400,1496220
401,1521400
402,1533640
403,1569350
404,1544840
405,1540790
406,1509210
407,1450150
408,1406210
409,1339030
410,1257900
411,1180490
412,1082630
413,983440
414,898100
415,797320
416,724920
417,641190
418,593590
419,545450
420,486480
421,425140
422,381910
423,345620
424,322780
425,290930
426,278210
427,261260
428,249330
429,243220
430,233340
431,232630
432,228350
433,227500
434,225550
435,231770
436,233600
437,240860
438,245140
439,249850
440,246150
441,249680
442,251690
443,251200
444,256270
445,258920
446,260100
447,265750
448,279260
449,308440
450,318770
451,307050
452,305160
453,291850
454,282210
455,287410
456,296990
457,302230
458,295870
459,294830
460,294120
461,310900
462,322900
463,308340
464,289020
465,288870
466,318240
467,341190
468,310620
469,274470
470,235940
471,217320
472,212180
473,199560
474,170100
475,146020
476,131620
477,121480
478,116320
479,110900
480,112060
481,106660
482,96610
483,85890
484,76340
485,66630
486,60590
487,54410
488,49130
489,45820
490,42940
491,41860
492,39160
493,33660
494,30250
495,26320
