"Storage 212952 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_212952.spc"
"Wavelength nm.","Abs."
200.00,0.024
200.50,0.025
201.00,-0.000
201.50,-0.016
202.00,-0.028
202.50,-0.014
203.00,0.022
203.50,-0.002
204.00,-0.004
204.50,0.014
205.00,-0.012
205.50,-0.008
206.00,0.021
206.50,0.027
207.00,0.025
207.50,0.017
208.00,0.002
208.50,0.027
209.00,0.026
209.50,0.024
210.00,0.027
210.50,0.005
211.00,0.021
211.50,0.001
212.00,0.022
212.50,0.001
213.00,0.005
213.50,0.008
214.00,-0.003
214.50,0.000
215.00,0.021
215.50,0.006
216.00,0.010
216.50,0.008
217.00,0.004
217.50,0.021
218.00,-0.017
218.50,0.003
219.00,-0.008
219.50,0.015
220.00,0.011
220.50,-0.010
221.00,0.001
221.50,-0.005
222.00,0.023
222.50,0.021
223.00,0.009
223.50,0.021
224.00,0.019
224.50,0.009
225.00,-0.003
225.50,0.003
226.00,0.006
226.50,0.003
227.00,0.020
227.50,0.019
228.00,0.013
228.50,0.006
229.00,0.013
229.50,0.019
230.00,0.011
230.50,0.003
231.00,0.005
231.50,0.006
232.00,0.008
232.50,0.006
233.00,-0.002
233.50,0.002
234.00,-0.011
234.50,-0.002
235.00,0.008
235.50,-0.010
236.00,0.007
236.50,0.014
237.00,0.008
237.50,0.004
238.00,0.009
238.50,0.027
239.00,0.009
239.50,-0.003
240.00,-0.005
240.50,0.007
241.00,0.011
241.50,0.002
242.00,0.003
242.50,0.011
243.00,0.006
243.50,0.009
244.00,0.005
244.50,0.009
245.00,0.001
245.50,0.007
246.00,0.001
246.50,0.004
247.00,0.003
247.50,0.007
248.00,0.011
248.50,0.009
249.00,0.010
249.50,0.009
250.00,0.009
250.50,0.007
251.00,0.001
251.50,-0.005
252.00,0.011
252.50,0.005
253.00,0.006
253.50,0.012
254.00,0.004
254.50,0.002
255.00,-0.011
255.50,-0.004
256.00,0.000
256.50,0.012
257.00,0.001
257.50,0.011
258.00,0.013
258.50,0.006
259.00,0.015
259.50,0.006
260.00,0.009
260.50,-0.001
261.00,0.011
261.50,0.006
262.00,0.007
262.50,0.012
263.00,0.014
263.50,0.011
264.00,0.001
264.50,-0.007
265.00,-0.002
265.50,0.008
266.00,0.011
266.50,0.014
267.00,0.015
267.50,0.017
268.00,-0.002
268.50,-0.003
269.00,0.001
269.50,0.003
270.00,0.006
270.50,-0.000
271.00,0.006
271.50,-0.001
272.00,-0.004
272.50,0.016
273.00,0.002
273.50,0.004
