"pink-drop-onesixth - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_234937.spc"
"Wavelength nm.","Abs."
200.00,1.058
200.50,1.078
201.00,0.960
201.50,0.922
202.00,0.924
202.50,0.776
203.00,0.823
203.50,0.824
204.00,0.759
204.50,0.840
205.00,0.791
205.50,0.835
206.00,0.780
206.50,0.758
207.00,0.747
207.50,0.750
208.00,0.763
208.50,0.750
209.00,0.743
209.50,0.734
210.00,0.740
210.50,0.783
211.00,0.752
211.50,0.737
212.00,0.723
212.50,0.697
213.00,0.710
213.50,0.706
214.00,0.702
214.50,0.686
215.00,0.641
215.50,0.639
216.00,0.628
216.50,0.617
217.00,0.571
217.50,0.625
218.00,0.559
218.50,0.519
219.00,0.481
219.50,0.512
220.00,0.483
220.50,0.432
221.00,0.439
221.50,0.425
222.00,0.404
222.50,0.387
223.00,0.383
223.50,0.352
224.00,0.353
224.50,0.335
225.00,0.303
225.50,0.293
226.00,0.305
226.50,0.284
227.00,0.304
227.50,0.302
228.00,0.275
228.50,0.291
229.00,0.275
229.50,0.269
230.00,0.275
230.50,0.248
231.00,0.249
231.50,0.238
232.00,0.256
232.50,0.246
233.00,0.240
233.50,0.240
234.00,0.233
234.50,0.230
235.00,0.234
235.50,0.220
236.00,0.220
236.50,0.226
237.00,0.223
237.50,0.226
238.00,0.224
238.50,0.221
239.00,0.208
239.50,0.211
240.00,0.206
240.50,0.193
241.00,0.197
241.50,0.189
242.00,0.200
242.50,0.188
243.00,0.183
243.50,0.182
244.00,0.199
244.50,0.174
245.00,0.193
245.50,0.181
246.00,0.187
246.50,0.184
247.00,0.179
247.50,0.181
248.00,0.185
248.50,0.173
249.00,0.179
249.50,0.175
250.00,0.175
250.50,0.174
251.00,0.178
251.50,0.172
252.00,0.167
252.50,0.169
253.00,0.182
253.50,0.175
254.00,0.156
254.50,0.157
255.00,0.156
255.50,0.148
256.00,0.154
256.50,0.154
257.00,0.161
257.50,0.161
258.00,0.159
258.50,0.156
259.00,0.149
259.50,0.142
260.00,0.146
260.50,0.157
261.00,0.144
261.50,0.151
262.00,0.152
262.50,0.146
263.00,0.146
263.50,0.147
264.00,0.141
264.50,0.142
265.00,0.139
265.50,0.136
266.00,0.130
266.50,0.143
267.00,0.134
267.50,0.127
268.00,0.128
268.50,0.121
269.00,0.123
269.50,0.116
270.00,0.116
270.50,0.113
271.00,0.118
271.50,0.122
272.00,0.116
272.50,0.114
273.00,0.123
273.50,0.120
274.00,0.119
274.50,0.107
275.00,0.114
275.50,0.116
276.00,0.103
276.50,0.112
277.00,0.104
277.50,0.113
278.00,0.111
278.50,0.106
279.00,0.110
279.50,0.097
280.00,0.090
280.50,0.112
281.00,0.107
281.50,0.111
282.00,0.109
282.50,0.100
283.00,0.097
283.50,0.108
284.00,0.105
284.50,0.094
285.00,0.099
285.50,0.094
286.00,0.113
286.50,0.111
287.00,0.105
287.50,0.086
288.00,0.081
288.50,0.083
289.00,0.099
289.50,0.089
290.00,0.103
290.50,0.092
291.00,0.096
291.50,0.097
292.00,0.096
292.50,0.079
293.00,0.089
293.50,0.085
294.00,0.098
294.50,0.085
295.00,0.086
295.50,0.071
296.00,0.073
296.50,0.085
297.00,0.077
297.50,0.083
298.00,0.091
298.50,0.080
299.00,0.072
299.50,0.070
300.00,0.079
300.50,0.072
301.00,0.068
301.50,0.069
302.00,0.082
302.50,0.075
303.00,0.084
303.50,0.071
304.00,0.074
304.50,0.071
305.00,0.077
305.50,0.066
306.00,0.085
306.50,0.078
307.00,0.074
307.50,0.083
308.00,0.077
308.50,0.078
309.00,0.071
309.50,0.095
310.00,0.097
310.50,0.074
311.00,0.060
311.50,0.048
312.00,0.066
312.50,0.060
313.00,0.090
313.50,0.076
314.00,0.059
314.50,0.062
315.00,0.061
315.50,0.055
316.00,0.068
316.50,0.054
317.00,0.043
317.50,0.056
318.00,0.064
318.50,0.059
319.00,0.053
319.50,0.059
320.00,0.071
320.50,0.061
321.00,0.056
321.50,0.070
322.00,0.062
322.50,0.068
323.00,0.076
323.50,0.069
324.00,0.069
324.50,0.080
325.00,0.063
325.50,0.052
326.00,0.053
326.50,0.065
327.00,0.067
327.50,0.066
328.00,0.063
328.50,0.079
329.00,0.062
329.50,0.061
330.00,0.066
330.50,0.064
331.00,0.067
331.50,0.064
332.00,0.078
332.50,0.083
333.00,0.058
333.50,0.059
334.00,0.052
334.50,0.049
335.00,0.064
335.50,0.034
336.00,0.043
336.50,0.042
337.00,0.034
337.50,0.047
338.00,0.065
338.50,0.039
339.00,0.049
339.50,0.043
340.00,0.034
340.50,0.043
341.00,0.044
341.50,0.036
342.00,0.047
342.50,0.043
343.00,0.039
343.50,0.050
344.00,0.045
344.50,0.051
345.00,0.050
345.50,0.055
346.00,0.052
346.50,0.052
347.00,0.057
347.50,0.061
348.00,0.057
348.50,0.050
349.00,0.046
349.50,0.050
350.00,0.046
350.50,0.046
351.00,0.039
351.50,0.050
352.00,0.050
352.50,0.048
353.00,0.056
353.50,0.046
354.00,0.047
354.50,0.055
355.00,0.053
355.50,0.056
356.00,0.056
356.50,0.042
357.00,0.052
357.50,0.036
358.00,0.041
358.50,0.034
359.00,0.039
359.50,0.047
360.00,0.040
360.50,0.045
361.00,0.045
361.50,0.045
362.00,0.048
362.50,0.048
363.00,0.042
363.50,0.032
364.00,0.031
364.50,0.039
365.00,0.047
365.50,0.048
366.00,0.045
366.50,0.038
367.00,0.038
367.50,0.044
368.00,0.034
368.50,0.038
369.00,0.034
369.50,0.047
370.00,0.041
370.50,0.046
371.00,0.047
371.50,0.041
372.00,0.038
372.50,0.035
373.00,0.034
373.50,0.044
374.00,0.036
374.50,0.038
375.00,0.038
375.50,0.034
376.00,0.025
376.50,0.032
377.00,0.039
377.50,0.031
378.00,0.033
378.50,0.032
379.00,0.033
379.50,0.036
380.00,0.036
380.50,0.031
381.00,0.034
381.50,0.037
382.00,0.033
382.50,0.043
383.00,0.040
383.50,0.034
384.00,0.027
384.50,0.031
385.00,0.038
385.50,0.038
386.00,0.032
386.50,0.030
387.00,0.034
387.50,0.034
388.00,0.029
388.50,0.035
389.00,0.033
389.50,0.030
390.00,0.025
390.50,0.022
391.00,0.028
391.50,0.030
392.00,0.038
392.50,0.036
393.00,0.035
393.50,0.034
394.00,0.036
394.50,0.032
395.00,0.032
395.50,0.030
396.00,0.029
396.50,0.032
397.00,0.033
397.50,0.037
398.00,0.030
398.50,0.031
399.00,0.034
399.50,0.029
400.00,0.032
400.50,0.032
401.00,0.034
401.50,0.034
402.00,0.032
402.50,0.031
403.00,0.030
403.50,0.028
404.00,0.028
404.50,0.035
405.00,0.034
405.50,0.028
406.00,0.028
406.50,0.033
407.00,0.036
407.50,0.032
408.00,0.032
408.50,0.033
409.00,0.027
409.50,0.027
410.00,0.030
410.50,0.029
411.00,0.035
411.50,0.037
412.00,0.029
412.50,0.025
413.00,0.027
413.50,0.028
414.00,0.032
414.50,0.026
415.00,0.028
415.50,0.028
416.00,0.032
416.50,0.029
417.00,0.029
417.50,0.025
418.00,0.031
418.50,0.025
419.00,0.025
419.50,0.026
420.00,0.024
420.50,0.030
421.00,0.033
421.50,0.025
422.00,0.034
422.50,0.030
423.00,0.022
423.50,0.023
424.00,0.016
424.50,0.018
425.00,0.021
425.50,0.025
426.00,0.026
426.50,0.024
427.00,0.020
427.50,0.022
428.00,0.022
428.50,0.019
429.00,0.025
429.50,0.023
430.00,0.023
430.50,0.024
431.00,0.027
431.50,0.023
432.00,0.025
432.50,0.024
433.00,0.023
433.50,0.024
434.00,0.027
434.50,0.027
435.00,0.025
435.50,0.021
436.00,0.022
436.50,0.017
437.00,0.020
437.50,0.025
438.00,0.022
438.50,0.024
439.00,0.025
439.50,0.023
440.00,0.019
440.50,0.024
441.00,0.028
441.50,0.028
442.00,0.029
442.50,0.026
443.00,0.020
443.50,0.021
444.00,0.025
444.50,0.026
445.00,0.026
445.50,0.026
446.00,0.021
446.50,0.023
447.00,0.020
447.50,0.022
448.00,0.027
448.50,0.025
449.00,0.025
449.50,0.023
450.00,0.018
450.50,0.020
451.00,0.020
451.50,0.019
452.00,0.020
452.50,0.028
453.00,0.025
453.50,0.024
454.00,0.018
454.50,0.016
455.00,0.018
455.50,0.020
456.00,0.024
456.50,0.023
457.00,0.020
457.50,0.026
458.00,0.023
458.50,0.022
459.00,0.022
459.50,0.022
460.00,0.026
460.50,0.022
461.00,0.019
461.50,0.020
462.00,0.020
462.50,0.018
463.00,0.022
463.50,0.019
464.00,0.024
464.50,0.019
465.00,0.020
465.50,0.022
466.00,0.018
466.50,0.017
467.00,0.020
467.50,0.021
468.00,0.020
468.50,0.022
469.00,0.016
469.50,0.020
470.00,0.021
470.50,0.018
471.00,0.019
471.50,0.019
472.00,0.021
472.50,0.021
473.00,0.020
473.50,0.023
474.00,0.020
474.50,0.021
475.00,0.021
475.50,0.020
476.00,0.020
476.50,0.018
477.00,0.024
477.50,0.023
478.00,0.024
478.50,0.021
479.00,0.024
479.50,0.023
480.00,0.024
480.50,0.025
481.00,0.021
481.50,0.025
482.00,0.019
482.50,0.018
483.00,0.019
483.50,0.023
484.00,0.020
484.50,0.023
485.00,0.021
485.50,0.025
486.00,0.021
486.50,0.021
487.00,0.023
487.50,0.027
488.00,0.019
488.50,0.025
489.00,0.023
489.50,0.024
490.00,0.026
490.50,0.026
491.00,0.022
491.50,0.021
492.00,0.027
492.50,0.023
493.00,0.022
493.50,0.028
494.00,0.026
494.50,0.025
495.00,0.024
495.50,0.023
496.00,0.019
496.50,0.023
497.00,0.024
497.50,0.028
498.00,0.024
498.50,0.023
499.00,0.024
499.50,0.026
500.00,0.029
500.50,0.025
501.00,0.027
501.50,0.028
502.00,0.026
502.50,0.031
503.00,0.027
503.50,0.030
504.00,0.030
504.50,0.029
