"Storage 215802 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_215802.spc"
"Wavelength nm.","Abs."
200.00,1.037
200.50,1.073
201.00,0.979
201.50,1.015
202.00,0.948
202.50,0.909
203.00,0.955
203.50,0.941
204.00,0.877
204.50,0.960
205.00,0.977
205.50,0.920
206.00,0.894
206.50,0.913
207.00,0.887
207.50,0.917
208.00,0.864
208.50,0.876
209.00,0.837
209.50,0.830
210.00,0.789
210.50,0.781
211.00,0.787
211.50,0.751
212.00,0.778
212.50,0.715
213.00,0.697
213.50,0.648
214.00,0.649
214.50,0.660
215.00,0.623
215.50,0.619
216.00,0.581
216.50,0.579
217.00,0.541
217.50,0.542
218.00,0.536
218.50,0.514
219.00,0.478
219.50,0.464
220.00,0.479
220.50,0.454
221.00,0.470
221.50,0.443
222.00,0.420
222.50,0.416
223.00,0.413
223.50,0.393
224.00,0.385
224.50,0.366
225.00,0.341
225.50,0.321
226.00,0.333
226.50,0.326
227.00,0.333
227.50,0.321
228.00,0.300
228.50,0.291
229.00,0.270
229.50,0.265
230.00,0.261
230.50,0.264
231.00,0.265
231.50,0.253
232.00,0.247
232.50,0.252
233.00,0.234
233.50,0.224
234.00,0.224
234.50,0.229
235.00,0.240
235.50,0.243
236.00,0.240
236.50,0.243
237.00,0.247
237.50,0.247
238.00,0.252
238.50,0.252
239.00,0.259
239.50,0.260
240.00,0.265
240.50,0.266
241.00,0.249
241.50,0.271
242.00,0.276
242.50,0.271
243.00,0.274
243.50,0.289
244.00,0.288
244.50,0.290
245.00,0.309
245.50,0.300
246.00,0.304
246.50,0.321
247.00,0.316
247.50,0.324
248.00,0.343
248.50,0.327
249.00,0.327
249.50,0.328
250.00,0.325
250.50,0.318
251.00,0.312
251.50,0.311
252.00,0.300
252.50,0.303
253.00,0.291
253.50,0.293
254.00,0.280
254.50,0.270
255.00,0.259
255.50,0.226
256.00,0.219
256.50,0.204
257.00,0.197
257.50,0.187
258.00,0.155
258.50,0.162
259.00,0.142
259.50,0.141
260.00,0.128
260.50,0.113
261.00,0.110
261.50,0.103
262.00,0.097
262.50,0.098
263.00,0.088
263.50,0.080
264.00,0.086
264.50,0.085
265.00,0.075
265.50,0.088
266.00,0.089
266.50,0.084
267.00,0.077
267.50,0.083
268.00,0.086
268.50,0.089
269.00,0.087
269.50,0.088
270.00,0.079
270.50,0.091
271.00,0.098
271.50,0.096
272.00,0.085
272.50,0.102
273.00,0.107
273.50,0.106
274.00,0.111
274.50,0.105
275.00,0.102
275.50,0.110
276.00,0.105
276.50,0.108
277.00,0.119
277.50,0.112
278.00,0.117
278.50,0.119
279.00,0.116
279.50,0.111
280.00,0.110
280.50,0.115
281.00,0.125
281.50,0.109
282.00,0.125
282.50,0.115
283.00,0.112
283.50,0.116
284.00,0.118
284.50,0.103
285.00,0.112
285.50,0.120
286.00,0.116
286.50,0.128
287.00,0.128
287.50,0.125
288.00,0.108
288.50,0.108
289.00,0.114
289.50,0.110
290.00,0.115
290.50,0.118
291.00,0.112
291.50,0.109
292.00,0.116
292.50,0.092
293.00,0.112
293.50,0.106
294.00,0.114
294.50,0.095
295.00,0.103
295.50,0.088
296.00,0.098
296.50,0.099
297.00,0.094
297.50,0.104
298.00,0.085
298.50,0.084
299.00,0.084
