"aspirin-drop-onesixth-onefifth - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260419_001632.spc"
"Wavelength nm.","Abs."
200.00,0.821
200.50,0.724
201.00,0.739
201.50,0.697
202.00,0.642
202.50,0.688
203.00,0.662
203.50,0.611
204.00,0.635
204.50,0.582
205.00,0.570
205.50,0.534
206.00,0.515
206.50,0.486
207.00,0.434
207.50,0.421
208.00,0.377
208.50,0.375
209.00,0.355
209.50,0.340
210.00,0.305
210.50,0.293
211.00,0.270
211.50,0.238
212.00,0.232
212.50,0.214
213.00,0.196
213.50,0.197
214.00,0.185
214.50,0.203
215.00,0.176
215.50,0.162
216.00,0.169
216.50,0.166
217.00,0.153
217.50,0.146
218.00,0.157
218.50,0.159
219.00,0.152
219.50,0.162
220.00,0.143
220.50,0.144
221.00,0.152
221.50,0.147
222.00,0.160
222.50,0.170
223.00,0.145
223.50,0.160
224.00,0.157
224.50,0.149
225.00,0.145
225.50,0.141
226.00,0.147
226.50,0.159
227.00,0.171
227.50,0.153
228.00,0.151
228.50,0.154
229.00,0.141
229.50,0.144
230.00,0.151
230.50,0.136
231.00,0.143
231.50,0.145
232.00,0.139
232.50,0.151
233.00,0.128
233.50,0.117
234.00,0.119
234.50,0.114
235.00,0.109
235.50,0.124
236.00,0.104
236.50,0.104
237.00,0.098
237.50,0.106
238.00,0.103
238.50,0.100
239.00,0.086
239.50,0.080
240.00,0.070
240.50,0.060
241.00,0.066
241.50,0.056
242.00,0.059
242.50,0.053
243.00,0.048
243.50,0.052
244.00,0.040
244.50,0.045
245.00,0.031
245.50,0.040
246.00,0.033
246.50,0.023
247.00,0.022
247.50,0.035
248.00,0.026
248.50,0.036
249.00,0.039
249.50,0.028
250.00,0.015
250.50,0.020
251.00,0.027
251.50,0.020
252.00,0.022
252.50,0.025
253.00,0.023
253.50,0.019
254.00,0.017
254.50,0.016
255.00,0.014
255.50,0.018
256.00,0.007
256.50,0.018
257.00,0.011
257.50,0.011
258.00,0.013
258.50,0.007
259.00,0.022
259.50,0.006
260.00,0.011
260.50,0.017
261.00,0.018
261.50,0.028
