"yellow-drop-2 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260418_223755.spc"
"Wavelength nm.","Abs."
200.00,1.667
200.50,1.498
201.00,1.503
201.50,1.596
202.00,1.597
202.50,1.449
203.00,1.306
203.50,1.289
204.00,1.307
204.50,1.301
205.00,1.332
205.50,1.259
206.00,1.277
206.50,1.194
207.00,1.103
207.50,1.118
208.00,1.062
208.50,0.973
209.00,1.013
209.50,0.926
210.00,0.885
210.50,0.844
211.00,0.792
211.50,0.794
212.00,0.710
212.50,0.662
213.00,0.620
213.50,0.619
214.00,0.618
214.50,0.569
215.00,0.603
215.50,0.561
216.00,0.544
216.50,0.553
217.00,0.537
217.50,0.514
218.00,0.536
218.50,0.551
219.00,0.568
219.50,0.552
220.00,0.585
220.50,0.579
221.00,0.595
221.50,0.596
222.00,0.641
222.50,0.666
223.00,0.671
223.50,0.694
224.00,0.710
224.50,0.742
225.00,0.744
225.50,0.738
226.00,0.747
226.50,0.798
227.00,0.813
227.50,0.811
228.00,0.812
228.50,0.839
229.00,0.855
229.50,0.848
230.00,0.829
230.50,0.846
231.00,0.839
231.50,0.861
232.00,0.866
232.50,0.859
233.00,0.860
233.50,0.862
234.00,0.875
234.50,0.864
235.00,0.868
235.50,0.863
236.00,0.871
236.50,0.850
237.00,0.808
237.50,0.802
238.00,0.785
238.50,0.762
239.00,0.743
239.50,0.714
240.00,0.698
240.50,0.700
241.00,0.682
241.50,0.664
242.00,0.642
242.50,0.636
243.00,0.632
243.50,0.617
244.00,0.645
244.50,0.644
245.00,0.627
245.50,0.642
246.00,0.644
246.50,0.620
247.00,0.629
247.50,0.628
248.00,0.638
248.50,0.637
249.00,0.614
249.50,0.620
250.00,0.621
250.50,0.612
251.00,0.616
251.50,0.618
252.00,0.649
252.50,0.648
253.00,0.648
253.50,0.651
254.00,0.661
254.50,0.649
255.00,0.630
255.50,0.609
256.00,0.618
256.50,0.583
257.00,0.561
257.50,0.545
258.00,0.511
258.50,0.474
259.00,0.436
259.50,0.396
260.00,0.368
260.50,0.348
261.00,0.315
261.50,0.291
262.00,0.280
262.50,0.270
263.00,0.255
263.50,0.235
264.00,0.221
264.50,0.219
265.00,0.219
265.50,0.211
266.00,0.204
266.50,0.207
267.00,0.194
267.50,0.199
268.00,0.184
268.50,0.185
269.00,0.187
269.50,0.201
270.00,0.192
270.50,0.202
271.00,0.197
271.50,0.190
272.00,0.202
272.50,0.206
273.00,0.207
273.50,0.216
274.00,0.216
274.50,0.223
275.00,0.226
275.50,0.241
276.00,0.259
276.50,0.260
277.00,0.255
277.50,0.262
278.00,0.278
278.50,0.261
279.00,0.280
279.50,0.270
280.00,0.270
280.50,0.287
281.00,0.281
281.50,0.295
282.00,0.301
282.50,0.294
283.00,0.316
283.50,0.310
284.00,0.312
284.50,0.329
285.00,0.339
285.50,0.363
286.00,0.366
286.50,0.371
287.00,0.377
287.50,0.400
288.00,0.385
288.50,0.377
289.00,0.401
289.50,0.402
290.00,0.437
290.50,0.451
291.00,0.454
291.50,0.449
292.00,0.464
292.50,0.471
293.00,0.476
293.50,0.477
294.00,0.489
294.50,0.492
295.00,0.491
295.50,0.496
296.00,0.505
296.50,0.498
297.00,0.501
297.50,0.503
298.00,0.505
298.50,0.499
299.00,0.502
299.50,0.493
300.00,0.492
300.50,0.466
301.00,0.452
301.50,0.441
302.00,0.442
302.50,0.424
303.00,0.406
303.50,0.401
304.00,0.381
304.50,0.382
305.00,0.370
305.50,0.365
306.00,0.356
306.50,0.339
307.00,0.330
307.50,0.323
308.00,0.326
308.50,0.311
309.00,0.308
309.50,0.287
310.00,0.313
310.50,0.291
311.00,0.261
311.50,0.246
312.00,0.254
312.50,0.253
313.00,0.245
313.50,0.230
314.00,0.244
314.50,0.219
315.00,0.213
315.50,0.217
316.00,0.204
316.50,0.222
317.00,0.199
317.50,0.182
318.00,0.178
318.50,0.181
319.00,0.178
319.50,0.167
320.00,0.171
320.50,0.157
321.00,0.176
321.50,0.169
322.00,0.148
322.50,0.149
323.00,0.153
323.50,0.152
324.00,0.151
324.50,0.128
325.00,0.143
325.50,0.138
326.00,0.146
326.50,0.143
327.00,0.123
327.50,0.132
328.00,0.129
328.50,0.125
329.00,0.123
329.50,0.127
330.00,0.126
330.50,0.115
331.00,0.105
331.50,0.099
332.00,0.105
332.50,0.105
333.00,0.111
333.50,0.101
334.00,0.106
334.50,0.094
335.00,0.089
335.50,0.072
336.00,0.064
336.50,0.065
337.00,0.082
337.50,0.086
338.00,0.080
338.50,0.066
339.00,0.063
339.50,0.059
340.00,0.055
340.50,0.049
341.00,0.043
341.50,0.050
342.00,0.057
342.50,0.060
343.00,0.058
343.50,0.048
344.00,0.058
